slid,sid,r_origin_rarity,r_origin_s_name,r_origin_power_rate,r_goal_powerate,lv,r_dragon,t_name,r_chance_type,r_count_power_rate,col_01,mod_01,val_01,t_desc,col_02,mod_02,val_02,col_03,mod_03,val_03,col_04,mod_04,val_04,col_05,mod_05,val_05
20061203,200612,rare,드래그 스킬,660,330,3,물 에스티미아,풍요의 기운,active,5,power_rate,add,66,스킬의 회복량 20% 증가,,,,,,,,,,,,
20061204,200612,rare,드래그 스킬,660,330,4,물 에스티미아,풍요의 기운,active,5,power_rate,add,66,스킬의 회복량 30% 증가,,,,,,,,,,,,
20061205,200612,rare,드래그 스킬,660,330,5,물 에스티미아,풍요의 기운,active,2.5,power_rate,add,132,스킬의 회복량 50% 증가,,,,,,,,,,,,
20062201,200622,rare,패시브 1,,,1,물 에스티미아,피어나는 생명,indie_time_short,0,,,,강화 효과 없음,,,,,,,,,,,,
20062202,200622,rare,패시브 1,,,2,물 에스티미아,피어나는 생명,indie_time_short,0,chance_value,add,-1,재사용 시간 1초 감소,,,,,,,,,,,,
20062203,200622,rare,패시브 1,,,3,물 에스티미아,피어나는 생명,indie_time_short,0,chance_value,add,-1,재사용 시간 2초 감소,,,,,,,,,,,,
20062204,200622,rare,패시브 1,,,4,물 에스티미아,피어나는 생명,indie_time_short,0,chance_value,add,-1,재사용 시간 3초 감소,,,,,,,,,,,,
20062205,200622,rare,패시브 1,,,5,물 에스티미아,피어나는 생명,indie_time_short,0,chance_value,add,-2,재사용 시간 5초 감소,,,,,,,,,,,,
20063201,200632,rare,패시브 2,,,1,물 에스티미아,숲의 정기,indie_time_short,0,,,,강화 효과 없음,,,,,,,,,,,,
20063202,200632,rare,패시브 2,,,2,물 에스티미아,숲의 정기,indie_time_short,0,chance_value,add,-2,재사용 시간 2초 감소,,,,,,,,,,,,
20063203,200632,rare,패시브 2,,,3,물 에스티미아,숲의 정기,indie_time_short,0,chance_value,add,-2,재사용 시간 4초 감소,,,,,,,,,,,,
20063204,200632,rare,패시브 2,,,4,물 에스티미아,숲의 정기,indie_time_short,0,chance_value,add,-2,재사용 시간 6초 감소,,,,,,,,,,,,
20063205,200632,rare,패시브 2,,,5,물 에스티미아,숲의 정기,indie_time_short,0,chance_value,add,-3,재사용 시간 9초 감소,,,,,,,,,,,,
20061301,200613,rare,드래그 스킬,660,330,1,불 에스티미아,풍요의 기운,active,5,,,,강화 효과 없음,,,,,,,,,,,,
20061302,200613,rare,드래그 스킬,660,330,2,불 에스티미아,풍요의 기운,active,5,power_rate,add,66,스킬의 회복량 10% 증가,,,,,,,,,,,,
20061303,200613,rare,드래그 스킬,660,330,3,불 에스티미아,풍요의 기운,active,5,power_rate,add,66,스킬의 회복량 20% 증가,,,,,,,,,,,,
20061304,200613,rare,드래그 스킬,660,330,4,불 에스티미아,풍요의 기운,active,5,power_rate,add,66,스킬의 회복량 30% 증가,,,,,,,,,,,,
20061305,200613,rare,드래그 스킬,660,330,5,불 에스티미아,풍요의 기운,active,2.5,power_rate,add,132,스킬의 회복량 50% 증가,,,,,,,,,,,,
20062301,200623,rare,패시브 1,,,1,불 에스티미아,피어나는 생명,indie_time_short,0,,,,강화 효과 없음,,,,,,,,,,,,
20062302,200623,rare,패시브 1,,,2,불 에스티미아,피어나는 생명,indie_time_short,0,chance_value,add,-1,재사용 시간 1초 감소,,,,,,,,,,,,
20062303,200623,rare,패시브 1,,,3,불 에스티미아,피어나는 생명,indie_time_short,0,chance_value,add,-1,재사용 시간 2초 감소,,,,,,,,,,,,
20062304,200623,rare,패시브 1,,,4,불 에스티미아,피어나는 생명,indie_time_short,0,chance_value,add,-1,재사용 시간 3초 감소,,,,,,,,,,,,
20062305,200623,rare,패시브 1,,,5,불 에스티미아,피어나는 생명,indie_time_short,0,chance_value,add,-2,재사용 시간 5초 감소,,,,,,,,,,,,
20063301,200633,rare,패시브 2,,,1,불 에스티미아,숲의 정기,indie_time_short,0,,,,강화 효과 없음,,,,,,,,,,,,
20063302,200633,rare,패시브 2,,,2,불 에스티미아,숲의 정기,indie_time_short,0,chance_value,add,-2,재사용 시간 2초 감소,,,,,,,,,,,,
20063303,200633,rare,패시브 2,,,3,불 에스티미아,숲의 정기,indie_time_short,0,chance_value,add,-2,재사용 시간 4초 감소,,,,,,,,,,,,
20063304,200633,rare,패시브 2,,,4,불 에스티미아,숲의 정기,indie_time_short,0,chance_value,add,-2,재사용 시간 6초 감소,,,,,,,,,,,,
20063305,200633,rare,패시브 2,,,5,불 에스티미아,숲의 정기,indie_time_short,0,chance_value,add,-3,재사용 시간 9초 감소,,,,,,,,,,,,
20061401,200614,rare,드래그 스킬,660,330,1,빛 에스티미아,풍요의 기운,active,5,,,,강화 효과 없음,,,,,,,,,,,,
20061402,200614,rare,드래그 스킬,660,330,2,빛 에스티미아,풍요의 기운,active,5,power_rate,add,66,스킬의 회복량 10% 증가,,,,,,,,,,,,
20061403,200614,rare,드래그 스킬,660,330,3,빛 에스티미아,풍요의 기운,active,5,power_rate,add,66,스킬의 회복량 20% 증가,,,,,,,,,,,,
20061404,200614,rare,드래그 스킬,660,330,4,빛 에스티미아,풍요의 기운,active,5,power_rate,add,66,스킬의 회복량 30% 증가,,,,,,,,,,,,
20061405,200614,rare,드래그 스킬,660,330,5,빛 에스티미아,풍요의 기운,active,2.5,power_rate,add,132,스킬의 회복량 50% 증가,,,,,,,,,,,,
20062401,200624,rare,패시브 1,,,1,빛 에스티미아,피어나는 생명,indie_time_short,0,,,,강화 효과 없음,,,,,,,,,,,,
20062402,200624,rare,패시브 1,,,2,빛 에스티미아,피어나는 생명,indie_time_short,0,chance_value,add,-1,재사용 시간 1초 감소,,,,,,,,,,,,
20062403,200624,rare,패시브 1,,,3,빛 에스티미아,피어나는 생명,indie_time_short,0,chance_value,add,-1,재사용 시간 2초 감소,,,,,,,,,,,,
20062404,200624,rare,패시브 1,,,4,빛 에스티미아,피어나는 생명,indie_time_short,0,chance_value,add,-1,재사용 시간 3초 감소,,,,,,,,,,,,
20062405,200624,rare,패시브 1,,,5,빛 에스티미아,피어나는 생명,indie_time_short,0,chance_value,add,-2,재사용 시간 5초 감소,,,,,,,,,,,,
20063401,200634,rare,패시브 2,,,1,빛 에스티미아,숲의 정기,indie_time_short,0,,,,강화 효과 없음,,,,,,,,,,,,
20063402,200634,rare,패시브 2,,,2,빛 에스티미아,숲의 정기,indie_time_short,0,chance_value,add,-2,재사용 시간 2초 감소,,,,,,,,,,,,
20063403,200634,rare,패시브 2,,,3,빛 에스티미아,숲의 정기,indie_time_short,0,chance_value,add,-2,재사용 시간 4초 감소,,,,,,,,,,,,
20063404,200634,rare,패시브 2,,,4,빛 에스티미아,숲의 정기,indie_time_short,0,chance_value,add,-2,재사용 시간 6초 감소,,,,,,,,,,,,
20063405,200634,rare,패시브 2,,,5,빛 에스티미아,숲의 정기,indie_time_short,0,chance_value,add,-3,재사용 시간 9초 감소,,,,,,,,,,,,
20061501,200615,rare,드래그 스킬,660,330,1,어둠 에스티미아,풍요의 기운,active,5,,,,강화 효과 없음,,,,,,,,,,,,
20061502,200615,rare,드래그 스킬,660,330,2,어둠 에스티미아,풍요의 기운,active,5,power_rate,add,66,스킬의 회복량 10% 증가,,,,,,,,,,,,
20061503,200615,rare,드래그 스킬,660,330,3,어둠 에스티미아,풍요의 기운,active,5,power_rate,add,66,스킬의 회복량 20% 증가,,,,,,,,,,,,
20061504,200615,rare,드래그 스킬,660,330,4,어둠 에스티미아,풍요의 기운,active,5,power_rate,add,66,스킬의 회복량 30% 증가,,,,,,,,,,,,
20061505,200615,rare,드래그 스킬,660,330,5,어둠 에스티미아,풍요의 기운,active,2.5,power_rate,add,132,스킬의 회복량 50% 증가,,,,,,,,,,,,
20062501,200625,rare,패시브 1,,,1,어둠 에스티미아,피어나는 생명,indie_time_short,0,,,,강화 효과 없음,,,,,,,,,,,,
20062502,200625,rare,패시브 1,,,2,어둠 에스티미아,피어나는 생명,indie_time_short,0,chance_value,add,-1,재사용 시간 1초 감소,,,,,,,,,,,,
20062503,200625,rare,패시브 1,,,3,어둠 에스티미아,피어나는 생명,indie_time_short,0,chance_value,add,-1,재사용 시간 2초 감소,,,,,,,,,,,,
20062504,200625,rare,패시브 1,,,4,어둠 에스티미아,피어나는 생명,indie_time_short,0,chance_value,add,-1,재사용 시간 3초 감소,,,,,,,,,,,,
20062505,200625,rare,패시브 1,,,5,어둠 에스티미아,피어나는 생명,indie_time_short,0,chance_value,add,-2,재사용 시간 5초 감소,,,,,,,,,,,,
20063501,200635,rare,패시브 2,,,1,어둠 에스티미아,숲의 정기,indie_time_short,0,,,,강화 효과 없음,,,,,,,,,,,,
20063502,200635,rare,패시브 2,,,2,어둠 에스티미아,숲의 정기,indie_time_short,0,chance_value,add,-2,재사용 시간 2초 감소,,,,,,,,,,,,
20063503,200635,rare,패시브 2,,,3,어둠 에스티미아,숲의 정기,indie_time_short,0,chance_value,add,-2,재사용 시간 4초 감소,,,,,,,,,,,,
20063504,200635,rare,패시브 2,,,4,어둠 에스티미아,숲의 정기,indie_time_short,0,chance_value,add,-2,재사용 시간 6초 감소,,,,,,,,,,,,
20063505,200635,rare,패시브 2,,,5,어둠 에스티미아,숲의 정기,indie_time_short,0,chance_value,add,-3,재사용 시간 9초 감소,,,,,,,,,,,,
20071101,200711,rare,드래그 스킬,545,273,1,땅 스파인,가시의 별,active,5,,,,강화 효과 없음,,,,,,,,,,,,
20071102,200711,rare,드래그 스킬,545,273,2,땅 스파인,가시의 별,active,5,power_rate,add,55,스킬의 피해량 10% 증가,,,,,,,,,,,,
20071103,200711,rare,드래그 스킬,545,273,3,땅 스파인,가시의 별,active,5,power_rate,add,55,스킬의 피해량 20% 증가,,,,,,,,,,,,
20071104,200711,rare,드래그 스킬,545,273,4,땅 스파인,가시의 별,active,5,power_rate,add,55,스킬의 피해량 30% 증가,,,,,,,,,,,,
20071105,200711,rare,드래그 스킬,545,273,5,땅 스파인,가시의 별,active,2.5,power_rate,add,109,스킬의 피해량 50% 증가,,,,,,,,,,,,
20072101,200721,rare,패시브 1,347,174,1,땅 스파인,가시 방사,indie_time,5,,,,강화 효과 없음,,,,,,,,,,,,
20072102,200721,rare,패시브 1,347,174,2,땅 스파인,가시 방사,indie_time,5,power_rate,add,35,스킬의 피해량 10% 증가,,,,,,,,,,,,
20072103,200721,rare,패시브 1,347,174,3,땅 스파인,가시 방사,indie_time,5,power_rate,add,35,스킬의 피해량 20% 증가,,,,,,,,,,,,
20072104,200721,rare,패시브 1,347,174,4,땅 스파인,가시 방사,indie_time,5,power_rate,add,35,스킬의 피해량 30% 증가,,,,,,,,,,,,
20072105,200721,rare,패시브 1,347,174,5,땅 스파인,가시 방사,indie_time,2.5,power_rate,add,70,스킬의 피해량 50% 증가,,,,,,,,,,,,
20073101,200731,rare,패시브 2,,,1,땅 스파인,뾰족한 비늘,indie_time_short,0,,,,강화 효과 없음,,,,,,,,,,,,
20073102,200731,rare,패시브 2,,,2,땅 스파인,뾰족한 비늘,indie_time_short,0,chance_value,add,-1,재사용 시간 1초 감소,,,,,,,,,,,,
20073103,200731,rare,패시브 2,,,3,땅 스파인,뾰족한 비늘,indie_time_short,0,chance_value,add,-1,재사용 시간 2초 감소,,,,,,,,,,,,
20073104,200731,rare,패시브 2,,,4,땅 스파인,뾰족한 비늘,indie_time_short,0,chance_value,add,-1,재사용 시간 3초 감소,,,,,,,,,,,,
20073105,200731,rare,패시브 2,,,5,땅 스파인,뾰족한 비늘,indie_time_short,0,chance_value,add,-2,재사용 시간 5초 감소,,,,,,,,,,,,
20071201,200712,rare,드래그 스킬,545,273,1,물 스파인,가시의 별,active,5,,,,강화 효과 없음,,,,,,,,,,,,
20071202,200712,rare,드래그 스킬,545,273,2,물 스파인,가시의 별,active,5,power_rate,add,55,스킬의 피해량 10% 증가,,,,,,,,,,,,
20071203,200712,rare,드래그 스킬,545,273,3,물 스파인,가시의 별,active,5,power_rate,add,55,스킬의 피해량 20% 증가,,,,,,,,,,,,
20071204,200712,rare,드래그 스킬,545,273,4,물 스파인,가시의 별,active,5,power_rate,add,55,스킬의 피해량 30% 증가,,,,,,,,,,,,
20071205,200712,rare,드래그 스킬,545,273,5,물 스파인,가시의 별,active,2.5,power_rate,add,109,스킬의 피해량 50% 증가,,,,,,,,,,,,
20072201,200722,rare,패시브 1,495,248,1,물 스파인,가시 방사,basic_rate,5,,,,강화 효과 없음,,,,,,,,,,,,
20072202,200722,rare,패시브 1,495,248,2,물 스파인,가시 방사,basic_rate,5,power_rate,add,50,스킬의 피해량 10% 증가,,,,,,,,,,,,
20072203,200722,rare,패시브 1,495,248,3,물 스파인,가시 방사,basic_rate,5,power_rate,add,50,스킬의 피해량 20% 증가,,,,,,,,,,,,
20072204,200722,rare,패시브 1,495,248,4,물 스파인,가시 방사,basic_rate,5,power_rate,add,50,스킬의 피해량 30% 증가,,,,,,,,,,,,
20072205,200722,rare,패시브 1,495,248,5,물 스파인,가시 방사,basic_rate,2.5,power_rate,add,99,스킬의 피해량 50% 증가,,,,,,,,,,,,
20073201,200732,rare,패시브 2,,,1,물 스파인,뾰족한 비늘,indie_time_short,0,,,,강화 효과 없음,,,,,,,,,,,,
20073202,200732,rare,패시브 2,,,2,물 스파인,뾰족한 비늘,indie_time_short,0,chance_value,add,-1,재사용 시간 1초 감소,,,,,,,,,,,,
20073203,200732,rare,패시브 2,,,3,물 스파인,뾰족한 비늘,indie_time_short,0,chance_value,add,-1,재사용 시간 2초 감소,,,,,,,,,,,,
20073204,200732,rare,패시브 2,,,4,물 스파인,뾰족한 비늘,indie_time_short,0,chance_value,add,-1,재사용 시간 3초 감소,,,,,,,,,,,,
20073205,200732,rare,패시브 2,,,5,물 스파인,뾰족한 비늘,indie_time_short,0,chance_value,add,-2,재사용 시간 5초 감소,,,,,,,,,,,,
20071301,200713,rare,드래그 스킬,545,273,1,불 스파인,가시의 별,active,5,,,,강화 효과 없음,,,,,,,,,,,,
20071302,200713,rare,드래그 스킬,545,273,2,불 스파인,가시의 별,active,5,power_rate,add,55,스킬의 피해량 10% 증가,,,,,,,,,,,,
20071303,200713,rare,드래그 스킬,545,273,3,불 스파인,가시의 별,active,5,power_rate,add,55,스킬의 피해량 20% 증가,,,,,,,,,,,,
20071304,200713,rare,드래그 스킬,545,273,4,불 스파인,가시의 별,active,5,power_rate,add,55,스킬의 피해량 30% 증가,,,,,,,,,,,,
20071305,200713,rare,드래그 스킬,545,273,5,불 스파인,가시의 별,active,2.5,power_rate,add,109,스킬의 피해량 50% 증가,,,,,,,,,,,,
20072301,200723,rare,패시브 1,347,174,1,불 스파인,가시 방사,indie_time,5,,,,강화 효과 없음,,,,,,,,,,,,
20072302,200723,rare,패시브 1,347,174,2,불 스파인,가시 방사,indie_time,5,power_rate,add,35,스킬의 피해량 10% 증가,,,,,,,,,,,,
20072303,200723,rare,패시브 1,347,174,3,불 스파인,가시 방사,indie_time,5,power_rate,add,35,스킬의 피해량 20% 증가,,,,,,,,,,,,
20072304,200723,rare,패시브 1,347,174,4,불 스파인,가시 방사,indie_time,5,power_rate,add,35,스킬의 피해량 30% 증가,,,,,,,,,,,,
20072305,200723,rare,패시브 1,347,174,5,불 스파인,가시 방사,indie_time,2.5,power_rate,add,70,스킬의 피해량 50% 증가,,,,,,,,,,,,
20073301,200733,rare,패시브 2,,,1,불 스파인,뾰족한 비늘,indie_time_short,0,,,,강화 효과 없음,,,,,,,,,,,,
20073302,200733,rare,패시브 2,,,2,불 스파인,뾰족한 비늘,indie_time_short,0,chance_value,add,-1,재사용 시간 1초 감소,,,,,,,,,,,,
20073303,200733,rare,패시브 2,,,3,불 스파인,뾰족한 비늘,indie_time_short,0,chance_value,add,-1,재사용 시간 2초 감소,,,,,,,,,,,,
20073304,200733,rare,패시브 2,,,4,불 스파인,뾰족한 비늘,indie_time_short,0,chance_value,add,-1,재사용 시간 3초 감소,,,,,,,,,,,,
20073305,200733,rare,패시브 2,,,5,불 스파인,뾰족한 비늘,indie_time_short,0,chance_value,add,-2,재사용 시간 5초 감소,,,,,,,,,,,,
20071401,200714,rare,드래그 스킬,545,273,1,빛 스파인,가시의 별,active,5,,,,강화 효과 없음,,,,,,,,,,,,
20071402,200714,rare,드래그 스킬,545,273,2,빛 스파인,가시의 별,active,5,power_rate,add,55,스킬의 피해량 10% 증가,,,,,,,,,,,,
20071403,200714,rare,드래그 스킬,545,273,3,빛 스파인,가시의 별,active,5,power_rate,add,55,스킬의 피해량 20% 증가,,,,,,,,,,,,
20071404,200714,rare,드래그 스킬,545,273,4,빛 스파인,가시의 별,active,5,power_rate,add,55,스킬의 피해량 30% 증가,,,,,,,,,,,,
20071405,200714,rare,드래그 스킬,545,273,5,빛 스파인,가시의 별,active,2.5,power_rate,add,109,스킬의 피해량 50% 증가,,,,,,,,,,,,
20072401,200724,rare,패시브 1,495,248,1,빛 스파인,가시 방사,basic_rate,5,,,,강화 효과 없음,,,,,,,,,,,,
20072402,200724,rare,패시브 1,495,248,2,빛 스파인,가시 방사,basic_rate,5,power_rate,add,50,스킬의 피해량 10% 증가,,,,,,,,,,,,
20072403,200724,rare,패시브 1,495,248,3,빛 스파인,가시 방사,basic_rate,5,power_rate,add,50,스킬의 피해량 20% 증가,,,,,,,,,,,,
20072404,200724,rare,패시브 1,495,248,4,빛 스파인,가시 방사,basic_rate,5,power_rate,add,50,스킬의 피해량 30% 증가,,,,,,,,,,,,
20072405,200724,rare,패시브 1,495,248,5,빛 스파인,가시 방사,basic_rate,2.5,power_rate,add,99,스킬의 피해량 50% 증가,,,,,,,,,,,,
20073401,200734,rare,패시브 2,,,1,빛 스파인,뾰족한 비늘,indie_time_short,0,,,,강화 효과 없음,,,,,,,,,,,,
20073402,200734,rare,패시브 2,,,2,빛 스파인,뾰족한 비늘,indie_time_short,0,chance_value,add,-1,재사용 시간 1초 감소,,,,,,,,,,,,
20073403,200734,rare,패시브 2,,,3,빛 스파인,뾰족한 비늘,indie_time_short,0,chance_value,add,-1,재사용 시간 2초 감소,,,,,,,,,,,,
20073404,200734,rare,패시브 2,,,4,빛 스파인,뾰족한 비늘,indie_time_short,0,chance_value,add,-1,재사용 시간 3초 감소,,,,,,,,,,,,
20073405,200734,rare,패시브 2,,,5,빛 스파인,뾰족한 비늘,indie_time_short,0,chance_value,add,-2,재사용 시간 5초 감소,,,,,,,,,,,,
20071501,200715,rare,드래그 스킬,545,273,1,어둠 스파인,가시의 별,active,5,,,,강화 효과 없음,,,,,,,,,,,,
20071502,200715,rare,드래그 스킬,545,273,2,어둠 스파인,가시의 별,active,5,power_rate,add,55,스킬의 피해량 10% 증가,,,,,,,,,,,,
20071503,200715,rare,드래그 스킬,545,273,3,어둠 스파인,가시의 별,active,5,power_rate,add,55,스킬의 피해량 20% 증가,,,,,,,,,,,,
20071504,200715,rare,드래그 스킬,545,273,4,어둠 스파인,가시의 별,active,5,power_rate,add,55,스킬의 피해량 30% 증가,,,,,,,,,,,,
20071505,200715,rare,드래그 스킬,545,273,5,어둠 스파인,가시의 별,active,2.5,power_rate,add,109,스킬의 피해량 50% 증가,,,,,,,,,,,,
20072501,200725,rare,패시브 1,347,174,1,어둠 스파인,가시 방사,indie_time,5,,,,강화 효과 없음,,,,,,,,,,,,
20072502,200725,rare,패시브 1,347,174,2,어둠 스파인,가시 방사,indie_time,5,power_rate,add,35,스킬의 피해량 10% 증가,,,,,,,,,,,,
20072503,200725,rare,패시브 1,347,174,3,어둠 스파인,가시 방사,indie_time,5,power_rate,add,35,스킬의 피해량 20% 증가,,,,,,,,,,,,
20072504,200725,rare,패시브 1,347,174,4,어둠 스파인,가시 방사,indie_time,5,power_rate,add,35,스킬의 피해량 30% 증가,,,,,,,,,,,,
20072505,200725,rare,패시브 1,347,174,5,어둠 스파인,가시 방사,indie_time,2.5,power_rate,add,70,스킬의 피해량 50% 증가,,,,,,,,,,,,
20073501,200735,rare,패시브 2,,,1,어둠 스파인,뾰족한 비늘,indie_time_short,0,,,,강화 효과 없음,,,,,,,,,,,,
20073502,200735,rare,패시브 2,,,2,어둠 스파인,뾰족한 비늘,indie_time_short,0,chance_value,add,-1,재사용 시간 1초 감소,,,,,,,,,,,,
20073503,200735,rare,패시브 2,,,3,어둠 스파인,뾰족한 비늘,indie_time_short,0,chance_value,add,-1,재사용 시간 2초 감소,,,,,,,,,,,,
20073504,200735,rare,패시브 2,,,4,어둠 스파인,뾰족한 비늘,indie_time_short,0,chance_value,add,-1,재사용 시간 3초 감소,,,,,,,,,,,,
20073505,200735,rare,패시브 2,,,5,어둠 스파인,뾰족한 비늘,indie_time_short,0,chance_value,add,-2,재사용 시간 5초 감소,,,,,,,,,,,,
20081101,200811,rare,드래그 스킬,396,198,1,땅 리프드래곤,리프 블레이드,active,5,,,,강화 효과 없음,,,,,,,,,,,,
20081102,200811,rare,드래그 스킬,396,198,2,땅 리프드래곤,리프 블레이드,active,5,power_rate,add,40,스킬의 피해량 10% 증가,,,,,,,,,,,,
20081103,200811,rare,드래그 스킬,396,198,3,땅 리프드래곤,리프 블레이드,active,5,power_rate,add,40,스킬의 피해량 20% 증가,,,,,,,,,,,,
20081104,200811,rare,드래그 스킬,396,198,4,땅 리프드래곤,리프 블레이드,active,5,power_rate,add,40,스킬의 피해량 30% 증가,,,,,,,,,,,,
20081105,200811,rare,드래그 스킬,396,198,5,땅 리프드래곤,리프 블레이드,active,2.5,power_rate,add,79,스킬의 피해량 50% 증가,,,,,,,,,,,,
20082101,200821,rare,패시브 1,792,396,1,땅 리프드래곤,매직 리프,indie_time,5,,,,강화 효과 없음,,,,,,,,,,,,
20082102,200821,rare,패시브 1,792,396,2,땅 리프드래곤,매직 리프,indie_time,5,power_rate,add,79,스킬의 피해량 10% 증가,,,,,,,,,,,,
20082103,200821,rare,패시브 1,792,396,3,땅 리프드래곤,매직 리프,indie_time,5,power_rate,add,79,스킬의 피해량 20% 증가,,,,,,,,,,,,
20082104,200821,rare,패시브 1,792,396,4,땅 리프드래곤,매직 리프,indie_time,5,power_rate,add,79,스킬의 피해량 30% 증가,,,,,,,,,,,,
20082105,200821,rare,패시브 1,792,396,5,땅 리프드래곤,매직 리프,indie_time,2.5,power_rate,add,158,스킬의 피해량 50% 증가,,,,,,,,,,,,
20083101,200831,rare,패시브 2,,,1,땅 리프드래곤,공격력 증가,passive,0,,,,강화 효과 없음,,,,,,,,,,,,
20083102,200831,rare,패시브 2,,,2,땅 리프드래곤,공격력 증가,passive,0,add_option_value_1,add,3,공격력 증가량 3% 증가,,,,,,,,,,,,
20083103,200831,rare,패시브 2,,,3,땅 리프드래곤,공격력 증가,passive,0,add_option_value_1,add,3,공격력 증가량 6% 증가,,,,,,,,,,,,
20083104,200831,rare,패시브 2,,,4,땅 리프드래곤,공격력 증가,passive,0,add_option_value_1,add,4,공격력 증가량 10% 증가,,,,,,,,,,,,
20083105,200831,rare,패시브 2,,,5,땅 리프드래곤,공격력 증가,passive,0,add_option_value_1,add,4,공격력 증가량 14% 증가,,,,,,,,,,,,
20081201,200812,rare,드래그 스킬,396,198,1,물 리프드래곤,리프 블레이드,active,5,,,,강화 효과 없음,,,,,,,,,,,,
20081202,200812,rare,드래그 스킬,396,198,2,물 리프드래곤,리프 블레이드,active,5,power_rate,add,40,스킬의 피해량 10% 증가,,,,,,,,,,,,
20081203,200812,rare,드래그 스킬,396,198,3,물 리프드래곤,리프 블레이드,active,5,power_rate,add,40,스킬의 피해량 20% 증가,,,,,,,,,,,,
20081204,200812,rare,드래그 스킬,396,198,4,물 리프드래곤,리프 블레이드,active,5,power_rate,add,40,스킬의 피해량 30% 증가,,,,,,,,,,,,
20081205,200812,rare,드래그 스킬,396,198,5,물 리프드래곤,리프 블레이드,active,2.5,power_rate,add,79,스킬의 피해량 50% 증가,,,,,,,,,,,,
20082201,200822,rare,패시브 1,792,396,1,물 리프드래곤,매직 리프,indie_time,5,,,,강화 효과 없음,,,,,,,,,,,,
20082202,200822,rare,패시브 1,792,396,2,물 리프드래곤,매직 리프,indie_time,5,power_rate,add,79,스킬의 피해량 10% 증가,,,,,,,,,,,,
20082203,200822,rare,패시브 1,792,396,3,물 리프드래곤,매직 리프,indie_time,5,power_rate,add,79,스킬의 피해량 20% 증가,,,,,,,,,,,,
20082204,200822,rare,패시브 1,792,396,4,물 리프드래곤,매직 리프,indie_time,5,power_rate,add,79,스킬의 피해량 30% 증가,,,,,,,,,,,,
20082205,200822,rare,패시브 1,792,396,5,물 리프드래곤,매직 리프,indie_time,2.5,power_rate,add,158,스킬의 피해량 50% 증가,,,,,,,,,,,,
20083201,200832,rare,패시브 2,,,1,물 리프드래곤,공격속도 증가,passive,0,,,,강화 효과 없음,,,,,,,,,,,,
20083202,200832,rare,패시브 2,,,2,물 리프드래곤,공격속도 증가,passive,0,add_option_value_1,add,3,공격속도 증가량 3% 증가,,,,,,,,,,,,
20083203,200832,rare,패시브 2,,,3,물 리프드래곤,공격속도 증가,passive,0,add_option_value_1,add,3,공격속도 증가량 6% 증가,,,,,,,,,,,,
20083204,200832,rare,패시브 2,,,4,물 리프드래곤,공격속도 증가,passive,0,add_option_value_1,add,4,공격속도 증가량 10% 증가,,,,,,,,,,,,
20083205,200832,rare,패시브 2,,,5,물 리프드래곤,공격속도 증가,passive,0,add_option_value_1,add,4,공격속도 증가량 14% 증가,,,,,,,,,,,,
20081301,200813,rare,드래그 스킬,396,198,1,불 리프드래곤,리프 블레이드,active,5,,,,강화 효과 없음,,,,,,,,,,,,
20081302,200813,rare,드래그 스킬,396,198,2,불 리프드래곤,리프 블레이드,active,5,power_rate,add,40,스킬의 피해량 10% 증가,,,,,,,,,,,,
20081303,200813,rare,드래그 스킬,396,198,3,불 리프드래곤,리프 블레이드,active,5,power_rate,add,40,스킬의 피해량 20% 증가,,,,,,,,,,,,
20081304,200813,rare,드래그 스킬,396,198,4,불 리프드래곤,리프 블레이드,active,5,power_rate,add,40,스킬의 피해량 30% 증가,,,,,,,,,,,,
20081305,200813,rare,드래그 스킬,396,198,5,불 리프드래곤,리프 블레이드,active,2.5,power_rate,add,79,스킬의 피해량 50% 증가,,,,,,,,,,,,
20082301,200823,rare,패시브 1,792,396,1,불 리프드래곤,매직 리프,indie_time,5,,,,강화 효과 없음,,,,,,,,,,,,
20082302,200823,rare,패시브 1,792,396,2,불 리프드래곤,매직 리프,indie_time,5,power_rate,add,79,스킬의 피해량 10% 증가,,,,,,,,,,,,
20082303,200823,rare,패시브 1,792,396,3,불 리프드래곤,매직 리프,indie_time,5,power_rate,add,79,스킬의 피해량 20% 증가,,,,,,,,,,,,
20082304,200823,rare,패시브 1,792,396,4,불 리프드래곤,매직 리프,indie_time,5,power_rate,add,79,스킬의 피해량 30% 증가,,,,,,,,,,,,
20082305,200823,rare,패시브 1,792,396,5,불 리프드래곤,매직 리프,indie_time,2.5,power_rate,add,158,스킬의 피해량 50% 증가,,,,,,,,,,,,
20083301,200833,rare,패시브 2,,,1,불 리프드래곤,치명 확률 증가,passive,0,,,,강화 효과 없음,,,,,,,,,,,,
20083302,200833,rare,패시브 2,,,2,불 리프드래곤,치명 확률 증가,passive,0,add_option_value_1,add,2,치명확률 증가량 2% 증가,,,,,,,,,,,,
20083303,200833,rare,패시브 2,,,3,불 리프드래곤,치명 확률 증가,passive,0,add_option_value_1,add,2,치명확률 증가량 4% 증가,,,,,,,,,,,,
20083304,200833,rare,패시브 2,,,4,불 리프드래곤,치명 확률 증가,passive,0,add_option_value_1,add,2,치명확률 증가량 6% 증가,,,,,,,,,,,,
20083305,200833,rare,패시브 2,,,5,불 리프드래곤,치명 확률 증가,passive,0,add_option_value_1,add,4,치명확률 증가량 10% 증가,,,,,,,,,,,,
