stage,reward_first,reward_repeat,bonus_attr,reward_first_fire,reward_repeat_fire,reward_first_water,reward_repeat_water,reward_first_earth,reward_repeat_earth,reward_first_light,reward_repeat_light,reward_first_dark,reward_repeat_dark
1401200,,,,703001;1,gold;24600,703001;1,gold;24600,703001;1,gold;24600,703001;1,gold;24600,703001;1,gold;24600
1401201,,,,gold;406500,gold;24600,gold;406500,gold;24600,gold;406500,gold;24600,gold;406500,gold;24600,gold;406500,gold;24600
1401202,,,,gold;407000,gold;24600,gold;407000,gold;24600,gold;407000,gold;24600,gold;407000,gold;24600,gold;407000,gold;24600
1401203,,,,gold;407500,gold;24600,gold;407500,gold;24600,gold;407500,gold;24600,gold;407500,gold;24600,gold;407500,gold;24600
1401204,,,,gold;408000,gold;24600,gold;408000,gold;24600,gold;408000,gold;24600,gold;408000,gold;24600,gold;408000,gold;24600
1401205,,,,cash;3000,gold;24600,cash;3000,gold;24600,cash;3000,gold;24600,cash;3000,gold;24600,cash;3000,gold;24600
1401206,,,,gold;408500,gold;24600,gold;408500,gold;24600,gold;408500,gold;24600,gold;408500,gold;24600,gold;408500,gold;24600
1401207,,,,gold;409000,gold;24600,gold;409000,gold;24600,gold;409000,gold;24600,gold;409000,gold;24600,gold;409000,gold;24600
1401208,,,,gold;409500,gold;24600,gold;409500,gold;24600,gold;409500,gold;24600,gold;409500,gold;24600,gold;409500,gold;24600
1401209,,,,gold;410000,gold;24600,gold;410000,gold;24600,gold;410000,gold;24600,gold;410000,gold;24600,gold;410000,gold;24600
1401210,,,,760005;80,gold;24600,760005;80,gold;24600,760005;80,gold;24600,760005;80,gold;24600,760005;80,gold;24600
1401211,,,,gold;407000,gold;24600,gold;407000,gold;24600,gold;407000,gold;24600,gold;407000,gold;24600,gold;407000,gold;24600
1401212,,,,gold;407500,gold;24600,gold;407500,gold;24600,gold;407500,gold;24600,gold;407500,gold;24600,gold;407500,gold;24600
1401213,,,,gold;408000,gold;24600,gold;408000,gold;24600,gold;408000,gold;24600,gold;408000,gold;24600,gold;408000,gold;24600
1401214,,,,gold;408500,gold;24600,gold;408500,gold;24600,gold;408500,gold;24600,gold;408500,gold;24600,gold;408500,gold;24600
1401215,,,,cash;3000,gold;24600,cash;3000,gold;24600,cash;3000,gold;24600,cash;3000,gold;24600,cash;3000,gold;24600
1401216,,,,gold;409000,gold;24600,gold;409000,gold;24600,gold;409000,gold;24600,gold;409000,gold;24600,gold;409000,gold;24600
1401217,,,,gold;409500,gold;24600,gold;409500,gold;24600,gold;409500,gold;24600,gold;409500,gold;24600,gold;409500,gold;24600
1401218,,,,gold;410000,gold;24600,gold;410000,gold;24600,gold;410000,gold;24600,gold;410000,gold;24600,gold;410000,gold;24600
1401219,,,,gold;410500,gold;24600,gold;410500,gold;24600,gold;410500,gold;24600,gold;410500,gold;24600,gold;410500,gold;24600
1401220,,,,760005;80,gold;24600,760005;80,gold;24600,760005;80,gold;24600,760005;80,gold;24600,760005;80,gold;24600
1401221,,,,gold;407500,gold;24600,gold;407500,gold;24600,gold;407500,gold;24600,gold;407500,gold;24600,gold;407500,gold;24600
1401222,,,,gold;408000,gold;24600,gold;408000,gold;24600,gold;408000,gold;24600,gold;408000,gold;24600,gold;408000,gold;24600
1401223,,,,gold;408500,gold;24600,gold;408500,gold;24600,gold;408500,gold;24600,gold;408500,gold;24600,gold;408500,gold;24600
1401224,,,,gold;409000,gold;24600,gold;409000,gold;24600,gold;409000,gold;24600,gold;409000,gold;24600,gold;409000,gold;24600
1401225,,,,cash;3000,gold;24600,cash;3000,gold;24600,cash;3000,gold;24600,cash;3000,gold;24600,cash;3000,gold;24600
1401226,,,,gold;409500,gold;24600,gold;409500,gold;24600,gold;409500,gold;24600,gold;409500,gold;24600,gold;409500,gold;24600
1401227,,,,gold;410000,gold;24600,gold;410000,gold;24600,gold;410000,gold;24600,gold;410000,gold;24600,gold;410000,gold;24600
1401228,,,,gold;410500,gold;24600,gold;410500,gold;24600,gold;410500,gold;24600,gold;410500,gold;24600,gold;410500,gold;24600
1401229,,,,gold;411000,gold;24600,gold;411000,gold;24600,gold;411000,gold;24600,gold;411000,gold;24600,gold;411000,gold;24600
1401230,,,,703001;1,gold;24600,703001;1,gold;24600,703001;1,gold;24600,703001;1,gold;24600,703001;1,gold;24600
1401231,,,,gold;408000,gold;24600,gold;408000,gold;24600,gold;408000,gold;24600,gold;408000,gold;24600,gold;408000,gold;24600
1401232,,,,gold;408500,gold;24600,gold;408500,gold;24600,gold;408500,gold;24600,gold;408500,gold;24600,gold;408500,gold;24600
1401233,,,,gold;409000,gold;24600,gold;409000,gold;24600,gold;409000,gold;24600,gold;409000,gold;24600,gold;409000,gold;24600
1401234,,,,gold;409500,gold;24600,gold;409500,gold;24600,gold;409500,gold;24600,gold;409500,gold;24600,gold;409500,gold;24600
1401235,,,,cash;3000,gold;24600,cash;3000,gold;24600,cash;3000,gold;24600,cash;3000,gold;24600,cash;3000,gold;24600
1401236,,,,gold;410000,gold;24600,gold;410000,gold;24600,gold;410000,gold;24600,gold;410000,gold;24600,gold;410000,gold;24600
1401237,,,,gold;410500,gold;24600,gold;410500,gold;24600,gold;410500,gold;24600,gold;410500,gold;24600,gold;410500,gold;24600
1401238,,,,gold;411000,gold;24600,gold;411000,gold;24600,gold;411000,gold;24600,gold;411000,gold;24600,gold;411000,gold;24600
1401239,,,,gold;411500,gold;24600,gold;411500,gold;24600,gold;411500,gold;24600,gold;411500,gold;24600,gold;411500,gold;24600
1401240,,,,760005;80,gold;24600,760005;80,gold;24600,760005;80,gold;24600,760005;80,gold;24600,760005;80,gold;24600
1401241,,,,gold;408500,gold;24600,gold;408500,gold;24600,gold;408500,gold;24600,gold;408500,gold;24600,gold;408500,gold;24600
1401242,,,,gold;409000,gold;24600,gold;409000,gold;24600,gold;409000,gold;24600,gold;409000,gold;24600,gold;409000,gold;24600
1401243,,,,gold;409500,gold;24600,gold;409500,gold;24600,gold;409500,gold;24600,gold;409500,gold;24600,gold;409500,gold;24600
1401244,,,,gold;410000,gold;24600,gold;410000,gold;24600,gold;410000,gold;24600,gold;410000,gold;24600,gold;410000,gold;24600
1401245,,,,cash;3000,gold;24600,cash;3000,gold;24600,cash;3000,gold;24600,cash;3000,gold;24600,cash;3000,gold;24600
1401246,,,,gold;410500,gold;24600,gold;410500,gold;24600,gold;410500,gold;24600,gold;410500,gold;24600,gold;410500,gold;24600
1401247,,,,gold;411000,gold;24600,gold;411000,gold;24600,gold;411000,gold;24600,gold;411000,gold;24600,gold;411000,gold;24600
1401248,,,,gold;411500,gold;24600,gold;411500,gold;24600,gold;411500,gold;24600,gold;411500,gold;24600,gold;411500,gold;24600
1401249,,,,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600
1401250,,,,703001;1,gold;24600,703001;1,gold;24600,703001;1,gold;24600,703001;1,gold;24600,703001;1,gold;24600
1401251,,,,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600
1401252,,,,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600
1401253,,,,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600
1401254,,,,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600
1401255,,,,cash;3000,gold;24600,cash;3000,gold;24600,cash;3000,gold;24600,cash;3000,gold;24600,cash;3000,gold;24600
1401256,,,,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600
1401257,,,,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600
1401258,,,,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600
1401259,,,,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600
1401260,,,,760005;100,gold;24600,760005;100,gold;24600,760005;100,gold;24600,760005;100,gold;24600,760005;100,gold;24600
1401261,,,,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600
1401262,,,,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600
1401263,,,,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600
1401264,,,,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600
1401265,,,,cash;4000,gold;24600,cash;4000,gold;24600,cash;4000,gold;24600,cash;4000,gold;24600,cash;4000,gold;24600
1401266,,,,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600
1401267,,,,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600
1401268,,,,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600
1401269,,,,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600
1401270,,,,760005;100,gold;24600,760005;100,gold;24600,760005;100,gold;24600,760005;100,gold;24600,760005;100,gold;24600
1401271,,,,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600
1401272,,,,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600
1401273,,,,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600
1401274,,,,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600
1401275,,,,cash;4000,gold;24600,cash;4000,gold;24600,cash;4000,gold;24600,cash;4000,gold;24600,cash;4000,gold;24600
1401276,,,,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600
1401277,,,,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600
1401278,,,,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600
1401279,,,,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600
1401280,,,,703001;1,gold;24600,703001;1,gold;24600,703001;1,gold;24600,703001;1,gold;24600,703001;1,gold;24600
1401281,,,,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600
1401282,,,,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600
1401283,,,,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600
1401284,,,,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600
1401285,,,,cash;5000,gold;24600,cash;5000,gold;24600,cash;5000,gold;24600,cash;5000,gold;24600,cash;5000,gold;24600
1401286,,,,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600
1401287,,,,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600
1401288,,,,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600
1401289,,,,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600
1401290,,,,760005;100,gold;24600,760005;100,gold;24600,760005;100,gold;24600,760005;100,gold;24600,760005;100,gold;24600
1401291,,,,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600
1401292,,,,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600
1401293,,,,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600
1401294,,,,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600
1401295,,,,cash;5000,gold;24600,cash;5000,gold;24600,cash;5000,gold;24600,cash;5000,gold;24600,cash;5000,gold;24600
1401296,,,,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600
1401297,,,,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600
1401298,,,,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600
1401299,,,,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600,gold;412000,gold;24600
1401300,,,,703001;1,gold;24600,703001;1,gold;24600,703001;1,gold;24600,703001;1,gold;24600,703001;1,gold;24600
