en,fa
Selected Items,آیتم های انتخاب شده
Rune x{1},Rune x {1}
Evolution material x{2},مواد سیر تکاملی x {2}
Closeness Fruit x{3},میوه نزدیکی x {3}
Appearance Change material x{4},تغییرات ظاهری x {4}
Sell {5} items for {6} Gold?,فروش {5} مورد برای {6} طلا؟
Selected Runes,رونز انتخاب شده
Selected Items,آیتم های انتخاب شده
Sell the selected items for {1} Gold?,اقلام انتخابی را برای {1} طلا بفروشید؟
No selected Runes.,رونز انتخابی وجود ندارد.
Duration: Jul 25 00:00-Jul 26 23:59,مدت زمان: 25 ژوئیه 00:00 - ژوئیه 26 23:59
Adds Invulnerability to the {2} most vulnerable allies for {3} seconds when you are attacked {1} times.,هنگامی که {1} بار مورد حمله قرار می گیرید، آسیب ناپذیری را به {2} آسیب پذیرترین متحدان برای {3} ثانیه اضافه می کند.
The Massive Dragon and Tree Dungeons Updated!,The Massive اژدها and Tree Dungeons به روز شد!
"Creates a {1}% chance of decreasing its target's DEF for {2} seconds before attacking.\nAfterward, explodes with the power of chaos, inflicting damage.\nThis skill's damage significantly increases, depending on the character's Max HP.",احتمال {1}% کاهش DEF هدف خود را برای {2} ثانیه قبل از حمله ایجاد می‌کند.\nپس از آن، با قدرت هرج و مرج منفجر می‌شود و باعث آسیب می‌شود.\nبسته به حداکثر HP شخصیت، آسیب این مهارت به میزان قابل توجهی افزایش می‌یابد.
"Creates a {1}% chance of decreasing its target's CRIT Evasion for {2} seconds before attacking.\nAfterward, explodes with the power of chaos, inflicting damage.\nThis skill's damage significantly increases, depending on the character's Max HP.",احتمال {1}% کاهش CRIT Evasion هدف خود را برای {2} ثانیه قبل از حمله ایجاد می‌کند.\nپس از آن، با قدرت هرج و مرج منفجر می‌شود و آسیب وارد می‌کند.\nبسته به حداکثر HP شخصیت، آسیب این مهارت به میزان قابل توجهی افزایش می‌یابد.
"Removes Barrier effects cast on its target before attacking.\nAfterward, explodes with the power of chaos, inflicting damage.\nThis skill's damage significantly increases, depending on the character's Max HP.",قبل از حمله، جلوه‌های سدی را که روی هدفش قرار می‌گیرد، حذف می‌کند.\nپس از آن، با قدرت هرج و مرج منفجر می‌شود و آسیب وارد می‌کند.\nمیزان این مهارت به میزان قابل توجهی افزایش می‌یابد، بسته به حداکثر قدرت شخصیت شخصیت.
I will never be defeated!,من هرگز شکست نخواهم خورد!
Have faith in me. I'll protect all that is precious to you.,به من ایمان داشته باش من از همه چیزهایی که برای شما ارزشمند است محافظت خواهم کرد.
Don't you trust me?,به من اعتماد نداری؟
Don't ask me about my past.,از من در مورد گذشته ام نپرس.
I'm the best there is!,من بهترینم!
Call me whenever you need me.,هر وقت به من نیاز داشتی با من تماس بگیر
You have no need to fear me. I'm no longer your enemy.,تو نیازی به ترس از من نداری من دیگر دشمن تو نیستم
I'll get rid of you all!,من از شر همه شما خلاص خواهم شد!
Infinite Regeneration,بازسازی بی نهایت
"A chaos dragon with infinite power. Originally Kaiser Barlog, the monstrous soldier of Kades, it was reborn as a dragon by the power of the Magistone.",اژدهای هرج و مرج با قدرت بی نهایت. در اصل قیصر بارلوگ، سرباز هیولایی کادس، به‌عنوان یک اژدها با قدرت Magistone دوباره متولد شد.
This is a gift for your faith.,این هدیه ای برای ایمان شماست.
Barlog,بارلوگ
Barlog (Earth),بارلوگ (زمین)
Barlog (Earth) Relationship Point,نقطه رابطه بارلوگ (زمین).
Barlog (Fire),بارلوگ (آتش)
Barlog (Fire) Relationship Point,نقطه رابطه بارلوگ (آتش).
Barlog (Light),بارلوگ (سبک)
Barlog (Light) Relationship Point,نقطه رابطه بارلوگ (سبک).
"The more I get hurt, the stronger I become!",هر چه بیشتر صدمه ببینم قوی تر می شوم!
Bestial Instinct,غریزه حیوانی
Why haven't I noticed the beauty of this world until now?,چرا تا به حال به زیبایی این دنیا توجه نکرده ام؟
"Accessible {@yellow}anytime{@default}, regardless of the day.",در هر زمان { {@yellow}، بدون توجه به روز، {@default} قابل دسترسی است.
Our trust in each other will last forever.,اعتماد ما به یکدیگر برای همیشه ماندگار خواهد بود.
ONE Store Launch Event Package 1,بسته رویداد راه اندازی فروشگاه ONE 1
ONE Store Launch Event Package 2,بسته 2 رویداد راه اندازی فروشگاه ONE
I'll protect you now.,الان ازت محافظت میکنم
"Here, take this.",اینجا، این را بگیر
Increases its own amount of recovery by {1}%.,مقدار بازیابی خود را تا {1}٪ افزایش می دهد.
Nature's Protection,حفاظت از طبیعت
Are you ready to fight?,آیا برای مبارزه آماده هستید؟
I've been reborn by the power of purification.,من با قدرت تطهیر دوباره متولد شده ام.
Condition count -1,تعداد شرایط -1
Condition count -2,تعداد شرایط -2
Condition count -3,تعداد شرایط -3
Condition count -5,تعداد شرایط -5
"For now, I walk the path of light.",فعلاً راه نور را می روم.
"Kades? He was my master once, but now he's my enemy.",کادس؟ او زمانی ارباب من بود، اما اکنون دشمن من است.
Kaiser Barlog... I've abandoned that name.,قیصر بارلوگ... من این نام را رها کرده ام.
"Tamer, I wish to be with you.",رام کننده، آرزو دارم با تو باشم.
Hot Time Update Special Bonus,جایزه ویژه Hot Time Update
Vanish into chaos!,در هرج و مرج ناپدید شوید!
The power of chaos is not evil.,قدرت آشوب شیطانی نیست.
Guardian of Chaos,نگهبان آشوب
I'll show you the essence of chaos.,من جوهر هرج و مرج را به شما نشان خواهم داد.
Power of Chaos,قدرت آشوب
Power of Chaos!,قدرت آشوب!
I'll eliminate everything evil with the power of chaos.,من با قدرت هرج و مرج همه چیز بد را از بین خواهم برد.
Custom Package,بسته سفارشی
Summer Special Package,پکیج ویژه تابستانی
Summer Special Custom Package,بسته سفارشی ویژه تابستان
Select Item,مورد را انتخاب کنید
Select,انتخاب کنید
Custom Select,انتخاب سفارشی
Next Item,مورد بعدی
Select the item you like.,موردی را که دوست دارید انتخاب کنید.
Selectable Items,موارد قابل انتخاب
Custom packages let you select and buy only the items that you like.,بسته های سفارشی به شما امکان می دهد فقط مواردی را که دوست دارید انتخاب و خریداری کنید.
▶ Ending Soon ◀ Log in now and use your Daily Hot Time!,▶ به زودی به پایان می رسد ◀ اکنون وارد شوید و از زمان داغ روزانه خود استفاده کنید!
The Massive Dragon dungeon now generates {@yellow}{1}% more{@default} Evolution materials.,سیاهچال اژدها عظیم اکنون {@yellow} {1}% {@default} مواد سیر تکاملی بیشتری تولید می‌کند.
The Massive Tree dungeon now generates {@yellow}{1}% more{@default} Closeness Fruits.,سیاهچال درخت عظیم اکنون {@yellow} {1}% بیشتر {@default} Coseness Fruits تولید می‌کند.
Increased Evolution Material gain,افزایش سود مواد سیر تکاملی
Increased Closeness Fruit gain,افزایش نزدیکی افزایش میوه
1 Daily Hot Time is issued every day.,1 روزانه Hot Time هر روز صادر می شود.
"Daily Hot Time begins when you tap Start, and lasts for {@yellow}2 hours{@default}.",زمان داغ روزانه با ضربه زدن روی Start شروع می‌شود و برای {@yellow} 2 ساعت {@default} ادامه دارد.
Daily Hot Time can only be used {@yellow}on the same day it's issued{@default}.,«زمان داغ روزانه» فقط در همان روزی که {@default} صادر می‌شود ، {@yellow} قابل استفاده است.
Daily Hot Time can help you grow quickly.,Daily Hot Time می تواند به رشد سریع شما کمک کند.
Don't miss out on your Daily Hot Time every day!,هر روز ساعت داغ روزانه خود را از دست ندهید!
Honor Gain Bonus Event,رویداد جایزه Honor Gain
Gain twice as much Honor as usual in the Colosseum during this event!,در طول این رویداد دو برابر بیشتر از حد معمول در کولوسئوم افتخار کسب کنید!
Unlimited Access to the Massive Dragon/Tree Dungeons,دسترسی نامحدود به اژدها عظیم / سیاه چال‌های درختی
"You can now play any stage of the Massive Dragon/Tree Dungeons anytime, regardless of the day.",اکنون می‌توانید هر مرحله از بازی Massive اژدها/Tree Dungeons را بدون توجه به روز بازی کنید.
Equivalent to {1} Diamonds,معادل {1} الماس
Recommended for Intermediate Players,برای بازیکنان متوسط ​​توصیه می شود
Recommended for Advanced Players,برای بازیکنان پیشرفته توصیه می شود
Maintenance on Jun 29 - Jul 2 23:59,تعمیر و نگهداری در 29 ژوئن - 2 ژوئیه 23:59
Hot Time Update Special,Hot Time Update ویژه
Summer Special Random Box,جعبه تصادفی ویژه تابستان
Summer\nSpecial Discount,تابستان\nتخفیف ویژه
A water dragon who's noble in spirit and powerfully built. Subjugates enemies with the freezing power of ice and the immeasurable power of sea.,یک اژدهای آبی که از نظر روحی نجیب و قدرتمند است. با قدرت انجماد یخ و قدرت بی اندازه دریا، دشمنان را تحت سلطه خود در می آورد.
Google Featured Selection Celebration\\nCheck-in Event,جشن انتخاب ویژه Google\\nرویداد اعلام حضور
"Unleashes the power of marble, inflicting damage. This attack receives a {1}% bonus of your ATK.\nTargets with {2}% or more HP have a {3}% chance of being Stunned for {4} seconds.",قدرت سنگ مرمر را آزاد می کند و باعث آسیب می شود. این حمله یک پاداش {1}% از ATK شما دریافت می‌کند.\nهدف‌هایی که دارای {2} درصد یا بیشتر HP هستند، {3} درصد احتمال دارد برای {4} ثانیه مبهوت شوند.
Take me to the sea.,منو ببر دریا
"If you want my power, you'll have to pass my test first.",اگر قدرت من را می خواهید، ابتدا باید از آزمون من عبور کنید.
I'm the king of the sea!,من پادشاه دریا هستم!
How much do you know about the sea?,چقدر دریا را می شناسید؟
Prove to me that you're worthy of the blessings of the sea.,به من ثابت کن که لایق نعمت های دریا هستی.
The one who stands before you is the king of the sea.,کسی که در مقابل شما ایستاده است پادشاه دریا است.
The power of sea will answer your call if you want it badly enough.,اگر به اندازه کافی بخواهید، نیروی دریا به تماس شما پاسخ می دهد.
{1} or more targets increase final damage by {2}%.,{1} یا بیشتر هدف، آسیب نهایی را تا {2}٪ افزایش می دهد.
The infinite power will protect you.,قدرت بی نهایت از شما محافظت خواهد کرد.
Have you ever been hit by a water cannon?,آیا تا به حال مورد اصابت توپ آب قرار گرفته اید؟
I need more water.,من به آب بیشتری نیاز دارم.
The sea is the mother of life.,دریا مادر زندگی است.
The sea is stronger than lava!,دریا قوی تر از گدازه است!
The sea possesses power that's beyond your imagination.,دریا قدرتی دارد که فراتر از تصور شماست.
Try to be as generous as the sea.,سعی کن مثل دریا سخاوتمند باشی.
Authority of the Sea,اقتدار دریا
"Condenses the mana of the sea into a water jet, attacking enemies.\nThis attack increases its user's ATK by {1}%.",مانای دریا را به یک جت آب متراکم می‌کند و به دشمنان حمله می‌کند.\nاین حمله ATK کاربر خود را تا {1} درصد افزایش می‌دهد.
"You don't know the terror of the sea, do you?",تو از وحشت دریا خبر نداری؟
King of the Sea,پادشاه دریا
Here's a present from the sea king.,در اینجا یک هدیه از پادشاه دریا است.
The power of sea is infinite!,قدرت دریا بی نهایت است!
Believe in the power of sea.,به قدرت دریا ایمان داشته باشید.
I'm filled with the power of sea.,من پر از نیروی دریا هستم
No need to thank me.,نیازی به تشکر نیست
I want to cool people.,من می خواهم مردم را خنک کنم.
I need more moisture.,من به رطوبت بیشتری نیاز دارم.
Aqua Wave,موج آبی
"Look here, will you?",اینجا را نگاه کن، می‌خواهی؟
Being on land makes me feel antsy.,بودن در خشکی باعث می شود احساس مورچه کنم.
Periodically attacks random enemies.\nThis attack increases its user's ATK by {1}%.,به صورت دوره ای به دشمنان تصادفی حمله می کند.\nاین حمله ATK کاربر خود را تا {1}٪ افزایش می دهد.
Disappear into the waves!,در امواج ناپدید شو!
Poseidon,پوزیدون
Poseidon (Water),پوزیدون (اب)
Poseidon (Water) Relationship Point,نقطه ارتباط پوزیدون (اب).
Poseidon (Light),پوزیدون (سبک)
Poseidon (Light) Relationship Point,نقطه ارتباط پوزیدون (سبک).
Poseidon (Dark),پوزیدون (تاریک)
Poseidon (Dark) Relationship Point,نقطه ارتباط پوزیدون (تاریک).
Featured Selection Celebration\nCheck-in Event,جشن انتخاب ویژه\nرویداد اعلام حضور
Google Featured Selection Celebration,جشن انتخاب ویژه گوگل
Featured Selection Celebration,جشن انتخاب ویژه
{@yellow}Google Featured{@default} Selection Celebration,جشن انتخاب {@yellow} Google Featured {@default}
{@yellow}Featured{@default} Selection Celebration,{@yellow} جشن انتخاب ویژه {@default}
Hydrobreath,Hydrobreath
Hydrobreath+,Hydrobreath+
Monthly Rotation Hot Time,زمان داغ چرخش ماهانه
Featured Selection Celebration Hot Time,انتخاب ویژه جشن زمان داغ
Increases the <Kades's Eye> skill damage.\nPassive skill changes to {@yellow}concentrate attacks on a single enemy{@default}.,را افزایش می دهد<Kades's Eye> آسیب مهارت.\nتغییر مهارت غیرفعال به {@yellow} متمرکز کردن حملات روی یک دشمن {@default}.
Periodically attacks the enemy with the highest ATK with a {1}% chance of Silencing it for {2} sec.,به صورت دوره‌ای به دشمن با بالاترین ATK با احتمال {1} درصد خاموش کردن آن برای {2} ثانیه حمله می‌کند.
"Periodically attacks the enemy with the highest ATK.\nThis attack receives a {1}% bonus of your ATK.\nand Inflict greater damage when target has more remaining HP, by up to {2} times.",به صورت دوره‌ای به دشمن با بالاترین ATK حمله می‌کند.\nاین حمله یک پاداش {1}٪ از ATK شما دریافت می‌کند.\nو زمانی که هدف بیشتر HP باقی‌مانده داشته باشد، حداکثر تا {2} برابر آسیب بیشتری وارد می‌کند.
Mastery Level-up {1}% Off,سطح تسلط {1}% تخفیف
Mastery Level-up {1}% Off,سطح تسلط {1}% تخفیف
Adventure Dragon EXP Bonus Event,رویداد جایزه ماجرا اژدها EXP
Adventure Gold Bonus Event,رویداد جایزه طلا ماجرا
Adventure Wing Discount Event,رویداد تخفیف بال ماجرا
Rune-enhancing Cost Discount Event,رویداد تخفیف هزینه افزایش دهنده روون
Rune-removing Cost Discount Event,رویداد تخفیف هزینه حذف رون
Dragon-enhancing Cost Discount Event,رویداد تخفیف هزینه افزایش دهنده اژدها
Skill Transfer Cost Discount Event,رویداد تخفیف هزینه انتقال مهارت
Legendary Dragon Summon Chance Bonus Event,رویداد جایزه افسانه ای اژدها احضار اژدها
Legendary Rune Chance Bonus Event,رویداد جایزه افسانه ای Rune Chance
Rune Gain Bonus Event,رویداد جایزه به دست آوردن Rune
Mastery Level-up Cost Discount Event,رویداد تخفیف هزینه سطح بالا
Massive Tree Dungeon Wing Discount Event,رویداد تخفیف Massive Tree Dungeon Wing
Massive Dragon Dungeon Wing Discount Event,رویداد تخفیف عظیم اژدها Dungeon Wing
Nightmare Dungeon Wing Discount Event,رویداد تخفیف Nightmare Dungeon Wing
Ancient Ruins Dungeon Wing Discount Event,رویداد تخفیف بال سیاه‌چال ویرانه‌های باستانی
Rune Guardian Dungeon Wing Discount Event,رویداد تخفیف Rune Guardian Dungeon Wing
Evolution Material Gain Bonus Event,سیر تکاملی Material Gain Bonus Event
Closeness Fruit Gain Bonus Event,رویداد جایزه به دست آوردن میوه نزدیکی
2 hours daily,روزانه 2 ساعت
Daily Hot Time Use Info,اطلاعات استفاده از زمان داغ روزانه
Unused Daily Hot Time exists.,زمان داغ روزانه استفاده نشده وجود دارد.
Use now?,اکنون استفاده کنید؟
Spend {@yellow}50% fewer{@default} Wings in Adventure mode.,در حالت ماجرا ، {@yellow} 50% کمتر {@default} Wings خرج کنید.
You can't go directly from the current screen.,نمی توانید مستقیماً از صفحه فعلی بروید.
New Legendary Dragon,اژدها افسانه ای جدید
Angra {@fire}(Fire){@default},آنگرا {@fire}(آتش) {@default}
"Increases allies' ATK for {2} sec. after every {1} attacks.\nAlso, creates a {3}% chance of gaining {4} mana.",ATK متحدان را برای {2} ثانیه افزایش می دهد. بعد از هر {1} حمله.\nهمچنین، شانس {3}% برای به دست آوردن {4} مانا ایجاد می کند.
Creates a {2}% chance of decreasing targets' CRIT Evasion and healing amounts for {3} sec.\nInflicts {1} times the usual damage on Defense and Recovery-type enemies.,شانس {2} درصد کاهش CRIT Evasion و مقادیر بهبودی اهداف را برای {3} ثانیه ایجاد می‌کند.\n {1} برابر آسیب معمول به دشمنان نوع دفاع و بازیابی وارد می‌کند.
Mitra (Earth),میترا (زمین)
Mitra (Earth) Relationship Point,نقطه رابطه میترا (زمین).
"Periodically attacks the enemy with the lowest HP.\nRemoves all buffs cast on the target, with a {1}% chance of adding up to {3} DEF Reduction effects for {2} sec.",به صورت دوره‌ای با کمترین قدرت HP به دشمن حمله می‌کند.\nتمام علاقه‌مندان به هدف را حذف می‌کند، با احتمال {1}٪ اضافه کردن تا {3} جلوه‌های کاهش DEF برای {2} ثانیه.
Are you trying to tickle me?,داری سعی میکنی منو قلقلک بدی؟
Want to go look at some flowers with me?,میخوای بری با من چند گل ببینی؟
Thank you. I'll repay you one day.,متشکرم. یه روز جبران میکنم
You don't know me.,تو منو نمیشناسی
I sense the power of Fate's messenger from you.,من قدرت پیام آور سرنوشت را از شما احساس می کنم.
Hee hee hee! Stop tickling me!,هی هی هی! دست از قلقلک دادن من بردارید!
I'm surrounded by flowers! So happy!,من با گل احاطه شده ام! خیلی خوشحال!
"Smell some flowers, and you'll feel right as rain!",چند گل را بو کنید، و احساس خواهید کرد که دقیقاً مانند باران است!
"Smell some flowers, it'll do you some good!",چند گل بو کنید، این کار شما را خوب می کند!
I can't reveal myself to others.,من نمی توانم خودم را به دیگران نشان دهم.
I'm from the other side of dreams.,من از آن سوی رویاها هستم.
I've existed here since the beginning of time.,من از ابتدا در اینجا وجود داشته ام.
I'm a living witness of history.,من شاهد زنده تاریخ هستم.
Don't you believe me?,باور نمی کنی؟
Leave it to me.,بزار به عهده من.
Want to go with me in search of freedom?,آیا می خواهید در جستجوی آزادی با من بروید؟
The word I hate the most is rules.,کلمه ای که از همه بیشتر متنفرم قوانین است.
Don't try to stop me!,سعی نکن جلوی من را بگیری!
Don't be curious about where I come from.,کنجکاو نباشید که از کجا آمده ام.
I'm going to do whatever I want!,من هر کاری بخوام انجام میدم!
My existence is secret. Even history doesn't know me.,وجود من مخفی است حتی تاریخ هم مرا نمی شناسد.
Let me tell you the benefits of flowers.,بگذارید فواید گل را به شما بگویم.
This is a token of my gratitude.,این نشانه قدردانی من است.
"Do you like cherry blossoms, too?",آیا شما هم شکوفه های گیلاس را دوست دارید؟
I think you'll make a good partner for me.,من فکر می کنم شما یک شریک خوب برای من خواهید ساخت.
Stop me if you can!,اگر می توانید جلوی من را بگیرید!
Get out of the way! I'll take care of them myself!,از سر راه برو کنار! من خودم از آنها مراقبت خواهم کرد!
Everyone who follows light is my friend and family.,همه کسانی که از نور پیروی می کنند دوست و خانواده من هستند.
This is the strongest light in the world!,این قوی ترین نور دنیاست!
I'm going to live free from all restrictions in the world.,من می خواهم آزاد از همه محدودیت های دنیا زندگی کنم.
Believe in the power of the Guardian.,به قدرت نگهبان ایمان داشته باشید.
No! I'm not done playing!,نه! من بازی کردنم تمام نشده!
No shield can stop me!,هیچ سپری نمی تواند مرا متوقف کند!
Err? Petals have turned into objects.,خطا؟ گلبرگ ها به اشیا تبدیل شده اند.
I hope many cherry trees will blossom here.,امیدوارم بسیاری از درختان گیلاس در اینجا شکوفا شوند.
"Mm? Where are you going? Come on, play with me!",مم؟ کجا میری؟ بیا با من بازی کن
I'll give you some credit if you can take this!,من به شما اعتبار می دهم اگر بتوانید این را بگیرید!
This is the power of the Guardian!,این قدرت نگهبان است!
"Here, let me give you a petal.",در اینجا، اجازه دهید یک گلبرگ به شما بدهم.
"Off we go, to find freedom!",ما می رویم تا آزادی را پیدا کنیم!
How marvelous!,چقدر شگفت انگیز!
No one else has ever listened to me.,هیچ کس دیگری هرگز به من گوش نداده است.
I want more freedom than now!,من آزادی بیشتری از الان میخواهم!
Free Mastery Level-up,سطح تسلط رایگان
"Bloom, cherry blossoms!",شکوفه، شکوفه های گیلاس!
How'd you like to join me and fight for light?,چطور دوست داشتی به من بپیوندی و برای نور بجنگی؟
I'll be your guardian forever.,من برای همیشه نگهبان شما خواهم بود
I've always been fighting for light.,من همیشه برای نور جنگیده ام.
"Swirl, cherry blossoms!",چرخش، شکوفه های گیلاس!
Free Mastery Level-up,سطح تسلط رایگان
"You'll get a reward, depending on your opponent's Grand Colosseum grade.",بسته به درجه گراند کولوسئوم حریفتان، جایزه دریافت خواهید کرد.
Grand Colosseum {1} Participations Reward,جایزه مشارکت‌های Grand کولوسئوم {1}
Grand Colosseum Participation Count Reward,جایزه تعداد مشارکت Grand کولوسئوم
Grand Colosseum Participation rewards added!,جوایز مشارکت بزرگ کولوسئوم اضافه شد!
"You can get a different reward, depending on your opponent's grade!",بسته به نمره حریف خود می توانید پاداش متفاوتی دریافت کنید!
Update Notice,اطلاع به روز رسانی
Grand Colosseum Update Notice,اطلاع به‌روزرسانی Grand کولوسئوم
Get maximum Mastery Level at once,حداکثر سطح تسلط را یکباره دریافت کنید
"5 + 5 Legendary Mastery Materials\n5,000,000 Gold\nTopaz x30","5 + 5 متریال تسلط افسانه ای\n5,000,000 طلا\nTopaz x30"
3rd Anniversary\nSpecial Sale,سومین سالگرد\nفروش ویژه
3rd Anniversary Dress,لباس سومین سالگرد
3rd Anniversary Dress (Nuri),لباس سومین سالگرد (نوری)
3rd Anniversary Tuxedo,تاکسیدو سومین سالگرد
3rd Anniversary Tuxedo (Goni),تاکسیدو سومین سالگرد (گونی)
3rd Anniversary Event,رویداد سومین سالگرد
3rd Anniversary Uniform,یونیفرم سومین سالگرد
3rd Anniversary Uniform (Doorn),یونیفرم سومین سالگرد (در)
{1}{2},{1} {2}
Play the game and get 3rd Anniversary Limited-edition costumes!,بازی را انجام دهید و لباس‌های نسخه محدود 3rd Anniversary را دریافت کنید!
Purchasable ({1}/3),قابل خرید ({1}/3)
Period: 9/5 00:00 ~ 9/6 23:59,دوره: 9/5 00:00 ~ 9/6 23:59
Time Remaining:,زمان باقی مانده:
Cumulative Points,امتیازهای تجمعی
Cumulative Points Reward,جایزه امتیاز تجمعی
Cumulative Play Reward,جایزه بازی تجمعی
"Restores its target's HP and casts the Immunity effect for {1} sec.\nThe healing amount increases, depending on its DEF.",HP هدف خود را بازیابی می کند و اثر ایمنی را برای {1} ثانیه ایجاد می کند.\nمیزان بهبودی بسته به DEF آن افزایش می یابد.
"Restores its target's HP and removes {1} harmful effects cast on the target.\nThe healing amount increases, depending on its DEF.",HP هدف خود را بازیابی می کند و {1} اثرات مضری را که روی هدف ایجاد می شود حذف می کند.\nمیزان بهبود بسته به DEF آن افزایش می یابد.
Dragon Image Quiz Event,رویداد مسابقه تصویر اژدها
"A fairy dragon that lives near cherry trees. It's popular for its cute appearance, but infamous for its unruly behavior.",اژدهای پری که در نزدیکی درختان گیلاس زندگی می کند. این به دلیل ظاهر زیبایش محبوب است، اما به دلیل رفتار سرکش خود بدنام است.
Periodically attacks enemies in front with a {1}% chance of Silencing them for {2} sec.,به صورت دوره‌ای به دشمنان مقابل با احتمال {1} درصد ساکت کردن آنها برای {2} ثانیه حمله می‌کند.
Increases its healing skill healing amounts by {1}%.,مقدار شفای مهارت درمانی خود را تا {1} درصد افزایش می‌دهد.
Quiz Ticket x1,بلیط مسابقه x1
Popomo,پوپومو
Popomo (Water),پوپومو (اب)
Popomo (Water) Relationship Point,نقطه ارتباط پوپومو (اب).
Popomo (Fire),پوپومو (آتش)
Popomo (Fire) Relationship Point,نقطه ارتباط پوپومو (آتش).
Popomo (Dark),پوپومو (تاریک)
Popomo (Dark) Relationship Point,نقطه ارتباط پوپومو (تاریک).
Score,نمره
Earned Quiz Tickets,بلیت‌های امتحانی کسب شده
Floral Mystery,رمز و راز گل
Scent of Chastity,بوی عفت
Cherry Blossom Wind,باد شکوفه گیلاس
Healing Aroma,عطر شفابخش
Increases allies' DEF by {1}% in the Colosseum.,DEF متحدان را تا {1} درصد در کولوسئوم افزایش می‌دهد.
Privacy Policy,سیاست حفظ حریم خصوصی
Dragon Village M 3rd Anniversary Limited-edition Costume,لباس 3rd Anniversary با نسخه محدود Dragon Village M
Epic Mastery Material (Earth),مواد تسلط حماسه (زمین)
Epic Mastery Material (Water),مواد تسلط حماسه (اب)
Epic Mastery Material (Fire),مواد تسلط حماسه (آتش)
Legendary Mastery Material (Earth),متریال تسلط افسانه ای (زمین)
Legendary Mastery Material (Water),متریال تسلط افسانه ای (اب)
Legendary Mastery Material (Fire),متریال تسلط افسانه ای (آتش)
Rare Mastery Material (Earth),مواد نادر کمیاب (زمین)
Rare Mastery Material (Water),مواد نادر کمیاب (اب)
Rare Mastery Material (Fire),مواد نادر کمیاب (آتش)
25 times,25 بار
3rd Anniversary Costume,لباس سومین سالگرد
45 times,45 بار
Change Mastery,تسلط را تغییر دهید
Epic Mastery Material (Light),متریال تسلط حماسه (سبک)
Heroic Mastery Material (Dark),متریال تسلط قهرمانانه (تاریک)
Legendary Mastery Material (Light),متریال تسلط افسانه ای (سبک)
Legendary Mastery Material (Dark),متریال تسلط افسانه ای (تاریک)
Quiz Ticket,بلیط مسابقه
A material that can be used instead of Heroic Earth dragons to increase Mastery levels.,ماده ای که می تواند به جای اژدهای Heroic زمین برای افزایش سطح Mastery استفاده شود.
A material that can be used instead of Legendary Earth dragons to increase Mastery levels.,ماده ای که می تواند به جای اژدهای زمین افسانه ای برای افزایش سطح تسلط استفاده شود.
A material that can be used instead of Rare Earth dragons to increase Mastery levels.,ماده ای که می تواند به جای نادر زمین Dragons برای افزایش سطح Mastery استفاده شود.
A material that can be used instead of Heroic Water dragons to increase Mastery levels.,ماده ای که می تواند به جای اژدهای Heroic اب برای افزایش سطح Mastery استفاده شود.
A material that can be used instead of Legendary Water dragons to increase Mastery levels.,ماده ای که می تواند به جای اژدهای اب افسانه ای برای افزایش سطح Mastery استفاده شود.
A material that can be used instead of Rare Water dragons to increase Mastery levels.,ماده ای که می تواند به جای نادر اب Dragons برای افزایش سطح Mastery استفاده شود.
A material that can be used instead of Heroic Fire dragons to increase Mastery levels.,متریالی که می توان به جای اژدهای Heroic آتش برای افزایش سطح Mastery استفاده کرد.
A material that can be used instead of Legendary Fire dragons to increase Mastery levels.,ماده ای که می تواند به جای اژدهای آتش افسانه ای برای افزایش سطح Mastery استفاده شود.
A material that can be used instead of Rare Fire dragons to increase Mastery levels.,ماده ای که می تواند به جای نادر آتش Dragons برای افزایش سطح Mastery استفاده شود.
A material that can be used instead of Heroic Light dragons to increase Mastery levels.,متریالی که می تواند به جای اژدهای Heroic سبک برای افزایش سطح Mastery استفاده شود.
A material that can be used instead of Legendary Light dragons to increase Mastery levels.,ماده ای که می تواند به جای اژدهای Legendary سبک برای افزایش سطح Mastery استفاده شود.
A material that can be used instead of Rare Light dragons to increase Mastery levels.,ماده ای که می تواند به جای نادر سبک Dragons برای افزایش سطح Mastery استفاده شود.
A material that can be used instead of Heroic Dark dragons to increase Mastery levels.,متریالی که می توان به جای اژدهای Heroic تاریک برای افزایش سطح Mastery استفاده کرد.
A material that can be used instead of Legendary Dark dragons to increase Mastery levels.,متریالی که می تواند به جای اژدهای تاریک افسانه ای برای افزایش سطوح Mastery استفاده شود.
A material that can be used instead of Rare Dark dragons to increase Mastery levels.,متریالی که می تواند به جای نادر تاریک Dragons برای افزایش سطح Mastery استفاده شود.
Rare Mastery Material (Light),مواد نادر کمیاب (سبک)
Rare Mastery Material (Dark),مواد نادر کمیاب (تاریک)
3rd Anniversary Bonanza Package,بسته 3rd Anniversary Bonanza
Change this dragon into a Mastery material?,این اژدها را به یک ماده Mastery تغییر دهید؟
Sell this dragon?,این اژدها را بفروشیم؟
Change,تغییر دادن
Monsters can't be changed.,هیولاها قابل تغییر نیستند
100 Mysterious Eggs Hatching Event,رویداد 100 تخم مرموز جوجه ریزی
"When a dragon appears on the screen, tap the button that matches its attribute and name.",هنگامی که یک اژدها روی صفحه ظاهر می شود، روی دکمه ای که با ویژگی و نام آن مطابقت دارد ضربه بزنید.
A total of 45 dragons appear in 90 seconds.,در مجموع 45 اژدها در 90 ثانیه ظاهر می شوند.
