zh-CN,zu
泰拉女神龙,Tera Lady Dragon
特拉·利蒂奥,Tera Littio
泰拉轰炸龙,I-Tera I-Bomber Dragon
泰拉东方龙,I-Tera Oriental Dragon
泰拉冰川古龙,I-Tera I-Frost Dragon
太毒蛇龙,I-Tera Inyoka Dragon
太修罗龙,Tera Sura Dragon
特拉·奥塔蒂奥,Tera Optatio
特拉贾龙,Tera Jaryong
太拉尾龙,I-Tera Umsila Dragon
泰拉底格里斯河,Tera Tigris
特拉普莱西奥龙,Tera Plesio Dragon
太拉仙龙,I-Tera Fairy Dragon
泰拉粉贝儿,Tera I-Pink Bell
太拉飓风,I-Tera Hurricane
测试,Hlola
测试代码,Ikhodi Yokuhlola
测试代码2,Ikhodi Yokuhlola 2
测试包,Iphakheji yokuhlola
测试模式,Imodi yokuhlola
驯龙师,Tamer
拥有的驯兽师： {1},Ama-Tamers aphethwe: {1}
招募驯兽师： {1},Kuqashwe u-Tamers: {1}
购买驯龙师后即可使用服装。,Ungasebenzisa imvunulo ngemva kokuthenga i- Tamer.
驯龙师等级{1},I-Tamer Level {1}
达到驯龙师等级{1}后即可升级。,Ungakhuphula ileveli lapho i-Tamer Level {1} ​​isifinyelelwe.
达到驯龙师等级{1}后即可升级。,Ungakhuphula ileveli lapho i-Tamer Level {1} ​​isifinyelelwe.
达到驯龙师等级{1}时解锁,Kuvulwe lapho i-Tamer Level {1} ​​ifinyelelwa
随着驯龙师升级获得奖励！,Thola Imiklomelo njenge Tamer Level-up yakho!
您也可以提高驯龙师等级。,Ungakwazi futhi ukuthuthukisa i-Tamer Level.
驯兽师的等级越高，可以部署的龙就越多。,"Uma izinga lika-Tamer liphezulu, amadragoni amaningi ongawasebenzisa."
驯龙师！,Tamer Mphathi!
改变驯龙师增益,Shintsha i Tamer Buff
这位驯龙师学院的告别演说者是受过精英训练的。带领龙的时候非常冷静，但因此与戈尼的关系非常不好。,"Lesi sikole se Tamer Academy valedictorian saqeqeshwa njenge-elite. Unekhanda elipholile uma ehola amadragons, kodwa usebudlelwaneni obubi kakhulu noGoni ngenxa yalokhu."
这位驯龙师学院告别演说者接受过精英训练。\n技能强调攻击。带领龙的时候非常冷静，\n但因此与Goni的关系非常不好。,"Lesi sivikelo se- Tamer Academy saqeqeshwa njengomuntu ophakeme.\nAmakhono agcizelela ukuhlasela. Unekhanda elipholile uma ehola amadragons,\nkodwa usebudlelwaneni obubi kakhulu noGoni ngenxa yalokhu."
您可以在驯龙师选择屏幕上购买和更换驯龙师服装。\n在村庄里展现您的风格！,Ungathenga futhi ushintshe Izingubo ze Tamer esikrinini sokukhetha i-Tamer .\nBonisa isitayela sakho endaweni!
驯龙师技能升级 x {1},I-Tamer Skill Level-up x {1}
驯龙师技能只能使用一次。,Ungasebenzisa ikhono le Tamer kanye kuphela.
收紧驯龙师设备...,Iqinisa isisetshenziswa se Tamer ...
更改驯龙师头衔,Shintsha Isihloko se Tamer
驯龙师服装,I-Tamer Costume
驯龙师服装店,Tamer Costume Shop
改变\n驯服者,Shintsha\nTamer
这个函数会将你不再需要的龙返回给 Latea。\n返回 Latea 的龙会为{@YELLOW}相同{@DEFAULT}种类的龙留下关系点作为礼物，以便你在需要时再次召唤它们。有需要。,Lona umsebenzi obuyisela ama-dragons ongasawadingi ku-Latea.\nODragon ababuyela e-Latea bashiya Amaphuzu Obudlelwane ngohlobo {@YELLOW} olufanayo{@DEFAULT} lukadrako njengesipho sokuthi uphinde ubashayele ucingo uma usukhona. abaswele.
这是一个发送龙的模组，你必须探索尤塔勘的各个区域。\n要探索，你需要在一个区域有 5 条龙。被派去探索的龙可以用于其他模式。,"Lena indlela yokuthumela ama-dragons kufanele uhlole izifunda ezihlukahlukene e- I-Yutakan.\nUkuze uhlole, udinga ama-dragons angu-5 endaweni. Amadragoni athunyelwe lapho ehlolwa angasetshenziswa kwezinye izindlela."
驯兽师使用的翼形门票。为了拥有强大的驯兽师和龙，最好获得很多它们。,Ithikithi lokungena elimise okwephiko elisetshenziswa u-Tamers. Kungcono ukuthola eziningi zazo ngenxa yokuba nama-Tamers nama-Dragons aqinile.
是什么让你烦恼，驯服者？,"Yini ekuhluphayo, tamer?"
通过升级驯兽师的技能，你可以获得更好的结果。,Ungathola imiphumela engcono ngokuthuthukisa amakhono kaTamers.
尾雷,Umsila Ukuduma
尾龙,Umsila Dragon
尾龙（土）,I-Tail Dragon (Umhlaba)
尾龙（土）关系点,I-Tail Dragon (Umhlaba) Iphuzu Lobudlelwano
尾龙（水）,I-Tail Dragon (Amanzi)
尾龙（水）关系点,I-Tail Dragon (Amanzi) Iphoyinti Lobudlelwano
尾龙（火）,I-Tail Dragon (Umlilo)
尾龙（火）关系点,I-Tail Dragon (Umlilo) Iphuzu Lobudlelwano
尾龙（光）,I-Tail Dragon (Ukukhanya)
尾龙（光）关系点,I-Tail Dragon (Ukukhanya) Iphoyinti Lobudlelwano
尾龙（黑暗）,I-Tail Dragon (Kumnyama)
尾龙（黑暗）关系点,I-Tail Dragon (Kumnyama) Iphoyinti Lobudlelwano
尾部射击,Ukudutshulwa komsila
输入文字。,Faka umbhalo.
周六,NgoMgqibelo
图腾龙,I-Totem Dragon
图腾龙（土）,I-Totem Dragon (Umhlaba)
图腾龙（土）关系点,I-Totem Dragon (Umhlaba) Iphuzu Lobudlelwano
图腾龙（土）\n10 关系点,I-Totem Dragon (Umhlaba)\n10 Amaphuzu Obudlelwane
图腾龙（火）,I-Totem Dragon (Umlilo)
图腾龙（火）关系点,I-Totem Dragon (Umlilo) Iphuzu Lobudlelwano
图腾龙（黑暗）,I-Totem Dragon (Kumnyama)
图腾龙（黑暗）关系点,I-Totem Dragon (Kumnyama) Iphoyinti Lobudlelwano
黄玉,I-Topazi
黄玉 x30,I-Topazi x30
黄玉 x9,I-Topazi x9
您可以使用黄玉、里程和荣誉购买鸡蛋。,"Ungathenga amaqanda nge-Topaz, Mileage, ne-Honor."
黄玉不够。,I-Topazi ayanele.
纯真的冰反映了凝视它的人的心灵。,Iqhwa Okumsulwa libonisa umqondo walowo olibhekile.
教程完成奖励,Umvuzo Wokuqedwa Kokufundisa
正在加载教程信息...,Ilayisha ulwazi lokufundisa...
稀有土果实,I-Okungavamile Umhlaba Attribute Fruit
稀有水属性果实,I-Okungavamile Amanzi Attribute Fruit
稀有火属性果实,I-Okungavamile Umlilo Attribute Fruit
稀有光属性果实,I-Okungavamile Ukukhanya Attribute Fruit
稀有的黑暗属性果实。亲近度增加 500。喂给光龙时，亲近度额外增加 50%。,Okungavamile Semfanelo Kumnyama . Khulisa Ukusondelana ngo-500. Ukusondelana okwengeziwe okungu-50% uma kunikwa ama- Ukukhanya Dragons.
稀有水属性果实。亲密度增加 500。喂水龙时，亲密度增加 50%。,I-Okungavamile Amanzi Attribute Fruit. Khulisa Ukusondelana ngo-500. Ukusondelana okwengeziwe ngo-50% uma kunikwa ama- Amanzi Dragons.
稀有的黑暗属性果实。亲密度增加 500。喂给黑暗龙时，亲密度增加 50%。,Okungavamile Semfanelo Kumnyama . Khulisa Ukusondelana ngo-500. Ukusondelana okwengeziwe okungu-50% uma kunikwa ama- Kumnyama Dragons.
稀有黑暗属性果实,Okungavamile Semfanelo Kumnyama
稀有土果实。亲密度增加 500。喂给土龙时，亲密度增加 50%。,I-Okungavamile Umhlaba Attribute Fruit. Khulisa Ukusondelana ngo-500. Ukusondelana okwengeziwe okungu-50% uma kunikwa ama- Umhlaba Dragons.
稀有火属性果实。亲密度增加 500。喂给火时，亲密度增加 50%。,I-Okungavamile Umlilo Attribute Fruit. Khulisa Ukusondelana ngo-500. Ukusondelana okwengeziwe okungu-50% uma kunikwa ama- Umlilo Dragons.
这肉是给你的！,Le nyama ngeyakho!
难的,Kunzima
No.1 坚硬符文,No.1 Hard Solidity Rune
升级！,Tier Up!
团队力量：,Amandla Ethimba:
丁丁眨眼！,I-tinky winky!
破坏性的,Okubhubhisayo
传闻拥有破坏力的爆炸炎龙。这位永恒守护者永远燃烧着强大的火焰，促进所有生物之间的和谐并保护生命。,"Udrako welangabi oqhumayo waba namahemuhemu okuthi unamandla okubhubhisa. Evutha phakade ngelangabi elinamandla, lo Mnakekeli Waphakade ukhuthaza ukuzwana phakathi kwazo zonke izidalwa futhi uvikela ukuphila."
代表火属性龙破坏特性的龙。其熊熊火焰的威力，几乎可以与火火焰龙的后裔火龙媲美。,"Udrako omele izici ezibhubhisayo zamadragoni Wemfanelo Umlilo . Amandla elangabi layo elivuthayo acishe alingane nama- Umlilo Dragons, inzalo ye- I-Flame Dragon"
破坏！,Bhubhisa!
静止不动并不能将你从浪潮中拯救出来。,Ukuma unganyakazi ngeke kukusindise obishini.
制造波浪造成伤害。\n60% 几率使目标昏迷 8 秒。,Dala amagagasi ukuze udale umonakalo.\n60% ithuba lokumangalisa ithagethi ngamasekhondi angu-8.
制造波浪造成伤害。\n90% 的几率使目标昏迷 5 秒。,Dala amagagasi ukuze udale umonakalo.\n90% ithuba lokumangalisa ithagethi ngamasekhondi angu-5.
制造波浪来造成伤害。\n威力大幅提升，与你的防御力成正比。,"Dala amaza ukuze udale umonakalo.\nAmandla anda kakhulu, ngokulingana ne-DEF yakho."
制造波浪来造成伤害。\n力量大大增加，与你的最大生命值成正比。,"Dala amaza ukuze udale umonakalo.\nAmandla anda kakhulu, ngokulingana ne-Max HP yakho."
波浪墙,I-Wave Wall
海浪,Igagasi
法老龙,UFaro Dragon
法老龙（水）,UFaro Dragon (Amanzi)
法老龙（水）关系点,UFaro Dragon (Amanzi) Iphuzu Lobudlelwano
法老龙（火）,UFaro Dragon (Umlilo)
法老龙（火）关系点,UFaro Dragon (Umlilo) Iphuzu Lobudlelwano
法老龙（光）,UFaro Dragon (Ukukhanya)
法老龙（光）关系点,UFaro Dragon (Ukukhanya) Iphuzu Lobudlelwano
法老龙（黑暗）,UFaro Dragon (Kumnyama)
法老龙（黑暗）关系点,UFaro Dragon (Kumnyama) Iphuzu Lobudlelwano
毁灭的心跳,Ukushaya kwenhliziyo kokubhubhisa
毁灭之火,Umlilo Wokubhubhisa
毁灭即将来临！,Imbubhiso iyeza!
毁灭之兆,Isibonakaliso Sokubhujiswa
力量大满贯！,I-Power Slam!
力量！,Amandla!
力量！更多力量！,Amandla! Amandla engeziwe!
权力并不是一切。但它涵盖了大部分基础。,Amandla akuyona yonke into. Kodwa ihlanganisa iningi lezisekelo.
巨力龙,Amandla Dragon
巨力龙（土）,Amandla Dragon (Umhlaba)
巨力龙（土）关系点,I-Amandla Dragon (Umhlaba) Iphuzu Lobudlelwano
巨力龙（水）,I-Amandla Dragon (Amanzi)
巨力龙（水）关系点,I-Amandla Dragon (Amanzi) Iphoyinti Lobudlelwano
巨力龙（光）,I-Amandla Dragon (Ukukhanya)
巨力龙（光）关系点,I-Amandla Dragon (Ukukhanya) Iphoyinti Lobudlelwano
巨力龙（黑暗）,I-Amandla Dragon (Kumnyama)
巨力龙（黑暗）关系点,I-Amandla Dragon (Kumnyama) Iphoyinti Lobudlelwano
动力龙的装饰品,Umhlobiso we-Power Dragon's
巨力龙的稀有装饰\n（首次购买时获得）,Umhlobiso Okungavamile we- Amandla Dragon \n(Ngawuthole ekuqaleni)
感受到力量！,Zizwe amandla!
让力量驱动你！,Vumela amandla akuqhube!
底格里斯河,I-Tigris
底格里斯河（土）,I-Tigris (Umhlaba)
底格里斯河（土）关系点,I-Tigris (Umhlaba) Iphuzu Lobudlelwano
底格里斯河（水）,I-Tigris (Amanzi)
底格里斯河（水）关系点,I-Tigris (Amanzi) Indawo Yobudlelwane
底格里斯河（火）,I-Tigris (Umlilo)
底格里斯河（火）关系点,I-Tigris (Umlilo) Iphuzu Lobudlelwano
底格里斯河（光）,I-Tigris (Ukukhanya)
底格里斯河（光）关系点,I-Tigris (Ukukhanya) Iphoyinti Lobudlelwano
派对龙,I-Party Dragon
派对龙（土）,I-Party Dragon (Umhlaba)
派对龙（土）关系点,I-Party Dragon (Umhlaba) Iphoyinti Lobudlelwano
派对龙（水）,I-Party Dragon (Amanzi)
派对龙（水）关系点,I-Party Dragon (Amanzi) Iphoyinti Lobudlelwano
派对龙（火）,I-Party Dragon (Umlilo)
派对龙（火）关系点,I-Party Dragon (Umlilo) Iphoyinti Lobudlelwano
派对龙（光）,I-Party Dragon (Ukukhanya)
派对龙（光）关系点,I-Party Dragon (Ukukhanya) Iphoyinti Lobudlelwano
派对龙（黑暗）,I-Party Dragon (Kumnyama)
派对龙（黑暗）关系点,I-Party Dragon (Kumnyama) Iphoyinti Lobudlelwano
火礼炮，对友军造成伤害并增加其攻击力，持续15秒。,Umlilo i-Salute ukuze udale umonakalo futhi ukhuphule i-ATK yabalingani imizuzwana eyi-15.
火礼炮，造成伤害并增加盟友的防御力，持续 15 秒。,Umlilo i-Salute ukuze udale umonakalo futhi ukhulise i-DEF yama-allies amasekhondi angu-15.
火礼炮以造成伤害并提高盟友的暴击率，持续 15 秒。,Umlilo i-Salute ukuze udale umonakalo futhi ukhuphule Izinga Elibalulekile labalingani isekhondi elingu-15.
火礼炮造成伤害，并且盟友在 15 秒内免疫有害效果。,Umlilo i-Salute ukuze udale umonakalo futhi ababambisene nabo bathole I-Immune Effects Eyingozi isekhondi elingu-15.
火礼炮对所有盟友造成伤害并消除 2 点有害效果。,Umlilo i-Salute ukuze udale umonakalo futhi ususe Imithelela Eyingozi emi-2 kubo bonke ababambisene nabo.
卖,Thengisa
售价,Thengisa Intengo
12天6小时。直至销售结束。,Izinsuku eziyi-12 namahora ayi-6. kuze kuphele ukudayiswa.
{1}直至销售结束。,{1} kuze kuphele ukuthengisa.
选择要出售的龙。,Khetha udrako ozowuthengisa.
没有龙可卖。,Awekho ama-dragons azothengiswa.
扑！,Flutter!
嗬！,Fwoosh!
翻盖！,Phenya i-flap!
这不能变得更糟了！,Lokhu akukwazi ukuba kubi nakakhulu!
弹出缓存重置,I-pop-up Cache Setha kabusha
打败,UKUHLULWA
失去：,Lahleka:
反复的战斗因失败而结束。,Impi ephindiwe iphelile ngenxa yokwehlulwa.
失败后结束重复战斗,Qeda Impi Ephindaphindiwe lapho ulahlekile
被动的,Ungenzi lutho
被动1,I-Passive 1
被动2,I-Passive 2
被动激活 + {1}%,I-Passive Active + {1}%
被动技能,Ikhono Lokungenzi lutho
增加被动技能发动几率,Khulisa Ithuba Lokwenza Kusebenze Ikhono Lokungenzi lutho
补丁信息有错误。\n重试吗？,Kunephutha Ngolwazi Lwephesha.\nZama futhi?
下载补丁文件失败。,Yehlulekile ukulanda Amafayela Epeshi.
正在验证补丁...,Iqinisekisa ipheshi...
包裹,Iphakheji
我的粉丝不会喜欢这个。,Abalandeli bami ngeke bakuthande lokhu.
但我总能得到更多。,Kodwa ngingahlala ngithola eziningi zazo.
让痛苦蔓延。,Vumela ubuhlungu busakazeke.
普莱西奥龙,I-Plesio Dragon
普莱西奥龙（土）,I-Plesio Dragon (Umhlaba)
Plesio龙（土）关系点,I-Plesio Dragon (Umhlaba) Iphuzu Lobudlelwano
普莱西奥龙（水）,I-Plesio Dragon (Amanzi)
Plesio龙（水）关系点,I-Plesio Dragon (Amanzi) Iphoyinti Lobudlelwano
普莱西奥龙（火）,I-Plesio Dragon (Umlilo)
Plesio 龙 （火）关系点,I-Plesio Dragon (Umlilo) Iphuzu Lobudlelwano
普莱西奥龙（光）,I-Plesio Dragon (Ukukhanya)
Plesio 龙 （光）关系点,I-Plesio Dragon (Ukukhanya) Iphuzu Lobudlelwano
普莱西奥龙（黑暗）,I-Plesio Dragon (Kumnyama)
Plesio 龙 （黑暗）关系点,I-Plesio Dragon (Kumnyama) Iphuzu Lobudlelwano
仙粉,I-Fairy Powder
仙粉+,I-Fairy Powder+
仙龙,I-Fairy Dragon
仙龙（土）,I-Fairy Dragon (Umhlaba)
仙龙（土）关系点,I-Fairy Dragon (Umhlaba) Iphuzu Lobudlelwano
仙龙（水）,I-Fairy Dragon (Amanzi)
仙龙（水）关系点,I-Fairy Dragon (Amanzi) Iphoyinti Lobudlelwano
仙龙（火）,I-Fairy Dragon (Umlilo)
仙龙（火）关系点,I-Fairy Dragon (Umlilo) Iphuzu Lobudlelwano
仙龙（光）,I-Fairy Dragon (Ukukhanya)
仙龙（光）关系点,I-Fairy Dragon (Ukukhanya) Iphoyinti Lobudlelwano
仙龙（黑暗）,I-Fairy Dragon (Kumnyama)
仙龙（黑暗）关系点,I-Fairy Dragon (Kumnyama) Iphoyinti Lobudlelwano
仙龙（黑暗）\n10 关系点,I-Fairy Dragon (Kumnyama)\n10 Amaphuzu Obudlelwane
仙女女王,Fairy Queen
Facebook,Facebook
评估,Ukuhlola
评价,Linganisa
评价,Linganisa
普通的,Okuvamile
我希望你能再次找到平静。,Ngethemba ukuthi uzophinde uthole ukuthula.
得分{1},Isikolo {1}
输入你的分数！,Faka isikolo sakho!
天是静的，地是富饶的！,"Isibhakabhaka sithule, futhi izwe linothile!"
如果是为了和平，我什至可能会投降。,Ngingase ngisho ngizinikele… ukube bekuwukuthula.
轰击,Ukubhomba
命令轰炸,Oda Bombardment
蜈蚣毒新星,Ubuthi Nova
孢子攻击,I-Spore Attack
喷雾孢子,Futha i-Spore
所有的暴力都是不好的。,Bonke ubudlova bubi.
投掷爆炸的橡子并对周围造成伤害。,Phonsa ukuqhuma kwe-acorn bese udala umonakalo nxazonke.
炸弹袭击,Ukuhlasela kwebhomu
这是一颗炸弹！,Kuyibhomu!
爆炸,Qhuba
长大了,Abantu abadala
风暴之翼,Uphiko Lwesiphepho
扑通扑通,I-Plop-plop
噗噗噗,Phrrr
我向往一个没有污染的世界。,Ngilangazelela izwe elingangcolisiwe.
发射蓝色闪电造成伤害。\n威力大幅提升，与攻击速度成正比。,"Yethula umbani oluhlaza okwesibhakabhaka ukuze udale umonakalo.\nAmandla akhuphuka kakhulu, ngokulinganayo Nesivinini sakho se-ATK."
推送奖励,Phusha Umvuzo
推送公告,Push Qaphela
不喜欢甲虫战车的怪物。没有人能决定如果他们打起来谁会赢。,Isilo esingathandi Inqola Yebhungane. Akekho ongacacisa ukuthi ubani ozowina uma eke walwa.
让内在的火焰引导你！,Vumela ilangabi elingaphakathi likuqondise!
丰富。,Kuningi.
丰富的能量,Amandla Okuchichimayo
愿丰盛与你同在。,Kwangathi inala ingaba nawe.
受丰饶女神保护的蛋。您可以从中获得一条{@YELLOW} 3-5 级支持型龙{@DEFAULT}。,Iqanda elivikelwe unkulunkulukazi weNala. Ungathola {@YELLOW} Udrako Wohlobo Lokusekela Lwebanga lesi-3-5 {@DEFAULT}kuye.
耐侵蚀性,Ukumelana Nokuguguleka
友谊,Ubungane
晋升,Ukuphromotha
每日直径250（第一）,I-Daily Dia 250(okokuqala)
每日直径250（第三）,I-Daily Dia 250(Okwesithathu)
日直径250(秒),I-Daily Dia 250(yesibili)
飞行骷髅,Ugebhezi Olundizayo
旗帜王,Inkosi yefulegi
正在登录平台服务器...,Ingena kuseva yenkundla...
播放录音,Dlala Irekhodi
火焰矛,I-Flame Spear
想要更多的血吗？,Uhalela igazi elengeziwe?
盟友的法力恢复速度加倍，持续{2}秒。受到攻击{1}次时,Izinga lokutholwa kwemana lama-Allies liphindwe kabili ngesekhondi elingu- {2} . lapho kuhlaselwa {1} izikhathi
受到攻击时，有 % 几率在其周围产生冰碎片。每个碎片的 DEF 增加%（最多创建 5 个碎片。）,Dala izingcezu zeqhwa eduze kwayo % ithuba uma ihlaselwa. Ishadi ngalinye linyusa i-DEF yalo ngo-% (Kudalwa amashadi aphezulu angu-5.)
{1}% 几率使盟友的法力恢复速度加倍，持续{2}秒。当受到攻击时,{1}% ithuba lokuphinda kabili izinga lokutholwa kwe-mana lama-allies amasekhondi angu- {2} . lapho ehlaselwa
{1}% 的几率使 DEF 增加{3}%，持续{2}秒。受到攻击时（最多{4}%）,{1}% ithuba lokukhulisa i-DEF ngo- {3}% amasekhondi angu- {2} . uma kuhlaselwa (Ubukhulu {4}%)
{1}% 几率使最近的敌人致盲{2}秒。当受到攻击时。,{1}% ithuba lokuphuphuthekisa isitha esiseduze isekhondi elingu- {2} . lapho ehlaselwa.
{1}% 几率使攻击力最高的{2}盟友的攻击力增加{4}%，持续{3}秒。当受到攻击时,{1}% ithuba lokukhulisa i-ATK yabalingani abangu- {2} abane-ATK ephakeme ngo- {4}% ngamasekhondi angu- {3} . lapho ehlaselwa
{1}% 几率使攻击力最高的{2}名盟友的攻击速度提高{4}%，持续{3}秒。当受到攻击时,{1}% ithuba lokukhulisa Isivinini se-ATK sabalingani abangu- {2} abane-ATK ephakeme ngo- {4}% ngamasekhondi angu- {3} . lapho ehlaselwa
{1}% 几率使攻击力最高的{2}名盟友的暴击率提高{4}%，持续{3}秒。当受到攻击时,{1}% ithuba lokukhulisa Izinga Elibalulekile labalingani abangu- {2} abane-ATK ephezulu ngo- {4}% ngamasekhondi angu- {3} . lapho ehlaselwa
受到攻击时，有{1} % 几率对攻击力最高的{2}敌人造成防御力{3} % 的伤害，并燃烧目标{4}秒。暴击时,"{1}% ithuba lokubangela umonakalo olingana no- {3}% we-DEF kuya kwezitha ezingu- {2} ezine-ATK ephakeme kakhulu uma zihlaselwa, futhi zishise okuqondiwe isekhondi elingu- {4} . ku-Critical Hit"
受到攻击时，有{1} % 几率对攻击力最高的{2}敌人造成防御力{3} % 的伤害，并对中毒目标造成与其攻击速度成正比的伤害,"{1}% ithuba lokudala umonakalo olingana no- {3}% we-DEF {2} wezitha ezine-ATK ephakeme kakhulu uma zihlaselwa, kanye neziqondiso ezinobuthi ukuze zidale umonakalo ngokulingana nesivinini sayo se-ATK"
随机{2}名友军受到攻击时，有{1}% 几率恢复攻击力{3} % 的生命值,{1}% ithuba lokubuyisela i-HP elilingana no- {3}% we-ATK kumadlelandawonye {2} angahleliwe lapho ehlaselwa
受到攻击时，有{1} % 几率对随机{2}敌人造成攻击力{3} % 的伤害,{1}% ithuba lokwenza umonakalo olingana no- {3}% we-ATK {2} nesitha esingahleliwe uma sihlaselwa
受到攻击时，有{1} % 几率对随机{2}敌人造成相当于防御力{3} % 的伤害,{1}% ithuba lokwenza umonakalo olingana no- {3}% we-DEF {2} nesitha esingahleliwe lapho sihlaselwa
受到攻击时，有{1} % 几率对随机{2}敌人造成相当于最大生命值{3} % 的伤害,{1}% ithuba lokudala umonakalo olingana no- {3}% we-Max HP {2} nesitha esingahleliwe lapho sihlaselwa
受到攻击时，有{1} % 几率对防御力最高的{2}敌人造成防御力{3} % 的伤害，并燃烧目标{4}秒。暴击时,"{1}% ithuba lokwenza umonakalo olingana no- {3}% we-DEF kuya kwezitha ezingu- {2} ezine-DEF ephakeme kakhulu uma zihlaselwa, futhi ishise okuqondiwe isekhondi elingu- {4} . ku-Critical Hit"
{1}% 几率使所有盟友的防御力提高{3}%，持续{2}秒。当受到攻击时,{1}% ithuba lokukhulisa i-DEF yabo bonke ababambisene ngo- {3}% amasekhondi angu- {2} . lapho ehlaselwa
{1}% 的几率使 DEF 增加{3}%，持续{2}秒。当受到攻击时,{1}% ithuba lokukhulisa i-DEF ngo- {3}% amasekhondi angu- {2} . lapho ehlaselwa
{1}% 的几率使 DEF 增加{3}%，持续{2}秒。受到攻击时恢复相当于防御力{4}的生命值,{1}% ithuba lokukhulisa i-DEF ngo- {3}% amasekhondi angu- {2} . futhi uthole i-HP elingana {4} ne-DEF lapho ihlaselwa
{1}% 几率获得不朽效果，持续{2}秒。当受到攻击时,{1}% ithuba lokunikeza umphumela ongafi {2} isekhondi. lapho ehlaselwa
{1}% 的几率创建反射屏障，返回{3}% 的伤害，持续{2}秒。当受到攻击时,{1}% ithuba lokudala umgoqo obonisayo obuyisela u- {3}% womonakalo othathiwe ngesekhondi elingu- {2} . lapho ehlaselwa
受到攻击时，有{1}% 几率恢复相当于攻击力{2}% 的生命值,{1}% ithuba lokubuyisela i-HP elilingana no- {2}% we-ATK lapho ihlaselwa
{1}% 几率使{2}名盟友的防御力提高{4}%，持续{3}秒。受到攻击时（前方优先）,{1}% ithuba lokukhulisa i-DEF yabalingani be- {2} ngo- {4}% amasekhondi angu- {3} . lapho kuhlaselwa (Prioritize Front)
受到攻击时，有{1} % 几率对{2}敌人造成攻击力{3} % 的伤害（前方优先）,{1}% ithuba lokudala umonakalo olingana no- {3}% we-ATK {2} wesitha lapho ehlaselwa (Prioritize Front)
受到攻击时，有{1} % 几率对{2}敌人造成攻击力{3} % 的伤害（后方优先）,{1}% ithuba lokudala umonakalo olingana no- {3}% we-ATK {2} wesitha lapho ehlaselwa (Beka Okubalulekile Emuva)
使用 Fever {1}次或以上,Sebenzisa i-Fever izikhathi ezingu- {1} noma ngaphezulu
比血色还要黑暗的你……,Wena omnyama kunegazi...
绽放生命,Ukuphila Okuqhakaza
血的味道,Ukunambitha Kwegazi
这真是一场血腥的盛宴！,Kuyi-extravaganza enegazi!
你能躲开吗？,Ungakwazi ukuyivika?
损害,Umonakalo
1号伤害符文,No. 1 Ukulimala kweRune
2号伤害符文,No. 2 Ukulimala Rune
3号伤害符文,No. 3 Ukulimala kweRune
4号伤害符文,No. 4 Ukulimala Rune
5号伤害符文,No. 5 Ukulimala Rune
6号伤害符文,No. 6 Ukulimala kweRune
伤害符文套装,Ukulimala kwe-Rune Set
伤害符文套装 (5-6),Ukulimala kwe-Rune Set (5-6)
伤害抗性,Ukumelana Nomonakalo
伤害吸收,Ukumunca Umonakalo
伤害x1.8！,Umonakalo x1.8!
伤害x2.5！,Umonakalo x2.5!
增加伤害,Khulisa Umonakalo
增加伤害 (x2.5),Khulisa Ukulimala (x2.5)
增加伤害 (x2),Khulisa Ukulimala (x2)
受到攻击10次时，对前方敌人造成伤害。,Yenza umonakalo esitheni ngaphambili lapho sihlaselwa izikhathi ezingu-10.
受到伤害时，有 10% 的几率对攻击的敌人造成伤害。,10% ithuba lokulimaza isitha esihlaselayo uma sonakalisiwe.
受到伤害时，有 15% 几率对前方敌人造成伤害。,Ithuba elingu-15% lokulimaza isitha esingaphambili uma sonakalisiwe.
10% 几率使法力恢复速度翻倍，持续 5 秒。当损坏时。,Ithuba elingu-10% lokuphinda kabili izinga lokutholwa kwe-mana ngamasekhondi angu-5. uma ilimele.
受到伤害时有 10% 几率恢复最大生命值的 10%。,Ithuba elingu-10% lokubuyisela u-10% we-Max HP uma ilimele.
被击中时发射尖刺进行攻击。 ATK与受到的伤害成正比。,Hlasela ngokuvula ama-spikes uma ushaywa. I-ATK ilingana nomonakalo othathiwe.
2% 几率变得无敌持续 3 秒。当损坏时。,2% wethuba Lokungathinteki amasekhondi angu-3. uma ilimele.
受到伤害时有 5% 几率恢复最大生命值的 3%。,Ithuba elingu-5% lokubuyisela u-3% we-Max HP uma ilimele.
小精灵,I-Pixie
精灵之翼,Iphiko le-Pixie
精灵光,I-Pixie Ukukhanya
精灵女王,Pixie Queen
没有风险，就没有回报！,"Ayikho ingozi, akukho mvuzo!"
强制冥想,Ukuzindla Okuphoqelekile
先生！别让你的袜子掉下来！,Mnumzane! Ungawakhiphi amasokisi akho!
先生！一切都变得疯狂了！,Mnumzane! Konke kuyahlanya!
先生！手榴弹！,Mnumzane! Amabhomu!
一次中风就能带来不同！,I-stroke eyodwa ingenza umehluko!
如果你需要的话就拿走吧。,Yithathe uma uyidinga.
继续。你可以拥有它。,Qhubeka. Ungayithola.
粉贝儿,I-Pink Bell
粉贝儿（土）,Insimbi I-Pink Bell (Umhlaba)
粉贝儿（土）关系点,I-Pink Bell (Umhlaba) Iphuzu Lobudlelwano
粉贝儿（水）,I-Pink Bell (Amanzi)
粉贝儿（水）关系点,I-Pink Bell (Amanzi) Indawo Yobudlelwane
粉贝儿(火),I-Pink Bell (Umlilo)
粉贝儿(火) 关系点,I-Pink Bell (Umlilo) Iphoyinti Lobudlelwano
