id,t_name,type,r_value,r_value_effect,res_icon,cost_eoa,cost_eoa_acc,target,atk_multi,def_multi,hp_multi,cri_chance_add,cri_dmg_add,cri_avoid_add,hit_rate_add,avoid_add,accuracy_add,resistance_add
20052,치명 회피,2,52,치명 회피,,16607,677608,,,,,,,1,,,,
20053,효과 적중,2,53,효과 적중,,16773,694381,,,,,,,,,,1,
20054,효과 저항,2,54,효과 저항,,16941,711322,,,,,,,,,,,1
20055,공격,2,55,공격,,17110,728432,,1,,,,,,,,,
20056,방어,2,56,방어,,17281,745713,,,1,,,,,,,,
20057,효과 적중,2,57,효과 적중,,17454,763167,,,,,,,,,,1,
20058,효과 저항,2,58,효과 저항,,17629,780796,,,,,,,,,,,1
20059,치명 확률,2,59,치명 확률,,17805,798601,,,,,1,,,,,,
20060,치명 회피,2,60,치명 회피,,17983,816584,,,,,,,1,,,,
20061,효과 적중,2,61,효과 적중,,18163,834747,,,,,,,,,,1,
20062,효과 저항,2,62,효과 저항,,18345,853092,,,,,,,,,,,1
20063,치명 확률,2,63,치명 확률,,18528,871620,,,,,1,,,,,,
20064,치명 회피,2,64,치명 회피,,18713,890333,,,,,,,1,,,,
20065,효과 적중,2,65,효과 적중,,18900,909233,,,,,,,,,,1,
20066,효과 저항,2,66,효과 저항,,19089,928322,,,,,,,,,,,1
20067,공격,2,67,공격,,19280,947602,,1,,,,,,,,,
20068,방어,2,68,방어,,19473,967075,,,1,,,,,,,,
20069,효과 적중,2,69,효과 적중,,19668,986743,,,,,,,,,,1,
20070,효과 저항,2,70,효과 저항,,19865,1006608,,,,,,,,,,,1
20071,치명 확률,2,71,치명 확률,,20064,1026672,,,,,1,,,,,,
20072,치명 회피,2,72,치명 회피,,20265,1046937,,,,,,,1,,,,
20073,효과 적중,2,73,효과 적중,,20468,1067405,,,,,,,,,,1,
20074,효과 저항,2,74,효과 저항,,20673,1088078,,,,,,,,,,,1
20075,치명 확률,2,75,치명 확률,,20880,1108958,,,,,1,,,,,,
20076,치명 회피,2,76,치명 회피,,21089,1130047,,,,,,,1,,,,
20077,효과 적중,2,77,효과 적중,,21300,1151347,,,,,,,,,,1,
20078,효과 저항,2,78,효과 저항,,21513,1172860,,,,,,,,,,,1
20079,공격,2,79,공격,,21728,1194588,,1,,,,,,,,,
20080,방어,2,80,방어,,21945,1216533,,,1,,,,,,,,
20081,효과 적중,2,81,효과 적중,,22164,1238697,,,,,,,,,,1,
20082,효과 저항,2,82,효과 저항,,22386,1261083,,,,,,,,,,,1
20083,치명 확률,2,83,치명 확률,,22610,1283693,,,,,1,,,,,,
20084,치명 회피,2,84,치명 회피,,22836,1306529,,,,,,,1,,,,
20085,효과 적중,2,85,효과 적중,,23064,1329593,,,,,,,,,,1,
20086,효과 저항,2,86,효과 저항,,23295,1352888,,,,,,,,,,,1
20087,치명 확률,2,87,치명 확률,,23528,1376416,,,,,1,,,,,,
20088,치명 회피,2,88,치명 회피,,23763,1400179,,,,,,,1,,,,
20089,효과 적중,2,89,효과 적중,,24001,1424180,,,,,,,,,,1,
20090,효과 저항,2,90,효과 저항,,24241,1448421,,,,,,,,,,,1
20091,공격,2,91,공격,,24483,1472904,,1,,,,,,,,,
20092,방어,2,92,방어,,24728,1497632,,,1,,,,,,,,
20093,효과 적중,2,93,효과 적중,,24975,1522607,,,,,,,,,,1,
20094,효과 저항,2,94,효과 저항,,25225,1547832,,,,,,,,,,,1
20095,치명 확률,2,95,치명 확률,,25477,1573309,,,,,1,,,,,,
20096,치명 회피,2,96,치명 회피,,25732,1599041,,,,,,,1,,,,
20097,효과 적중,2,97,효과 적중,,25989,1625030,,,,,,,,,,1,
20098,효과 저항,2,98,효과 저항,,26249,1651279,,,,,,,,,,,1
20099,치명 확률,2,99,치명 확률,,26511,1677790,,,,,1,,,,,,
20100,치명 회피,2,100,치명 회피,,26776,1704566,,,,,,,1,,,,
20101,효과 적중,2,101,효과 적중,,27044,1731610,,,,,,,,,,1,
20102,효과 저항,2,102,효과 저항,,27314,1758924,,,,,,,,,,,1
20103,공격,2,103,공격,,27587,1786511,,1,,,,,,,,,
20104,방어,2,104,방어,,27863,1814374,,,1,,,,,,,,
20105,효과 적중,2,105,효과 적중,,28142,1842516,,,,,,,,,,1,
20106,효과 저항,2,106,효과 저항,,28423,1870939,,,,,,,,,,,1
20107,치명 확률,2,107,치명 확률,,28707,1899646,,,,,1,,,,,,
20108,치명 회피,2,108,치명 회피,,28994,1928640,,,,,,,1,,,,
20109,효과 적중,2,109,효과 적중,,29284,1957924,,,,,,,,,,1,
20110,효과 저항,2,110,효과 저항,,29577,1987501,,,,,,,,,,,1
20111,치명 확률,2,111,치명 확률,,29873,2017374,,,,,1,,,,,,
20112,치명 회피,2,112,치명 회피,,30172,2047546,,,,,,,1,,,,
20113,효과 적중,2,113,효과 적중,,30474,2078020,,,,,,,,,,1,
20114,효과 저항,2,114,효과 저항,,30779,2108799,,,,,,,,,,,1
20115,공격,2,115,공격,,31087,2139886,,1,,,,,,,,,
20116,방어,2,116,방어,,31398,2171284,,,1,,,,,,,,
20117,효과 적중,2,117,효과 적중,,31712,2202996,,,,,,,,,,1,
20118,효과 저항,2,118,효과 저항,,32029,2235025,,,,,,,,,,,1
20119,치명 확률,2,119,치명 확률,,32349,2267374,,,,,1,,,,,,
20120,치명 회피,2,120,치명 회피,,32672,2300046,,,,,,,1,,,,
20121,효과 적중,2,121,효과 적중,,32999,2333045,,,,,,,,,,1,
20122,효과 저항,2,122,효과 저항,,33329,2366374,,,,,,,,,,,1
20123,치명 확률,2,123,치명 확률,,33662,2400036,,,,,1,,,,,,
20124,치명 회피,2,124,치명 회피,,33999,2434035,,,,,,,1,,,,
20125,효과 적중,2,125,효과 적중,,34339,2468374,,,,,,,,,,1,
20126,효과 저항,2,126,효과 저항,,34682,2503056,,,,,,,,,,,1
20127,공격,2,127,공격,,35029,2538085,,1,,,,,,,,,
20128,방어,2,128,방어,,35379,2573464,,,1,,,,,,,,
20129,효과 적중,2,129,효과 적중,,35733,2609197,,,,,,,,,,1,
20130,효과 저항,2,130,효과 저항,,36090,2645287,,,,,,,,,,,1
20131,치명 확률,2,131,치명 확률,,36451,2681738,,,,,1,,,,,,
20132,치명 회피,2,132,치명 회피,,36816,2718554,,,,,,,1,,,,
20133,효과 적중,2,133,효과 적중,,37184,2755738,,,,,,,,,,1,
20134,효과 저항,2,134,효과 저항,,37556,2793294,,,,,,,,,,,1
20135,치명 확률,2,135,치명 확률,,37932,2831226,,,,,1,,,,,,
20136,치명 회피,2,136,치명 회피,,38311,2869537,,,,,,,1,,,,
20137,효과 적중,2,137,효과 적중,,38694,2908231,,,,,,,,,,1,
20138,효과 저항,2,138,효과 저항,,39081,2947312,,,,,,,,,,,1
20139,공격,2,139,공격,,39472,2986784,,1,,,,,,,,,
20140,방어,2,140,방어,,39867,3026651,,,1,,,,,,,,
20141,효과 적중,2,141,효과 적중,,40266,3066917,,,,,,,,,,1,
20142,효과 저항,2,142,효과 저항,,40669,3107586,,,,,,,,,,,1
20143,치명 확률,2,143,치명 확률,,41076,3148662,,,,,1,,,,,,
20144,치명 회피,2,144,치명 회피,,41487,3190149,,,,,,,1,,,,
20145,효과 적중,2,145,효과 적중,,41902,3232051,,,,,,,,,,1,
20146,효과 저항,2,146,효과 저항,,42321,3274372,,,,,,,,,,,1
20147,치명 확률,2,147,치명 확률,,42744,3317116,,,,,1,,,,,,
20148,치명 회피,2,148,치명 회피,,43171,3360287,,,,,,,1,,,,
20149,효과 적중,2,149,효과 적중,,43603,3403890,,,,,,,,,,1,
20150,효과 저항,2,150,효과 저항,,44039,3447929,,,,,,,,,,,1
20151,공격,2,151,공격,,44479,3492408,,1,,,,,,,,,
20152,방어,2,152,방어,,44924,3537332,,,1,,,,,,,,
20153,효과 적중,2,153,효과 적중,,45373,3582705,,,,,,,,,,1,
20154,효과 저항,2,154,효과 저항,,45827,3628532,,,,,,,,,,,1
20155,치명 확률,2,155,치명 확률,,46285,3674817,,,,,1,,,,,,
20156,치명 회피,2,156,치명 회피,,46748,3721565,,,,,,,1,,,,
20157,효과 적중,2,157,효과 적중,,47215,3768780,,,,,,,,,,1,
20158,효과 저항,2,158,효과 저항,,47687,3816467,,,,,,,,,,,1
20159,치명 확률,2,159,치명 확률,,48164,3864631,,,,,1,,,,,,
20160,치명 회피,2,160,치명 회피,,48646,3913277,,,,,,,1,,,,
20161,효과 적중,2,161,효과 적중,,49132,3962409,,,,,,,,,,1,
20162,효과 저항,2,162,효과 저항,,49623,4012032,,,,,,,,,,,1
20163,공격,2,163,공격,,50119,4062151,,1,,,,,,,,,
20164,방어,2,164,방어,,50620,4112771,,,1,,,,,,,,
20165,효과 적중,2,165,효과 적중,,51126,4163897,,,,,,,,,,1,
20166,효과 저항,2,166,효과 저항,,51637,4215534,,,,,,,,,,,1
20167,치명 확률,2,167,치명 확률,,52153,4267687,,,,,1,,,,,,
20168,치명 회피,2,168,치명 회피,,52675,4320362,,,,,,,1,,,,
20169,효과 적중,2,169,효과 적중,,53202,4373564,,,,,,,,,,1,
20170,효과 저항,2,170,효과 저항,,53734,4427298,,,,,,,,,,,1
20171,치명 확률,2,171,치명 확률,,54271,4481569,,,,,1,,,,,,
20172,치명 회피,2,172,치명 회피,,54814,4536383,,,,,,,1,,,,
20173,효과 적중,2,173,효과 적중,,55362,4591745,,,,,,,,,,1,
20174,효과 저항,2,174,효과 저항,,55916,4647661,,,,,,,,,,,1
20175,공격,2,175,공격,,56475,4704136,,1,,,,,,,,,
20176,방어,2,176,방어,,57040,4761176,,,1,,,,,,,,
20177,효과 적중,2,177,효과 적중,,57610,4818786,,,,,,,,,,1,
20178,효과 저항,2,178,효과 저항,,58186,4876972,,,,,,,,,,,1
20179,치명 확률,2,179,치명 확률,,58768,4935740,,,,,1,,,,,,
20180,치명 회피,2,180,치명 회피,,59356,4995096,,,,,,,1,,,,
20181,효과 적중,2,181,효과 적중,,59950,5055046,,,,,,,,,,1,
20182,효과 저항,2,182,효과 저항,,60550,5115596,,,,,,,,,,,1
20183,치명 확률,2,183,치명 확률,,61156,5176752,,,,,1,,,,,,
20184,치명 회피,2,184,치명 회피,,61768,5238520,,,,,,,1,,,,
20185,효과 적중,2,185,효과 적중,,62386,5300906,,,,,,,,,,1,
20186,효과 저항,2,186,효과 저항,,63010,5363916,,,,,,,,,,,1
20187,공격,2,187,공격,,63640,5427556,,1,,,,,,,,,
20188,방어,2,188,방어,,64276,5491832,,,1,,,,,,,,
20189,효과 적중,2,189,효과 적중,,64919,5556751,,,,,,,,,,1,
20190,효과 저항,2,190,효과 저항,,65568,5622319,,,,,,,,,,,1
20191,치명 확률,2,191,치명 확률,,66224,5688543,,,,,1,,,,,,
20192,치명 회피,2,192,치명 회피,,66886,5755429,,,,,,,1,,,,
20193,효과 적중,2,193,효과 적중,,67555,5822984,,,,,,,,,,1,
20194,효과 저항,2,194,효과 저항,,68231,5891215,,,,,,,,,,,1
20195,치명 확률,2,195,치명 확률,,68913,5960128,,,,,1,,,,,,
20196,치명 회피,2,196,치명 회피,,69602,6029730,,,,,,,1,,,,
20197,효과 적중,2,197,효과 적중,,70298,6100028,,,,,,,,,,1,
20198,효과 저항,2,198,효과 저항,,71001,6171029,,,,,,,,,,,1
20199,공격,2,199,공격,,71711,6242740,,1,,,,,,,,,
20200,방어,2,200,방어,,72428,6315168,,,1,,,,,,,,
20201,효과 적중,2,201,효과 적중,,73152,6388320,,,,,,,,,,1,
20202,효과 저항,2,202,효과 저항,,73884,6462204,,,,,,,,,,,1
20203,치명 확률,2,203,치명 확률,,74623,6536827,,,,,1,,,,,,
20204,치명 회피,2,204,치명 회피,,75369,6612196,,,,,,,1,,,,
20205,효과 적중,2,205,효과 적중,,76123,6688319,,,,,,,,,,1,
20206,효과 저항,2,206,효과 저항,,76884,6765203,,,,,,,,,,,1
20207,치명 확률,2,207,치명 확률,,77653,6842856,,,,,1,,,,,,
20208,치명 회피,2,208,치명 회피,,78430,6921286,,,,,,,1,,,,
20209,효과 적중,2,209,효과 적중,,79214,7000500,,,,,,,,,,1,
20210,효과 저항,2,210,효과 저항,,80006,7080506,,,,,,,,,,,1
20211,공격,2,211,공격,,80806,7161312,,1,,,,,,,,,
20212,방어,2,212,방어,,81614,7242926,,,1,,,,,,,,
20213,효과 적중,2,213,효과 적중,,82430,7325356,,,,,,,,,,1,
20214,효과 저항,2,214,효과 저항,,83254,7408610,,,,,,,,,,,1
20215,치명 확률,2,215,치명 확률,,84087,7492697,,,,,1,,,,,,
20216,치명 회피,2,216,치명 회피,,84928,7577625,,,,,,,1,,,,
20217,효과 적중,2,217,효과 적중,,85777,7663402,,,,,,,,,,1,
20218,효과 저항,2,218,효과 저항,,86635,7750037,,,,,,,,,,,1
20219,치명 확률,2,219,치명 확률,,87501,7837538,,,,,1,,,,,,
20220,치명 회피,2,220,치명 회피,,88376,7925914,,,,,,,1,,,,
20221,효과 적중,2,221,효과 적중,,89260,8015174,,,,,,,,,,1,
20222,효과 저항,2,222,효과 저항,,90153,8105327,,,,,,,,,,,1
20223,공격,2,223,공격,,91055,8196382,,1,,,,,,,,,
20224,방어,2,224,방어,,91966,8288348,,,1,,,,,,,,
20225,효과 적중,2,225,효과 적중,,92886,8381234,,,,,,,,,,1,
20226,효과 저항,2,226,효과 저항,,93815,8475049,,,,,,,,,,,1
20227,치명 확률,2,227,치명 확률,,94753,8569802,,,,,1,,,,,,
20228,치명 회피,2,228,치명 회피,,95701,8665503,,,,,,,1,,,,
20229,효과 적중,2,229,효과 적중,,96658,8762161,,,,,,,,,,1,
20230,효과 저항,2,230,효과 저항,,97625,8859786,,,,,,,,,,,1
20231,치명 확률,2,231,치명 확률,,98601,8958387,,,,,1,,,,,,
20232,치명 회피,2,232,치명 회피,,99587,9057974,,,,,,,1,,,,
20233,효과 적중,2,233,효과 적중,,100583,9158557,,,,,,,,,,1,
20234,효과 저항,2,234,효과 저항,,101589,9260146,,,,,,,,,,,1
20235,공격,2,235,공격,,102605,9362751,,1,,,,,,,,,
20236,방어,2,236,방어,,103631,9466382,,,1,,,,,,,,
20237,효과 적중,2,237,효과 적중,,104667,9571049,,,,,,,,,,1,
20238,효과 저항,2,238,효과 저항,,105714,9676763,,,,,,,,,,,1
20239,치명 확률,2,239,치명 확률,,106771,9783534,,,,,1,,,,,,
20240,치명 회피,2,240,치명 회피,,107839,9891373,,,,,,,1,,,,
20241,효과 적중,2,241,효과 적중,,108917,10000290,,,,,,,,,,1,
20242,효과 저항,2,242,효과 저항,,110006,10110296,,,,,,,,,,,1
20243,치명 확률,2,243,치명 확률,,111106,10221402,,,,,1,,,,,,
20244,치명 회피,2,244,치명 회피,,112217,10333619,,,,,,,1,,,,
20245,효과 적중,2,245,효과 적중,,113339,10446958,,,,,,,,,,1,
20246,효과 저항,2,246,효과 저항,,114472,10561430,,,,,,,,,,,1
20247,공격,2,247,공격,,115617,10677047,,1,,,,,,,,,
20248,방어,2,248,방어,,116773,10793820,,,1,,,,,,,,
20249,효과 적중,2,249,효과 적중,,117941,10911761,,,,,,,,,,1,
20250,효과 저항,2,250,효과 저항,,119120,11030881,,,,,,,,,,,1
20251,치명 확률,2,251,치명 확률,,120311,11151192,,,,,1,,,,,,
20252,치명 회피,2,252,치명 회피,,121514,11272706,,,,,,,1,,,,
20253,효과 적중,2,253,효과 적중,,122729,11395435,,,,,,,,,,1,
20254,효과 저항,2,254,효과 저항,,123956,11519391,,,,,,,,,,,1
20255,치명 확률,2,255,치명 확률,,125196,11644587,,,,,1,,,,,,
20256,치명 회피,2,256,치명 회피,,126448,11771035,,,,,,,1,,,,
20257,효과 적중,2,257,효과 적중,,127712,11898747,,,,,,,,,,1,
20258,효과 저항,2,258,효과 저항,,128989,12027736,,,,,,,,,,,1
20259,공격,2,259,공격,,130279,12158015,,1,,,,,,,,,
20260,방어,2,260,방어,,131582,12289597,,,1,,,,,,,,
20261,효과 적중,2,261,효과 적중,,132898,12422495,,,,,,,,,,1,
20262,효과 저항,2,262,효과 저항,,134227,12556722,,,,,,,,,,,1
20263,치명 확률,2,263,치명 확률,,135569,12692291,,,,,1,,,,,,
20264,치명 회피,2,264,치명 회피,,136925,12829216,,,,,,,1,,,,
20265,효과 적중,2,265,효과 적중,,138294,12967510,,,,,,,,,,1,
20266,효과 저항,2,266,효과 저항,,139677,13107187,,,,,,,,,,,1
20267,치명 확률,2,267,치명 확률,,141074,13248261,,,,,1,,,,,,
20268,치명 회피,2,268,치명 회피,,142485,13390746,,,,,,,1,,,,
20269,효과 적중,2,269,효과 적중,,143910,13534656,,,,,,,,,,1,
20270,효과 저항,2,270,효과 저항,,145349,13680005,,,,,,,,,,,1
20271,공격,2,271,공격,,146802,13826807,,1,,,,,,,,,
20272,방어,2,272,방어,,148270,13975077,,,1,,,,,,,,
20273,효과 적중,2,273,효과 적중,,149753,14124830,,,,,,,,,,1,
20274,효과 저항,2,274,효과 저항,,151251,14276081,,,,,,,,,,,1
20275,치명 확률,2,275,치명 확률,,152764,14428845,,,,,1,,,,,,
20276,치명 회피,2,276,치명 회피,,154292,14583137,,,,,,,1,,,,
20277,효과 적중,2,277,효과 적중,,155835,14738972,,,,,,,,,,1,
20278,효과 저항,2,278,효과 저항,,157393,14896365,,,,,,,,,,,1
20279,치명 확률,2,279,치명 확률,,158967,15055332,,,,,1,,,,,,
20280,치명 회피,2,280,치명 회피,,160557,15215889,,,,,,,1,,,,
20281,효과 적중,2,281,효과 적중,,162163,15378052,,,,,,,,,,1,
20282,효과 저항,2,282,효과 저항,,163785,15541837,,,,,,,,,,,1
20283,공격,2,283,공격,,165423,15707260,,1,,,,,,,,,
20284,방어,2,284,방어,,167077,15874337,,,1,,,,,,,,
20285,효과 적중,2,285,효과 적중,,168748,16043085,,,,,,,,,,1,
20286,효과 저항,2,286,효과 저항,,170435,16213520,,,,,,,,,,,1
20287,치명 확률,2,287,치명 확률,,172139,16385659,,,,,1,,,,,,
20288,치명 회피,2,288,치명 회피,,173860,16559519,,,,,,,1,,,,
20289,효과 적중,2,289,효과 적중,,175599,16735118,,,,,,,,,,1,
20290,효과 저항,2,290,효과 저항,,177355,16912473,,,,,,,,,,,1
20291,치명 확률,2,291,치명 확률,,179129,17091602,,,,,1,,,,,,
20292,치명 회피,2,292,치명 회피,,180920,17272522,,,,,,,1,,,,
20293,효과 적중,2,293,효과 적중,,182729,17455251,,,,,,,,,,1,
20294,효과 저항,2,294,효과 저항,,184556,17639807,,,,,,,,,,,1
20295,공격,2,295,공격,,186402,17826209,,1,,,,,,,,,
20296,방어,2,296,방어,,188266,18014475,,,1,,,,,,,,
20297,효과 적중,2,297,효과 적중,,190149,18204624,,,,,,,,,,1,
20298,효과 저항,2,298,효과 저항,,192050,18396674,,,,,,,,,,,1
20299,치명 확률,2,299,치명 확률,,193971,18590645,,,,,1,,,,,,
20300,치명 회피,2,300,치명 회피,,195911,18786556,,,,,,,1,,,,
20301,효과 적중,2,301,효과 적중,,197870,18984426,,,,,,,,,,1,
20302,효과 저항,2,302,효과 저항,,199849,19184275,,,,,,,,,,,1
20303,치명 확률,2,303,치명 확률,,201847,19386122,,,,,1,,,,,,
20304,치명 회피,2,304,치명 회피,,203865,19589987,,,,,,,1,,,,
20305,효과 적중,2,305,효과 적중,,205904,19795891,,,,,,,,,,1,
20306,효과 저항,2,306,효과 저항,,207963,20003854,,,,,,,,,,,1
20307,공격,2,307,공격,,210043,20213897,,1,,,,,,,,,
20308,방어,2,308,방어,,212143,20426040,,,1,,,,,,,,
20309,효과 적중,2,309,효과 적중,,214264,20640304,,,,,,,,,,1,
20310,효과 저항,2,310,효과 저항,,216407,20856711,,,,,,,,,,,1
20311,치명 확률,2,311,치명 확률,,218571,21075282,,,,,1,,,,,,
20312,치명 회피,2,312,치명 회피,,220757,21296039,,,,,,,1,,,,
20313,효과 적중,2,313,효과 적중,,222965,21519004,,,,,,,,,,1,
20314,효과 저항,2,314,효과 저항,,225195,21744199,,,,,,,,,,,1
20315,치명 확률,2,315,치명 확률,,227447,21971646,,,,,1,,,,,,
20316,치명 회피,2,316,치명 회피,,229721,22201367,,,,,,,1,,,,
20317,효과 적중,2,317,효과 적중,,232018,22433385,,,,,,,,,,1,
20318,효과 저항,2,318,효과 저항,,234338,22667723,,,,,,,,,,,1
20319,공격,2,319,공격,,236681,22904404,,1,,,,,,,,,
20320,방어,2,320,방어,,239048,23143452,,,1,,,,,,,,
20321,효과 적중,2,321,효과 적중,,241438,23384890,,,,,,,,,,1,
20322,효과 저항,2,322,효과 저항,,243852,23628742,,,,,,,,,,,1
20323,치명 확률,2,323,치명 확률,,246291,23875033,,,,,1,,,,,,
20324,치명 회피,2,324,치명 회피,,248754,24123787,,,,,,,1,,,,
20325,효과 적중,2,325,효과 적중,,251242,24375029,,,,,,,,,,1,
20326,효과 저항,2,326,효과 저항,,253754,24628783,,,,,,,,,,,1
20327,치명 확률,2,327,치명 확률,,256292,24885075,,,,,1,,,,,,
20328,치명 회피,2,328,치명 회피,,258855,25143930,,,,,,,1,,,,
20329,효과 적중,2,329,효과 적중,,261444,25405374,,,,,,,,,,1,
20330,효과 저항,2,330,효과 저항,,264058,25669432,,,,,,,,,,,1
20331,공격,2,331,공격,,266699,25936131,,1,,,,,,,,,
20332,방어,2,332,방어,,269366,26205497,,,1,,,,,,,,
20333,효과 적중,2,333,효과 적중,,272060,26477557,,,,,,,,,,1,
20334,효과 저항,2,334,효과 저항,,274781,26752338,,,,,,,,,,,1
20335,치명 확률,2,335,치명 확률,,277529,27029867,,,,,1,,,,,,
20336,치명 회피,2,336,치명 회피,,280304,27310171,,,,,,,1,,,,
