slid,sid,r_origin_rarity,r_origin_s_name,r_origin_power_rate,r_origin_hit,r_goal_powerate,lv,r_dragon,t_name,r_count_power_rate,col_01,mod_01,val_01,col_02,mod_02,val_02,col_03,mod_03,val_03,col_04,mod_04,val_04,col_05,mod_05,val_05,desc_1,desc_2,desc_3,desc_4,desc_5,t_desc
20013401,200134,legend,패시브 2,,1,,1,빛 파워드래곤,회복,0,,,,,,,,,,,,,,,,,,,,,
20013402,200134,legend,패시브 2,,1,,2,빛 파워드래곤,회복,0,add_option_value_1,add,10,,,,,,,,,,,,,,,,,,
20013403,200134,legend,패시브 2,,1,,3,빛 파워드래곤,회복,0,add_option_value_1,add,10,,,,,,,,,,,,,,,,,,
20013404,200134,legend,패시브 2,,1,,4,빛 파워드래곤,회복,0,add_option_value_1,add,10,,,,,,,,,,,,,,,,,,
20013405,200134,legend,패시브 2,,1,,5,빛 파워드래곤,회복,0,add_option_value_1,add,10,,,,,,,,,,,,,,,,,,
20011501,200115,legend,드래그 스킬,133,3,67,1,어둠 파워드래곤,파워 펀치,4,,,,,,,,,,,,,,,,,,,,,
20011502,200115,legend,드래그 스킬,133,3,67,2,어둠 파워드래곤,파워 펀치,4,power_rate,add,17,,,,,,,,,,,,,,,,,,
20011503,200115,legend,드래그 스킬,133,3,67,3,어둠 파워드래곤,파워 펀치,4,power_rate,add,17,,,,,,,,,,,,,,,,,,
20011504,200115,legend,드래그 스킬,133,3,67,4,어둠 파워드래곤,파워 펀치,4,power_rate,add,17,,,,,,,,,,,,,,,,,,
20011505,200115,legend,드래그 스킬,133,3,67,5,어둠 파워드래곤,파워 펀치,4,power_rate,add,17,,,,,,,,,,,,,,,,,,
20012501,200125,legend,패시브 1,,1,,1,어둠 파워드래곤,공격 지원,0,,,,,,,,,,,,,,,,,,,,,
20012502,200125,legend,패시브 1,,1,,2,어둠 파워드래곤,공격 지원,0,add_option_value_1,add,2,,,,,,,,,,,,,,,,,,
20012503,200125,legend,패시브 1,,1,,3,어둠 파워드래곤,공격 지원,0,add_option_value_1,add,2,,,,,,,,,,,,,,,,,,
20012504,200125,legend,패시브 1,,1,,4,어둠 파워드래곤,공격 지원,0,add_option_value_1,add,3,,,,,,,,,,,,,,,,,,
20012505,200125,legend,패시브 1,,1,,5,어둠 파워드래곤,공격 지원,0,add_option_value_1,add,3,,,,,,,,,,,,,,,,,,
20013501,200135,legend,패시브 2,,1,,1,어둠 파워드래곤,최후의 저항,0,,,,,,,,,,,,,,,,,,,,,
20013502,200135,legend,패시브 2,,1,,2,어둠 파워드래곤,최후의 저항,0,add_option_time_1,add,5,,,,,,,,,,,,,,,,,,
20013503,200135,legend,패시브 2,,1,,3,어둠 파워드래곤,최후의 저항,0,add_option_value_1,add,25,,,,,,,,,,,,,,,,,,
20013504,200135,legend,패시브 2,,1,,4,어둠 파워드래곤,최후의 저항,0,add_option_time_1,add,5,,,,,,,,,,,,,,,,,,
20013505,200135,legend,패시브 2,,1,,5,어둠 파워드래곤,최후의 저항,0,add_option_value_1,add,25,,,,,,,,,,,,,,,,,,
20021101,200211,rare,드래그 스킬,325,1,163,1,땅 램곤,달콤한 꿈,4,,,,,,,,,,,,,,,,,,,,,
20021102,200211,rare,드래그 스킬,325,1,163,2,땅 램곤,달콤한 꿈,4,power_rate,add,41,,,,,,,,,,,,,,,,,,
20021103,200211,rare,드래그 스킬,325,1,163,3,땅 램곤,달콤한 꿈,4,power_rate,add,41,,,,,,,,,,,,,,,,,,
20021104,200211,rare,드래그 스킬,325,1,163,4,땅 램곤,달콤한 꿈,4,power_rate,add,41,,,,,,,,,,,,,,,,,,
20021105,200211,rare,드래그 스킬,325,1,163,5,땅 램곤,달콤한 꿈,4,power_rate,add,41,,,,,,,,,,,,,,,,,,
20022101,200221,rare,패시브 1,50,1,25,1,땅 램곤,악몽,4,,,,,,,,,,,,,,,,,,,,,
20022102,200221,rare,패시브 1,50,1,25,2,땅 램곤,악몽,4,power_rate,add,6,,,,,,,,,,,,,,,,,,
20022103,200221,rare,패시브 1,50,1,25,3,땅 램곤,악몽,4,power_rate,add,6,,,,,,,,,,,,,,,,,,
20022104,200221,rare,패시브 1,50,1,25,4,땅 램곤,악몽,4,power_rate,add,6,,,,,,,,,,,,,,,,,,
20022105,200221,rare,패시브 1,50,1,25,5,땅 램곤,악몽,4,power_rate,add,6,,,,,,,,,,,,,,,,,,
20023101,200231,rare,패시브 2,,1,,1,땅 램곤,기절 해제,0,,,,,,,,,,,,,,,,,,,,,
20023102,200231,rare,패시브 2,,1,,2,땅 램곤,기절 해제,0,cooldown,add,-5,,,,,,,,,,,,,,,,,,
20023103,200231,rare,패시브 2,,1,,3,땅 램곤,기절 해제,0,cooldown,add,-5,,,,,,,,,,,,,,,,,,
20023104,200231,rare,패시브 2,,1,,4,땅 램곤,기절 해제,0,cooldown,add,-5,,,,,,,,,,,,,,,,,,
20023105,200231,rare,패시브 2,,1,,5,땅 램곤,기절 해제,0,cooldown,add,-5,,,,,,,,,,,,,,,,,,
20021201,200212,rare,드래그 스킬,325,1,163,1,물 램곤,달콤한 꿈,4,,,,,,,,,,,,,,,,,,,,,
20021202,200212,rare,드래그 스킬,325,1,163,2,물 램곤,달콤한 꿈,4,power_rate,add,41,,,,,,,,,,,,,,,,,,
20021203,200212,rare,드래그 스킬,325,1,163,3,물 램곤,달콤한 꿈,4,power_rate,add,41,,,,,,,,,,,,,,,,,,
20021204,200212,rare,드래그 스킬,325,1,163,4,물 램곤,달콤한 꿈,4,power_rate,add,41,,,,,,,,,,,,,,,,,,
20021205,200212,rare,드래그 스킬,325,1,163,5,물 램곤,달콤한 꿈,4,power_rate,add,41,,,,,,,,,,,,,,,,,,
20022201,200222,rare,패시브 1,50,3,25,1,물 램곤,악몽,4,,,,,,,,,,,,,,,,,,,,,
20022202,200222,rare,패시브 1,50,3,25,2,물 램곤,악몽,4,power_rate,add,6,,,,,,,,,,,,,,,,,,
20022203,200222,rare,패시브 1,50,3,25,3,물 램곤,악몽,4,power_rate,add,6,,,,,,,,,,,,,,,,,,
20022204,200222,rare,패시브 1,50,3,25,4,물 램곤,악몽,4,power_rate,add,6,,,,,,,,,,,,,,,,,,
20022205,200222,rare,패시브 1,50,3,25,5,물 램곤,악몽,4,power_rate,add,6,,,,,,,,,,,,,,,,,,
20023201,200232,rare,패시브 2,,1,,1,물 램곤,침묵 해제,0,,,,,,,,,,,,,,,,,,,,,
20023202,200232,rare,패시브 2,,1,,2,물 램곤,침묵 해제,0,cooldown,add,-5,,,,,,,,,,,,,,,,,,
20023203,200232,rare,패시브 2,,1,,3,물 램곤,침묵 해제,0,cooldown,add,-5,,,,,,,,,,,,,,,,,,
20023204,200232,rare,패시브 2,,1,,4,물 램곤,침묵 해제,0,cooldown,add,-5,,,,,,,,,,,,,,,,,,
20023205,200232,rare,패시브 2,,1,,5,물 램곤,침묵 해제,0,cooldown,add,-5,,,,,,,,,,,,,,,,,,
20021301,200213,rare,드래그 스킬,325,1,163,1,불 램곤,달콤한 꿈,4,,,,,,,,,,,,,,,,,,,,,
20021302,200213,rare,드래그 스킬,325,1,163,2,불 램곤,달콤한 꿈,4,power_rate,add,41,,,,,,,,,,,,,,,,,,
20021303,200213,rare,드래그 스킬,325,1,163,3,불 램곤,달콤한 꿈,4,power_rate,add,41,,,,,,,,,,,,,,,,,,
20021304,200213,rare,드래그 스킬,325,1,163,4,불 램곤,달콤한 꿈,4,power_rate,add,41,,,,,,,,,,,,,,,,,,
20021305,200213,rare,드래그 스킬,325,1,163,5,불 램곤,달콤한 꿈,4,power_rate,add,41,,,,,,,,,,,,,,,,,,
20022301,200223,rare,패시브 1,50,2,25,1,불 램곤,악몽,4,,,,,,,,,,,,,,,,,,,,,
20022302,200223,rare,패시브 1,50,2,25,2,불 램곤,악몽,4,power_rate,add,6,,,,,,,,,,,,,,,,,,
20022303,200223,rare,패시브 1,50,2,25,3,불 램곤,악몽,4,power_rate,add,6,,,,,,,,,,,,,,,,,,
20022304,200223,rare,패시브 1,50,2,25,4,불 램곤,악몽,4,power_rate,add,6,,,,,,,,,,,,,,,,,,
20022305,200223,rare,패시브 1,50,2,25,5,불 램곤,악몽,4,power_rate,add,6,,,,,,,,,,,,,,,,,,
20023301,200233,rare,패시브 2,,1,,1,불 램곤,수면 해제,0,,,,,,,,,,,,,,,,,,,,,
20023302,200233,rare,패시브 2,,1,,2,불 램곤,수면 해제,0,cooldown,add,-5,,,,,,,,,,,,,,,,,,
20023303,200233,rare,패시브 2,,1,,3,불 램곤,수면 해제,0,cooldown,add,-5,,,,,,,,,,,,,,,,,,
20023304,200233,rare,패시브 2,,1,,4,불 램곤,수면 해제,0,cooldown,add,-5,,,,,,,,,,,,,,,,,,
20023305,200233,rare,패시브 2,,1,,5,불 램곤,수면 해제,0,cooldown,add,-5,,,,,,,,,,,,,,,,,,
20021401,200214,rare,드래그 스킬,325,1,163,1,빛 램곤,달콤한 꿈,4,,,,,,,,,,,,,,,,,,,,,
20021402,200214,rare,드래그 스킬,325,1,163,2,빛 램곤,달콤한 꿈,4,power_rate,add,41,,,,,,,,,,,,,,,,,,
20021403,200214,rare,드래그 스킬,325,1,163,3,빛 램곤,달콤한 꿈,4,power_rate,add,41,,,,,,,,,,,,,,,,,,
20021404,200214,rare,드래그 스킬,325,1,163,4,빛 램곤,달콤한 꿈,4,power_rate,add,41,,,,,,,,,,,,,,,,,,
20021405,200214,rare,드래그 스킬,325,1,163,5,빛 램곤,달콤한 꿈,4,power_rate,add,41,,,,,,,,,,,,,,,,,,
20022401,200224,rare,패시브 1,50,2,25,1,빛 램곤,악몽,4,,,,,,,,,,,,,,,,,,,,,
20022402,200224,rare,패시브 1,50,2,25,2,빛 램곤,악몽,4,power_rate,add,6,,,,,,,,,,,,,,,,,,
20022403,200224,rare,패시브 1,50,2,25,3,빛 램곤,악몽,4,power_rate,add,6,,,,,,,,,,,,,,,,,,
20022404,200224,rare,패시브 1,50,2,25,4,빛 램곤,악몽,4,power_rate,add,6,,,,,,,,,,,,,,,,,,
20022405,200224,rare,패시브 1,50,2,25,5,빛 램곤,악몽,4,power_rate,add,6,,,,,,,,,,,,,,,,,,
20023401,200234,rare,패시브 2,,1,,1,빛 램곤,수면 보호,0,,,,,,,,,,,,,,,,,,,,,
20023402,200234,rare,패시브 2,,1,,2,빛 램곤,수면 보호,0,cooldown,add,-5,,,,,,,,,,,,,,,,,,
20023403,200234,rare,패시브 2,,1,,3,빛 램곤,수면 보호,0,cooldown,add,-5,,,,,,,,,,,,,,,,,,
20023404,200234,rare,패시브 2,,1,,4,빛 램곤,수면 보호,0,cooldown,add,-5,,,,,,,,,,,,,,,,,,
20023405,200234,rare,패시브 2,,1,,5,빛 램곤,수면 보호,0,cooldown,add,-5,,,,,,,,,,,,,,,,,,
20021501,200215,rare,드래그 스킬,325,1,163,1,어둠 램곤,달콤한 꿈,4,,,,,,,,,,,,,,,,,,,,,
20021502,200215,rare,드래그 스킬,325,1,163,2,어둠 램곤,달콤한 꿈,4,power_rate,add,41,,,,,,,,,,,,,,,,,,
20021503,200215,rare,드래그 스킬,325,1,163,3,어둠 램곤,달콤한 꿈,4,power_rate,add,41,,,,,,,,,,,,,,,,,,
20021504,200215,rare,드래그 스킬,325,1,163,4,어둠 램곤,달콤한 꿈,4,power_rate,add,41,,,,,,,,,,,,,,,,,,
20021505,200215,rare,드래그 스킬,325,1,163,5,어둠 램곤,달콤한 꿈,4,power_rate,add,41,,,,,,,,,,,,,,,,,,
20022501,200225,rare,패시브 1,50,2,25,1,어둠 램곤,악몽,4,,,,,,,,,,,,,,,,,,,,,
20022502,200225,rare,패시브 1,50,2,25,2,어둠 램곤,악몽,4,power_rate,add,6,,,,,,,,,,,,,,,,,,
20022503,200225,rare,패시브 1,50,2,25,3,어둠 램곤,악몽,4,power_rate,add,6,,,,,,,,,,,,,,,,,,
20022504,200225,rare,패시브 1,50,2,25,4,어둠 램곤,악몽,4,power_rate,add,6,,,,,,,,,,,,,,,,,,
20022505,200225,rare,패시브 1,50,2,25,5,어둠 램곤,악몽,4,power_rate,add,6,,,,,,,,,,,,,,,,,,
20023501,200235,rare,패시브 2,,1,,1,어둠 램곤,수면 보호,0,,,,,,,,,,,,,,,,,,,,,
20023502,200235,rare,패시브 2,,1,,2,어둠 램곤,수면 보호,0,cooldown,add,-5,,,,,,,,,,,,,,,,,,
20023503,200235,rare,패시브 2,,1,,3,어둠 램곤,수면 보호,0,cooldown,add,-5,,,,,,,,,,,,,,,,,,
20023504,200235,rare,패시브 2,,1,,4,어둠 램곤,수면 보호,0,cooldown,add,-5,,,,,,,,,,,,,,,,,,
20023505,200235,rare,패시브 2,,1,,5,어둠 램곤,수면 보호,0,cooldown,add,-5,,,,,,,,,,,,,,,,,,
20101101,201011,legend,드래그 스킬,40,10,20,1,땅 빙하고룡,냉동빔,4,,,,,,,,,,,,,,,,,,,,,
20101102,201011,legend,드래그 스킬,40,10,20,2,땅 빙하고룡,냉동빔,4,power_rate,add,5,,,,,,,,,,,,,,,,,,
20101103,201011,legend,드래그 스킬,40,10,20,3,땅 빙하고룡,냉동빔,4,power_rate,add,5,,,,,,,,,,,,,,,,,,
20101104,201011,legend,드래그 스킬,40,10,20,4,땅 빙하고룡,냉동빔,4,power_rate,add,5,,,,,,,,,,,,,,,,,,
20101105,201011,legend,드래그 스킬,40,10,20,5,땅 빙하고룡,냉동빔,4,power_rate,add,5,,,,,,,,,,,,,,,,,,
20102101,201021,legend,패시브 1,,1,,1,땅 빙하고룡,바위 고드름,0,,,,,,,,,,,,,,,,,,,,,
20102102,201021,legend,패시브 1,,1,,2,땅 빙하고룡,바위 고드름,0,add_option_value_1,add,10,,,,,,,,,,,,,,,,,,
20102103,201021,legend,패시브 1,,1,,3,땅 빙하고룡,바위 고드름,0,add_option_value_1,add,10,,,,,,,,,,,,,,,,,,
20102104,201021,legend,패시브 1,,1,,4,땅 빙하고룡,바위 고드름,0,add_option_value_1,add,10,,,,,,,,,,,,,,,,,,
20102105,201021,legend,패시브 1,,1,,5,땅 빙하고룡,바위 고드름,0,add_option_value_1,add,10,,,,,,,,,,,,,,,,,,
20103101,201031,legend,패시브 2,,1,,1,땅 빙하고룡,얼음의 보호,0,,,,,,,,,,,,,,,,,,,,,
20103102,201031,legend,패시브 2,,1,,2,땅 빙하고룡,얼음의 보호,0,add_option_time_1,add,1,,,,,,,,,,,,,,,,,,
20103103,201031,legend,패시브 2,,1,,3,땅 빙하고룡,얼음의 보호,0,add_option_time_1,add,1,,,,,,,,,,,,,,,,,,
20103104,201031,legend,패시브 2,,1,,4,땅 빙하고룡,얼음의 보호,0,add_option_time_1,add,1,,,,,,,,,,,,,,,,,,
20103105,201031,legend,패시브 2,,1,,5,땅 빙하고룡,얼음의 보호,0,add_option_time_1,add,1,,,,,,,,,,,,,,,,,,
20101201,201012,legend,드래그 스킬,40,10,20,1,물 빙하고룡,냉동빔,4,,,,,,,,,,,,,,,,,,,,,
20101202,201012,legend,드래그 스킬,40,10,20,2,물 빙하고룡,냉동빔,4,power_rate,add,5,,,,,,,,,,,,,,,,,,
20101203,201012,legend,드래그 스킬,40,10,20,3,물 빙하고룡,냉동빔,4,power_rate,add,5,,,,,,,,,,,,,,,,,,
20101204,201012,legend,드래그 스킬,40,10,20,4,물 빙하고룡,냉동빔,4,power_rate,add,5,,,,,,,,,,,,,,,,,,
20101205,201012,legend,드래그 스킬,40,10,20,5,물 빙하고룡,냉동빔,4,power_rate,add,5,,,,,,,,,,,,,,,,,,
20102201,201022,legend,패시브 1,,1,,1,물 빙하고룡,고드름,0,,,,,,,,,,,,,,,,,,,,,
20102202,201022,legend,패시브 1,,1,,2,물 빙하고룡,고드름,0,chance_value,add,2,,,,,,,,,,,,,,,,,,
20102203,201022,legend,패시브 1,,1,,3,물 빙하고룡,고드름,0,chance_value,add,2,,,,,,,,,,,,,,,,,,
20102204,201022,legend,패시브 1,,1,,4,물 빙하고룡,고드름,0,chance_value,add,3,,,,,,,,,,,,,,,,,,
20102205,201022,legend,패시브 1,,1,,5,물 빙하고룡,고드름,0,chance_value,add,3,,,,,,,,,,,,,,,,,,
20103201,201032,legend,패시브 2,50,5,25,1,물 빙하고룡,파편,4,,,,,,,,,,,,,,,,,,,,,
20103202,201032,legend,패시브 2,50,5,25,2,물 빙하고룡,파편,4,power_rate,add,6,,,,,,,,,,,,,,,,,,
20103203,201032,legend,패시브 2,50,5,25,3,물 빙하고룡,파편,4,power_rate,add,6,,,,,,,,,,,,,,,,,,
20103204,201032,legend,패시브 2,50,5,25,4,물 빙하고룡,파편,4,power_rate,add,6,,,,,,,,,,,,,,,,,,
20103205,201032,legend,패시브 2,50,5,25,5,물 빙하고룡,파편,4,power_rate,add,6,,,,,,,,,,,,,,,,,,
20101401,201014,legend,드래그 스킬,40,10,20,1,빛 빙하고룡,냉동빔,4,,,,,,,,,,,,,,,,,,,,,
20101402,201014,legend,드래그 스킬,40,10,20,2,빛 빙하고룡,냉동빔,4,power_rate,add,5,,,,,,,,,,,,,,,,,,
20101403,201014,legend,드래그 스킬,40,10,20,3,빛 빙하고룡,냉동빔,4,power_rate,add,5,,,,,,,,,,,,,,,,,,
20101404,201014,legend,드래그 스킬,40,10,20,4,빛 빙하고룡,냉동빔,4,power_rate,add,5,,,,,,,,,,,,,,,,,,
20101405,201014,legend,드래그 스킬,40,10,20,5,빛 빙하고룡,냉동빔,4,power_rate,add,5,,,,,,,,,,,,,,,,,,
20102401,201024,legend,패시브 1,,1,,1,빛 빙하고룡,찬란한 고드름,0,,,,,,,,,,,,,,,,,,,,,
20102402,201024,legend,패시브 1,,1,,2,빛 빙하고룡,찬란한 고드름,0,chance_value,add,2,,,,,,,,,,,,,,,,,,
20102403,201024,legend,패시브 1,,1,,3,빛 빙하고룡,찬란한 고드름,0,chance_value,add,2,,,,,,,,,,,,,,,,,,
20102404,201024,legend,패시브 1,,1,,4,빛 빙하고룡,찬란한 고드름,0,chance_value,add,3,,,,,,,,,,,,,,,,,,
20102405,201024,legend,패시브 1,,1,,5,빛 빙하고룡,찬란한 고드름,0,chance_value,add,3,,,,,,,,,,,,,,,,,,
20103401,201034,legend,패시브 2,,1,,1,빛 빙하고룡,파편,0,,,,,,,,,,,,,,,,,,,,,
20103402,201034,legend,패시브 2,,1,,2,빛 빙하고룡,파편,0,add_option_value_1,add,10,,,,,,,,,,,,,,,,,,
20103403,201034,legend,패시브 2,,1,,3,빛 빙하고룡,파편,0,add_option_time_1,add,1,,,,,,,,,,,,,,,,,,
20103404,201034,legend,패시브 2,,1,,4,빛 빙하고룡,파편,0,add_option_value_1,add,10,,,,,,,,,,,,,,,,,,
20103405,201034,legend,패시브 2,,1,,5,빛 빙하고룡,파편,0,add_option_time_1,add,2,,,,,,,,,,,,,,,,,,
20101501,201015,legend,드래그 스킬,40,10,20,1,어둠 빙하고룡,냉동빔,4,,,,,,,,,,,,,,,,,,,,,
20101502,201015,legend,드래그 스킬,40,10,20,2,어둠 빙하고룡,냉동빔,4,power_rate,add,5,,,,,,,,,,,,,,,,,,
20101503,201015,legend,드래그 스킬,40,10,20,3,어둠 빙하고룡,냉동빔,4,power_rate,add,5,,,,,,,,,,,,,,,,,,
20101504,201015,legend,드래그 스킬,40,10,20,4,어둠 빙하고룡,냉동빔,4,power_rate,add,5,,,,,,,,,,,,,,,,,,
20101505,201015,legend,드래그 스킬,40,10,20,5,어둠 빙하고룡,냉동빔,4,power_rate,add,5,,,,,,,,,,,,,,,,,,
20102501,201025,legend,패시브 1,,1,,1,어둠 빙하고룡,어둠 고드름,0,,,,,,,,,,,,,,,,,,,,,
20102502,201025,legend,패시브 1,,1,,2,어둠 빙하고룡,어둠 고드름,0,add_option_value_1,add,5,,,,,,,,,,,,,,,,,,
20102503,201025,legend,패시브 1,,1,,3,어둠 빙하고룡,어둠 고드름,0,add_option_value_1,add,5,,,,,,,,,,,,,,,,,,
20102504,201025,legend,패시브 1,,1,,4,어둠 빙하고룡,어둠 고드름,0,add_option_value_1,add,7,,,,,,,,,,,,,,,,,,
20102505,201025,legend,패시브 1,,1,,5,어둠 빙하고룡,어둠 고드름,0,add_option_value_1,add,8,,,,,,,,,,,,,,,,,,
20103501,201035,legend,패시브 2,,1,,1,어둠 빙하고룡,파편,0,,,,,,,,,,,,,,,,,,,,,
20103502,201035,legend,패시브 2,,1,,2,어둠 빙하고룡,파편,0,target_count,add,1,,,,,,,,,,,,,,,,,,
20103503,201035,legend,패시브 2,,1,,3,어둠 빙하고룡,파편,0,add_option_value_1,add,1,,,,,,,,,,,,,,,,,,
20103504,201035,legend,패시브 2,,1,,4,어둠 빙하고룡,파편,0,target_count,add,1,,,,,,,,,,,,,,,,,,
20103505,201035,legend,패시브 2,,1,,5,어둠 빙하고룡,파편,0,add_option_value_1,add,1,,,,,,,,,,,,,,,,,,
20041101,200411,hero,드래그 스킬,350,1,175,1,땅 오르페우스,분노의 질주,4,,,,,,,,,,,,,,,,,,,,,
20041102,200411,hero,드래그 스킬,350,1,175,2,땅 오르페우스,분노의 질주,4,power_rate,add,44,,,,,,,,,,,,,,,,,,
20041103,200411,hero,드래그 스킬,350,1,175,3,땅 오르페우스,분노의 질주,4,power_rate,add,44,,,,,,,,,,,,,,,,,,
20041104,200411,hero,드래그 스킬,350,1,175,4,땅 오르페우스,분노의 질주,4,power_rate,add,44,,,,,,,,,,,,,,,,,,
20041105,200411,hero,드래그 스킬,350,1,175,5,땅 오르페우스,분노의 질주,4,power_rate,add,44,,,,,,,,,,,,,,,,,,
20042101,200421,hero,패시브 1,50,2,25,1,땅 오르페우스,약점 포착,4,,,,,,,,,,,,,,,,,,,,,
20042102,200421,hero,패시브 1,50,2,25,2,땅 오르페우스,약점 포착,4,power_rate,add,6,,,,,,,,,,,,,,,,,,
20042103,200421,hero,패시브 1,50,2,25,3,땅 오르페우스,약점 포착,4,power_rate,add,6,,,,,,,,,,,,,,,,,,
20042104,200421,hero,패시브 1,50,2,25,4,땅 오르페우스,약점 포착,4,power_rate,add,6,,,,,,,,,,,,,,,,,,
20042105,200421,hero,패시브 1,50,2,25,5,땅 오르페우스,약점 포착,4,power_rate,add,6,,,,,,,,,,,,,,,,,,
20043101,200431,hero,패시브 2,,1,,1,땅 오르페우스,공격력 증가,0,,,,,,,,,,,,,,,,,,,,,
20043102,200431,hero,패시브 2,,1,,2,땅 오르페우스,공격력 증가,0,add_option_value_1,add,5,,,,,,,,,,,,,,,,,,
20043103,200431,hero,패시브 2,,1,,3,땅 오르페우스,공격력 증가,0,add_option_value_1,add,5,,,,,,,,,,,,,,,,,,
20043104,200431,hero,패시브 2,,1,,4,땅 오르페우스,공격력 증가,0,add_option_value_1,add,5,,,,,,,,,,,,,,,,,,
20043105,200431,hero,패시브 2,,1,,5,땅 오르페우스,공격력 증가,0,add_option_value_1,add,5,,,,,,,,,,,,,,,,,,
20041201,200412,hero,드래그 스킬,350,1,175,1,물 오르페우스,분노의 질주,4,,,,,,,,,,,,,,,,,,,,,
20041202,200412,hero,드래그 스킬,350,1,175,2,물 오르페우스,분노의 질주,4,power_rate,add,44,,,,,,,,,,,,,,,,,,
20041203,200412,hero,드래그 스킬,350,1,175,3,물 오르페우스,분노의 질주,4,power_rate,add,44,,,,,,,,,,,,,,,,,,
20041204,200412,hero,드래그 스킬,350,1,175,4,물 오르페우스,분노의 질주,4,power_rate,add,44,,,,,,,,,,,,,,,,,,
20041205,200412,hero,드래그 스킬,350,1,175,5,물 오르페우스,분노의 질주,4,power_rate,add,44,,,,,,,,,,,,,,,,,,
20042201,200422,hero,패시브 1,100,2,50,1,물 오르페우스,약점 포착,4,,,,,,,,,,,,,,,,,,,,,
20042202,200422,hero,패시브 1,100,2,50,2,물 오르페우스,약점 포착,4,power_rate,add,13,,,,,,,,,,,,,,,,,,
20042203,200422,hero,패시브 1,100,2,50,3,물 오르페우스,약점 포착,4,power_rate,add,13,,,,,,,,,,,,,,,,,,
20042204,200422,hero,패시브 1,100,2,50,4,물 오르페우스,약점 포착,4,power_rate,add,13,,,,,,,,,,,,,,,,,,
20042205,200422,hero,패시브 1,100,2,50,5,물 오르페우스,약점 포착,4,power_rate,add,13,,,,,,,,,,,,,,,,,,
20043201,200432,hero,스탯 강화,,1,,1,물 오르페우스,공격력 증가,0,,,,,,,,,,,,,,,,,,,,,
20043202,200432,hero,스탯 강화,,1,,2,물 오르페우스,공격력 증가,0,add_option_value_1,add,2,,,,,,,,,,,,,,,,,,
20043203,200432,hero,스탯 강화,,1,,3,물 오르페우스,공격력 증가,0,add_option_value_1,add,2,,,,,,,,,,,,,,,,,,
20043204,200432,hero,스탯 강화,,1,,4,물 오르페우스,공격력 증가,0,add_option_value_1,add,2,,,,,,,,,,,,,,,,,,
20043205,200432,hero,스탯 강화,,1,,5,물 오르페우스,공격력 증가,0,add_option_value_1,add,2,,,,,,,,,,,,,,,,,,
20041301,200413,hero,드래그 스킬,350,1,175,1,불 오르페우스,분노의 질주,4,,,,,,,,,,,,,,,,,,,,,
20041302,200413,hero,드래그 스킬,350,1,175,2,불 오르페우스,분노의 질주,4,power_rate,add,44,,,,,,,,,,,,,,,,,,
20041303,200413,hero,드래그 스킬,350,1,175,3,불 오르페우스,분노의 질주,4,power_rate,add,44,,,,,,,,,,,,,,,,,,
20041304,200413,hero,드래그 스킬,350,1,175,4,불 오르페우스,분노의 질주,4,power_rate,add,44,,,,,,,,,,,,,,,,,,
20041305,200413,hero,드래그 스킬,350,1,175,5,불 오르페우스,분노의 질주,4,power_rate,add,44,,,,,,,,,,,,,,,,,,
20042301,200423,hero,패시브 1,20,3,10,1,불 오르페우스,약점 포착,4,,,,,,,,,,,,,,,,,,,,,
20042302,200423,hero,패시브 1,20,3,10,2,불 오르페우스,약점 포착,4,power_rate,add,3,,,,,,,,,,,,,,,,,,
20042303,200423,hero,패시브 1,20,3,10,3,불 오르페우스,약점 포착,4,power_rate,add,3,,,,,,,,,,,,,,,,,,
20042304,200423,hero,패시브 1,20,3,10,4,불 오르페우스,약점 포착,4,power_rate,add,3,,,,,,,,,,,,,,,,,,
20042305,200423,hero,패시브 1,20,3,10,5,불 오르페우스,약점 포착,4,power_rate,add,3,,,,,,,,,,,,,,,,,,
20043301,200433,hero,패시브 2,10,1,5,1,불 오르페우스,회복,4,,,,,,,,,,,,,,,,,,,,,
20043302,200433,hero,패시브 2,10,1,5,2,불 오르페우스,회복,4,power_rate,add,1,,,,,,,,,,,,,,,,,,
20043303,200433,hero,패시브 2,10,1,5,3,불 오르페우스,회복,4,power_rate,add,1,,,,,,,,,,,,,,,,,,
20043304,200433,hero,패시브 2,10,1,5,4,불 오르페우스,회복,4,power_rate,add,1,,,,,,,,,,,,,,,,,,
20043305,200433,hero,패시브 2,10,1,5,5,불 오르페우스,회복,4,power_rate,add,1,,,,,,,,,,,,,,,,,,
20041501,200415,hero,드래그 스킬,350,1,175,1,어둠 오르페우스,분노의 질주,4,,,,,,,,,,,,,,,,,,,,,
20041502,200415,hero,드래그 스킬,350,1,175,2,어둠 오르페우스,분노의 질주,4,power_rate,add,44,,,,,,,,,,,,,,,,,,
20041503,200415,hero,드래그 스킬,350,1,175,3,어둠 오르페우스,분노의 질주,4,power_rate,add,44,,,,,,,,,,,,,,,,,,
20041504,200415,hero,드래그 스킬,350,1,175,4,어둠 오르페우스,분노의 질주,4,power_rate,add,44,,,,,,,,,,,,,,,,,,
20041505,200415,hero,드래그 스킬,350,1,175,5,어둠 오르페우스,분노의 질주,4,power_rate,add,44,,,,,,,,,,,,,,,,,,
20042501,200425,hero,패시브 1,50,5,25,1,어둠 오르페우스,약점 포착,4,,,,,,,,,,,,,,,,,,,,,
