stage,t_name,r_difficult,mode,r_chapter_info,r_stage_info,attr,level,hp_ratio,cost_type,cost_value,time_limit,wave,r_dragon_exp2,dragon_exp,r_dragon_exp,tamer_exp,gold_min,gold_max,gph,gpd,gpl,mission_01,mission_02,mission_03,item_1_id,item_1_min,item_1_max,item_1_rate,item_2_id,item_2_min,item_2_max,item_2_rate,item_3_id,item_3_min,item_3_max,item_3_rate,buff_user,buff_enemy,t_help
1120306,,hard,adv,3,6,earth,204,1,st,16,120,3,32700,11186,6540,156,1500,1800,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710763,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;atk_multi;50,몬스터의 공격력이 높습니다.
1120307,,hard,adv,3,7,earth,205,1,st,17,120,3,32850,11186,6570,158,1500,1800,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",720713,1,1,0.8,703016,1,1,0.01,700201,1,1,0.3,,all;0;atk_multi;50,몬스터의 공격력이 높습니다.
1120401,,hard,adv,4,1,fire,208,1,st,17,120,3,33050,11220,6610,160,1600,1900,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710613,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;cri_dmg_multi;50,몬스터의 치명 피해량이 높습니다.
1120402,,hard,adv,4,2,fire,208,1,st,17,120,3,33250,11220,6650,162,1600,1900,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710623,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;cri_dmg_multi;50,몬스터의 치명 피해량이 높습니다.
1120403,,hard,adv,4,3,fire,209,1,st,17,120,3,33450,11220,6690,164,1600,1900,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710633,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;cri_dmg_multi;50,몬스터의 치명 피해량이 높습니다.
1120404,,hard,adv,4,4,fire,209,1,st,17,120,3,33650,11220,6730,166,1600,1900,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710643,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;cri_dmg_multi;50,몬스터의 치명 피해량이 높습니다.
1120405,,hard,adv,4,5,fire,210,1,st,17,120,3,33850,11916,6770,168,1600,1900,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710653,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;cri_dmg_multi;50,몬스터의 치명 피해량이 높습니다.
1120406,,hard,adv,4,6,fire,210,1,st,17,120,3,34050,11916,6810,170,1600,1900,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710663,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;cri_dmg_multi;50,몬스터의 치명 피해량이 높습니다.
1120407,,hard,adv,4,7,fire,211,1,st,18,120,3,34250,11916,6850,172,1600,1900,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",720613,1,1,0.8,703016,1,1,0.01,700201,1,1,0.3,,all;0;cri_dmg_multi;50,몬스터의 치명 피해량이 높습니다.
1120501,,hard,adv,5,1,light,237,1,st,18,120,3,34500,11952,6900,174,1700,2000,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710413,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;avoid_multi;50,몬스터의 회피가 높습니다.
1120502,,hard,adv,5,2,light,237,1,st,18,120,3,34750,11952,6950,176,1700,2000,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710423,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;avoid_multi;50,몬스터의 회피가 높습니다.
1120503,,hard,adv,5,3,light,238,1,st,18,120,3,35000,11952,7000,178,1700,2000,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710433,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;avoid_multi;50,몬스터의 회피가 높습니다.
1120504,,hard,adv,5,4,light,238,1,st,18,120,3,35250,11952,7050,180,1700,2000,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710443,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;avoid_multi;50,몬스터의 회피가 높습니다.
1120505,,hard,adv,5,5,light,239,1,st,18,120,3,35500,12654,7100,182,1700,2000,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710453,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;avoid_multi;50,몬스터의 회피가 높습니다.
1120506,,hard,adv,5,6,light,239,1,st,18,120,3,35750,12654,7150,184,1700,2000,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710463,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;avoid_multi;50,몬스터의 회피가 높습니다.
1120507,,hard,adv,5,7,light,240,1,st,19,120,3,36000,12654,7200,186,1700,2000,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",720413,1,1,0.8,703016,1,1,0.01,700201,1,1,0.3,,all;0;avoid_multi;50,몬스터의 회피가 높습니다.
1120601,,hard,adv,6,1,dark,243,1,st,19,120,3,36300,12692,7260,188,1800,2100,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710313,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;cri_chance_multi;50,몬스터의 치명 확률이 높습니다.
1120602,,hard,adv,6,2,dark,243,1,st,19,120,3,36600,12692,7320,190,1800,2100,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710323,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;cri_chance_multi;50,몬스터의 치명 확률이 높습니다.
1120603,,hard,adv,6,3,dark,244,1,st,19,120,3,36900,12692,7380,192,1800,2100,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710333,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;cri_chance_multi;50,몬스터의 치명 확률이 높습니다.
1120604,,hard,adv,6,4,dark,244,1,st,19,120,3,37200,12692,7440,194,1800,2100,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710343,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;cri_chance_multi;50,몬스터의 치명 확률이 높습니다.
1120605,,hard,adv,6,5,dark,245,1,st,19,120,3,37500,13400,7500,196,1800,2100,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710353,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;cri_chance_multi;50,몬스터의 치명 확률이 높습니다.
1120606,,hard,adv,6,6,dark,245,1,st,19,120,3,37800,13400,7560,198,1800,2100,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710363,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;cri_chance_multi;50,몬스터의 치명 확률이 높습니다.
1120607,,hard,adv,6,7,dark,246,1,st,20,120,3,38100,13400,7620,200,1800,2100,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",720313,1,1,0.8,703016,1,1,0.01,700201,1,1,0.3,,all;0;cri_chance_multi;50,몬스터의 치명 확률이 높습니다.
1120701,,hard,adv,7,1,dark,272,1,st,20,120,3,38450,13440,7690,202,1900,2200,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710114,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;hp_multi;100,몬스터의 체력이 매우 높습니다.
1120702,,hard,adv,7,2,dark,272,1,st,20,120,3,38800,13440,7760,204,1900,2200,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710124,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;hp_multi;100,몬스터의 체력이 매우 높습니다.
1120703,,hard,adv,7,3,dark,273,1,st,20,120,3,39150,13440,7830,206,1900,2200,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710134,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;hp_multi;100,몬스터의 체력이 매우 높습니다.
1120704,,hard,adv,7,4,dark,273,1,st,20,120,3,39500,13440,7900,208,1900,2200,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710144,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;hp_multi;100,몬스터의 체력이 매우 높습니다.
1120705,,hard,adv,7,5,dark,274,1,st,20,120,3,39850,14154,7970,210,1900,2200,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710154,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;hp_multi;100,몬스터의 체력이 매우 높습니다.
1120706,,hard,adv,7,6,dark,274,1,st,20,120,3,40200,14154,8040,212,1900,2200,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710164,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;hp_multi;100,몬스터의 체력이 매우 높습니다.
1120707,,hard,adv,7,7,dark,275,1,st,21,120,3,40550,14154,8110,214,1900,2200,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",720114,1,1,0.8,703016,1,1,0.01,700201,1,1,0.3,,all;0;hp_multi;100,몬스터의 체력이 매우 높습니다.
1120801,,hard,adv,8,1,dark,278,1,st,21,120,3,40950,14196,8190,216,2000,2300,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710214,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;def_multi;100,몬스터의 방어력이 매우 높습니다.
1120802,,hard,adv,8,2,dark,278,1,st,21,120,3,41350,14196,8270,218,2000,2300,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710224,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;def_multi;100,몬스터의 방어력이 매우 높습니다.
1120803,,hard,adv,8,3,dark,279,1,st,21,120,3,41750,14196,8350,220,2000,2300,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710234,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;def_multi;100,몬스터의 방어력이 매우 높습니다.
1120804,,hard,adv,8,4,dark,279,1,st,21,120,3,42150,14196,8430,222,2000,2300,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710244,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;def_multi;100,몬스터의 방어력이 매우 높습니다.
1120805,,hard,adv,8,5,dark,280,1,st,21,120,3,42550,14916,8510,224,2000,2300,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710254,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;def_multi;100,몬스터의 방어력이 매우 높습니다.
1120806,,hard,adv,8,6,dark,280,1,st,21,120,3,42950,14916,8590,226,2000,2300,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710264,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;def_multi;100,몬스터의 방어력이 매우 높습니다.
1120807,,hard,adv,8,7,dark,281,1,st,22,120,3,43350,14916,8670,228,2000,2300,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",720214,1,1,0.8,703016,1,1,0.01,700201,1,1,0.3,,all;0;def_multi;100,몬스터의 방어력이 매우 높습니다.
1120901,,hard,adv,9,1,dark,307,1,st,22,120,3,43800,14960,8760,230,2100,2400,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710714,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;atk_multi;100,몬스터의 공격력이 매우 높습니다.
1120902,,hard,adv,9,2,dark,307,1,st,22,120,3,44250,14960,8850,232,2100,2400,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710724,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;atk_multi;100,몬스터의 공격력이 매우 높습니다.
1120903,,hard,adv,9,3,dark,308,1,st,22,120,3,44700,14960,8940,234,2100,2400,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710734,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;atk_multi;100,몬스터의 공격력이 매우 높습니다.
1120904,,hard,adv,9,4,dark,308,1,st,22,120,3,45150,14960,9030,236,2100,2400,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710744,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;atk_multi;100,몬스터의 공격력이 매우 높습니다.
1120905,,hard,adv,9,5,dark,309,1,st,22,120,3,45600,15686,9120,238,2100,2400,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710754,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;atk_multi;100,몬스터의 공격력이 매우 높습니다.
1120906,,hard,adv,9,6,dark,309,1,st,22,120,3,46050,15686,9210,240,2100,2400,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710764,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;atk_multi;100,몬스터의 공격력이 매우 높습니다.
1120907,,hard,adv,9,7,dark,310,1,st,23,120,3,46500,15686,9300,242,2100,2400,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",720714,1,1,0.8,703016,1,1,0.01,700201,1,1,0.3,,all;0;atk_multi;100,몬스터의 공격력이 매우 높습니다.
1121001,,hard,adv,10,1,dark,313,1,st,23,120,3,47000,15732,9400,244,2200,2500,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710614,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;cri_dmg_multi;100,몬스터의 치명 피해량이 매우 높습니다.
1121002,,hard,adv,10,2,dark,313,1,st,23,120,3,47500,15732,9500,246,2200,2500,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710624,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;cri_dmg_multi;100,몬스터의 치명 피해량이 매우 높습니다.
1121003,,hard,adv,10,3,dark,314,1,st,23,120,3,48000,15732,9600,248,2200,2500,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710634,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;cri_dmg_multi;100,몬스터의 치명 피해량이 매우 높습니다.
1121004,,hard,adv,10,4,dark,314,1,st,23,120,3,48500,15732,9700,250,2200,2500,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710644,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;cri_dmg_multi;100,몬스터의 치명 피해량이 매우 높습니다.
1121005,,hard,adv,10,5,dark,315,1,st,23,120,3,49000,16464,9800,253,2200,2500,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710654,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;cri_dmg_multi;100,몬스터의 치명 피해량이 매우 높습니다.
1121006,,hard,adv,10,6,dark,315,1,st,23,120,3,49500,16464,9900,256,2200,2500,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710664,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;cri_dmg_multi;100,몬스터의 치명 피해량이 매우 높습니다.
1121007,,hard,adv,10,7,dark,316,1,st,24,120,3,50000,16464,10000,259,2200,2500,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",720614,1,1,0.8,703016,1,1,0.01,700201,1,1,0.3,,all;0;cri_dmg_multi;100,몬스터의 치명 피해량이 매우 높습니다.
1121101,,hard,adv,11,1,dark,342,1,st,24,120,3,50550,16512,10110,262,2300,2600,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710414,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;avoid_multi;100,몬스터의 회피가 매우 높습니다.
1121102,,hard,adv,11,2,dark,342,1,st,24,120,3,51100,16512,10220,265,2300,2600,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710424,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;avoid_multi;100,몬스터의 회피가 매우 높습니다.
1121103,,hard,adv,11,3,dark,343,1,st,24,120,3,51650,16512,10330,268,2300,2600,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710434,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;avoid_multi;100,몬스터의 회피가 매우 높습니다.
1121104,,hard,adv,11,4,dark,343,1,st,24,120,3,52200,16512,10440,271,2300,2600,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710444,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;avoid_multi;100,몬스터의 회피가 매우 높습니다.
1121105,,hard,adv,11,5,dark,344,1,st,24,120,3,52750,17250,10550,274,2300,2600,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710454,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;avoid_multi;100,몬스터의 회피가 매우 높습니다.
1121106,,hard,adv,11,6,dark,344,1,st,24,120,3,53300,17250,10660,277,2300,2600,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710464,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;avoid_multi;100,몬스터의 회피가 매우 높습니다.
1121107,,hard,adv,11,7,dark,345,1,st,25,120,3,53850,17250,10770,280,2300,2600,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",720414,1,1,0.8,703016,1,1,0.01,700201,1,1,0.3,,all;0;avoid_multi;100,몬스터의 회피가 매우 높습니다.
1121201,,hard,adv,12,1,dark,348,1,st,25,120,3,54450,17300,10890,283,2400,2700,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710314,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;cri_chance_multi;100,몬스터의 치명 확률이 매우 높습니다.
1121202,,hard,adv,12,2,dark,348,1,st,25,120,3,55050,17300,11010,286,2400,2700,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710324,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;cri_chance_multi;100,몬스터의 치명 확률이 매우 높습니다.
1121203,,hard,adv,12,3,dark,349,1,st,25,120,3,55650,17300,11130,289,2400,2700,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710334,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;cri_chance_multi;100,몬스터의 치명 확률이 매우 높습니다.
1121204,,hard,adv,12,4,dark,349,1,st,25,120,3,56250,17300,11250,292,2400,2700,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710344,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;cri_chance_multi;100,몬스터의 치명 확률이 매우 높습니다.
1121205,,hard,adv,12,5,dark,350,1,st,25,120,3,56850,18044,11370,295,2400,2700,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710354,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;cri_chance_multi;100,몬스터의 치명 확률이 매우 높습니다.
1121206,,hard,adv,12,6,dark,350,1,st,25,120,3,57450,18044,11490,298,2400,2700,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710364,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,all;0;cri_chance_multi;100,몬스터의 치명 확률이 매우 높습니다.
1121207,,hard,adv,12,7,dark,351,1,st,26,120,3,58050,18044,11610,301,2400,2700,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",720314,1,1,0.8,703016,1,1,0.01,700201,1,1,0.3,,all;0;cri_chance_multi;100,몬스터의 치명 확률이 매우 높습니다.
1210001,보석 던전,nest,d_common,dragon,1,light,34,1,st,6,120,1,4500,2424,900,63,200,500,0,0,0,,,,701011,1,2,1,,,,,,,,,,,
1210002,보석 던전,nest,d_common,dragon,2,light,61,1,st,6,120,1,6950,3684,1390,77,400,700,0,0,0,,,,701011,2,3,1,701012,1,1,0.5,,,,,,,
1210003,보석 던전,nest,d_common,dragon,3,light,75,1,st,7,120,1,10800,4976,2160,91,600,900,0,0,0,,,,701011,3,4,1,701012,1,2,1,701013,1,2,0.5,,,
1210004,보석 던전,nest,d_common,dragon,4,light,100,1,st,7,120,1,16050,6300,3210,105,800,1100,0,0,0,,,,701012,2,4,1,701013,1,2,0.5,,,,,,,
1210005,보석 던전,nest,d_common,dragon,5,light,127,1,st,8,120,1,22700,7656,4540,119,1000,1300,0,0,0,,,,701012,3,5,1,701013,2,4,1,701014,1,2,0.5,,,
1210006,보석 던전,nest,d_common,dragon,6,light,141,1,st,8,120,1,30750,9044,6150,133,1200,1500,0,0,0,,,,701013,3,5,1,701014,2,4,1,,,,,,,
1210101,땅의 거대용,nest,d_earth,dragon,1,earth,34,1,st,6,120,3,4500,2424,900,63,200,500,0,0,0,,,,701111,1,2,1,,,,,,,,,attr;fire;atk_multi;10,attr;earth;def_multi;25,불 속성 아군의 공격력이 증가합니다.\\n 땅 속성 적군의 방어력이 증가합니다.
1210102,땅의 거대용,nest,d_earth,dragon,2,earth,61,1,st,6,120,3,6950,3684,1390,77,400,700,0,0,0,,,,701111,2,3,1,701112,1,1,0.5,,,,,attr;fire;atk_multi;12,attr;earth;def_multi;27,불 속성 아군의 공격력이 증가합니다.\\n 땅 속성 적군의 방어력이 증가합니다.
1210103,땅의 거대용,nest,d_earth,dragon,3,earth,75,1,st,7,120,3,10800,4976,2160,91,600,900,0,0,0,,,,701111,3,4,1,701112,1,2,1,701113,1,2,0.5,attr;fire;atk_multi;14,attr;earth;def_multi;29,불 속성 아군의 공격력이 증가합니다.\\n 땅 속성 적군의 방어력이 증가합니다.
1210104,땅의 거대용,nest,d_earth,dragon,4,earth,100,1,st,7,120,3,16050,6300,3210,105,800,1100,0,0,0,,,,701112,2,4,1,701113,1,2,0.5,,,,,attr;fire;atk_multi;16,attr;earth;def_multi;31,불 속성 아군의 공격력이 증가합니다.\\n 땅 속성 적군의 방어력이 증가합니다.
1210105,땅의 거대용,nest,d_earth,dragon,5,earth,127,1,st,8,120,3,22700,7656,4540,119,1000,1300,0,0,0,,,,701112,3,5,1,701113,2,4,1,701114,1,2,0.5,attr;fire;atk_multi;18,attr;earth;def_multi;33,불 속성 아군의 공격력이 증가합니다.\\n 땅 속성 적군의 방어력이 증가합니다.
1210106,땅의 거대용,nest,d_earth,dragon,6,earth,141,1,st,8,120,3,30750,9044,6150,133,1200,1500,0,0,0,,,,701113,3,5,1,701114,2,4,1,,,,,attr;fire;atk_multi;20,attr;earth;def_multi;35,불 속성 아군의 공격력이 증가합니다.\\n 땅 속성 적군의 방어력이 증가합니다.
1210201,물의 거대용,nest,d_water,dragon,1,water,34,1,st,6,120,3,4500,2424,900,63,200,500,0,0,0,,,,701121,1,2,1,,,,,,,,,attr;earth;cri_dmg_multi;25,attr;water;hp_multi;25,땅 속성 아군의 치명피해가 증가합니다.\\n 물 속성 적군의 최대 생명력이 증가합니다.
1210202,물의 거대용,nest,d_water,dragon,2,water,61,1,st,6,120,3,6950,3684,1390,77,400,700,0,0,0,,,,701121,2,3,1,701122,1,1,0.5,,,,,attr;earth;cri_dmg_multi;27,attr;water;hp_multi;27,땅 속성 아군의 치명피해가 증가합니다.\\n 물 속성 적군의 최대 생명력이 증가합니다.
1210203,물의 거대용,nest,d_water,dragon,3,water,75,1,st,7,120,3,10800,4976,2160,91,600,900,0,0,0,,,,701121,3,4,1,701122,1,2,1,701123,1,2,0.5,attr;earth;cri_dmg_multi;29,attr;water;hp_multi;29,땅 속성 아군의 치명피해가 증가합니다.\\n 물 속성 적군의 최대 생명력이 증가합니다.
1210204,물의 거대용,nest,d_water,dragon,4,water,100,1,st,7,120,3,16050,6300,3210,105,800,1100,0,0,0,,,,701122,2,4,1,701123,1,2,0.5,,,,,attr;earth;cri_dmg_multi;31,attr;water;hp_multi;31,땅 속성 아군의 치명피해가 증가합니다.\\n 물 속성 적군의 최대 생명력이 증가합니다.
1210205,물의 거대용,nest,d_water,dragon,5,water,127,1,st,8,120,3,22700,7656,4540,119,1000,1300,0,0,0,,,,701122,3,5,1,701123,2,4,1,701124,1,2,0.5,attr;earth;cri_dmg_multi;33,attr;water;hp_multi;33,땅 속성 아군의 치명피해가 증가합니다.\\n 물 속성 적군의 최대 생명력이 증가합니다.
1210206,물의 거대용,nest,d_water,dragon,6,water,141,1,st,8,120,3,30750,9044,6150,133,1200,1500,0,0,0,,,,701123,3,5,1,701124,2,4,1,,,,,attr;earth;cri_dmg_multi;35,attr;water;hp_multi;35,땅 속성 아군의 치명피해가 증가합니다.\\n 물 속성 적군의 최대 생명력이 증가합니다.
1210301,불의 거대용,nest,d_fire,dragon,1,fire,34,1,st,6,120,3,4500,2424,900,63,200,500,0,0,0,,,,701131,1,2,1,,,,,,,,,attr;water;def_multi;20,attr;fire;cri_chance_add;5,물 속성 아군의 방어력이 증가합니다.\\n 불 속성 적군의 치명확률이 증가합니다.
1210302,불의 거대용,nest,d_fire,dragon,2,fire,61,1,st,6,120,3,6950,3684,1390,77,400,700,0,0,0,,,,701131,2,3,1,701132,1,1,0.5,,,,,attr;water;def_multi;22,attr;fire;cri_chance_add;6,물 속성 아군의 방어력이 증가합니다.\\n 불 속성 적군의 치명확률이 증가합니다.
1210303,불의 거대용,nest,d_fire,dragon,3,fire,75,1,st,7,120,3,10800,4976,2160,91,600,900,0,0,0,,,,701131,3,4,1,701132,1,2,1,701133,1,2,0.5,attr;water;def_multi;24,attr;fire;cri_chance_add;7,물 속성 아군의 방어력이 증가합니다.\\n 불 속성 적군의 치명확률이 증가합니다.
1210304,불의 거대용,nest,d_fire,dragon,4,fire,100,1,st,7,120,3,16050,6300,3210,105,800,1100,0,0,0,,,,701132,2,4,1,701133,1,2,0.5,,,,,attr;water;def_multi;26,attr;fire;cri_chance_add;8,물 속성 아군의 방어력이 증가합니다.\\n 불 속성 적군의 치명확률이 증가합니다.
1210305,불의 거대용,nest,d_fire,dragon,5,fire,127,1,st,8,120,3,22700,7656,4540,119,1000,1300,0,0,0,,,,701132,3,5,1,701133,2,4,1,701134,1,2,0.5,attr;water;def_multi;28,attr;fire;cri_chance_add;9,물 속성 아군의 방어력이 증가합니다.\\n 불 속성 적군의 치명확률이 증가합니다.
1210306,불의 거대용,nest,d_fire,dragon,6,fire,141,1,st,8,120,3,30750,9044,6150,133,1200,1500,0,0,0,,,,701133,3,5,1,701134,2,4,1,,,,,attr;water;def_multi;30,attr;fire;cri_chance_add;10,물 속성 아군의 방어력이 증가합니다.\\n 불 속성 적군의 치명확률이 증가합니다.
1210401,빛의 거대용,nest,d_light,dragon,1,light,34,1,st,6,120,3,4500,2424,900,63,200,500,0,0,0,,,,701141,1,2,1,,,,,,,,,attr;dark;hit_rate_add;-10,attr;light;resistance_add;30,어둠 속성 아군의 명중이 감소합니다.\\n 빛 속성 적군의 효과 저항이 증가합니다.
1210402,빛의 거대용,nest,d_light,dragon,2,light,61,1,st,6,120,3,6950,3684,1390,77,400,700,0,0,0,,,,701141,2,3,1,701142,1,1,0.5,,,,,attr;dark;hit_rate_add;-10,attr;light;resistance_add;30,어둠 속성 아군의 명중이 감소합니다.\\n 빛 속성 적군의 효과 저항이 증가합니다.
1210403,빛의 거대용,nest,d_light,dragon,3,light,75,1,st,7,120,3,10800,4976,2160,91,600,900,0,0,0,,,,701141,3,4,1,701142,1,2,1,701143,1,2,0.5,attr;dark;hit_rate_add;-10,attr;light;resistance_add;30,어둠 속성 아군의 명중이 감소합니다.\\n 빛 속성 적군의 효과 저항이 증가합니다.
1210404,빛의 거대용,nest,d_light,dragon,4,light,100,1,st,7,120,3,16050,6300,3210,105,800,1100,0,0,0,,,,701142,2,4,1,701143,1,2,0.5,,,,,attr;dark;hit_rate_add;-10,attr;light;resistance_add;30,어둠 속성 아군의 명중이 감소합니다.\\n 빛 속성 적군의 효과 저항이 증가합니다.
1210405,빛의 거대용,nest,d_light,dragon,5,light,127,1,st,8,120,3,22700,7656,4540,119,1000,1300,0,0,0,,,,701142,3,5,1,701143,2,4,1,701144,1,2,0.5,attr;dark;hit_rate_add;-10,attr;light;resistance_add;30,어둠 속성 아군의 명중이 감소합니다.\\n 빛 속성 적군의 효과 저항이 증가합니다.
