stage,monster_id,attr,t_desc,recomm_power,snro_start,snro_wave_2,snro_wave_3,snro_finish,r_level,r_power
1160301,310021; 310023; 311013; 311061; 312051,earth,,290659,,,,,204,47287
1160302,310013; 310021; 310023; 311061; 315191,earth,,302450,,,,,205,47524
1160303,310011; 310023; 311013; 311061; 312061,earth,,314418,,,,,206,47762
1160304,310043; 310051; 311013; 311061; 313021,earth,강력한 범위 공격 기술을 가지고 있어 \\n 아군의 체력을 잘 관리 해야 합니다.,302450,,,,,207,48000
1160305,310043; 311013; 311061; 311071; 312013,earth,,314418,,,,,208,48238
1160306,310013; 310051; 310053; 311013; 315273,earth,,326563,,,,,209,48476
1160307,310061; 311013; 311061; 311071; 314013,earth,강력한 범위 공격을 사용하고 자신의 체력이 낮아지면 \\n 스스로 잠이 들어 체력을 회복합니다.,338885,,,,,210,48714
1160401,310033; 310053; 311023; 311081; 312071,fire,,326563,,,,,211,48952
1160402,310043; 310052; 310053; 311033; 315043,fire,,338885,,,,,212,49191
1160403,310013; 310053; 311023; 311033; 312023,fire,,351385,,,,,213,49430
1160404,310042; 310053; 311033; 313022; 313031,fire,2명의 중간보스가 등장해 각각 공격과 방어를 담당합니다. \\n 빠르게 한 녀석을 제거하세요.,338885,,,,,214,49669
1160405,310052; 310063; 311042; 311081; 312081,fire,,351385,,,,,215,49908
1160406,310063; 311033; 311042; 311081; 315423,fire,,364062,,,,,216,50148
1160407,310062; 310063; 311033; 311081; 314023,fire,거미줄로 아군을 무력화 하고 \\n 지속피해 효과를 통해 아군을 공격합니다.,376916,,,,,217,50387
1160501,310014; 310044; 311014; 311043; 312014,light,,364062,,,,,218,50627
1160502,310054; 310064; 311043; 311052; 315112,light,,376916,,,,,219,50867
1160503,310054; 311043; 311052; 311111; 312052,light,,389947,,,,,220,51107
1160504,310041; 310043; 311014; 311111; 313014,light,중간보스가 후방까지 공격하는 기술을 사용합니다. \\n 아군을 잘 보호하세요.,376916,,,,,221,51348
1160505,311043; 311052; 311053; 311111; 312024,light,,389947,,,,,222,51588
1160506,311043; 311052; 311053; 311111; 315204,light,,403156,,,,,223,51829
1160507,311014; 311043; 311052; 311111; 314014,light,보스가 소유한 크리스탈의 색에 따라 \\n 기술의 효과가 변합니다.,416542,,,,,224,52070
1160601,310015; 310055; 311055; 312015,dark,,403156,,,,,225,52312
1160602,310025; 310034; 311055; 311073; 315325,dark,,416542,,,,,226,52553
1160603,310044; 310045; 311055; 311073; 312062,dark,,430106,,,,,227,52795
1160604,310055; 310065; 311055; 311073; 313015,dark,아군의 방어력을 낮추는 공격을 사용합니다.,416542,,,,,228,53036
1160605,310065; 311055; 311065; 311073; 312033,dark,,430106,,,,,229,53278
1160606,310055; 311055; 311065; 311073; 315395,dark,,443847,,,,,230,53521
1160607,310054; 310063; 311055; 311073; 314015,dark,전투시간이 길어질수록 보스가 강력해집니다.,457765,,,,,231,53763
1160701,310035; 311011; 311023; 311081; 312141,fire,,443847,,,,,232,54006
1160702,310053; 310055; 311011; 311021; 315371,fire,,457765,,,,,233,54248
1160703,311021; 311023; 311033; 311043; 312091,fire,,471860,,,,,234,54491
1160704,310052; 311011; 311033; 303042; 313061,fire,2명의 중간보스가 등장해 각각 공격과 방어를 담당합니다.\\n 빠르게 한 녀석을 제거하세요.,457765,,,,,235,54735
1160705,310041; 310065; 311011; 311042; 312101,fire,,471860,,,,,236,54978
1160706,311052; 311065; 311081; 311111; 315091,fire,,486133,,,,,237,55222
1160707,310063; 311023; 311033; 311081; 314043,fire,거미줄로 아군을 무력화 하고 \\n 지속피해 효과를 통해 아군을 공격합니다.,500583,,,,,238,55465
1160801,310022; 311033; 311042; 311061; 312121,earth,,486133,,,,,239,55709
1160802,310053; 311042; 311061; 311073; 315041,earth,,500583,,,,,240,55954
1160803,311052; 311061; 311071; 311081; 312043,earth,,515210,,,,,241,56198
1160804,311043; 311052; 311071; 311081; 313051,earth,중간보스가 강력한 범위 공격 기술을 구사합니다.\\n 아군의 체력을 잘 관리 해야 합니다.,500583,,,,,242,56443
1160805,311033; 311042; 311073; 311111; 312131,earth,,515210,,,,,243,56687
1160806,311033; 311052; 311071; 311111; 315021,earth,,530014,,,,,244,56932
1160807,311052; 311071; 311081; 311111; 314033,earth,보스가 강력한 범위 공격을 가합니다. 또한 체력이 낮아지면 \\n 스스로 잠이 들어 체력을 회복합니다.,544996,,,,,245,57177
1160901,310062; 311012; 311022; 311032; 312072,water,,530014,,,,,246,57423
1160902,310055; 310062; 311022; 311065; 315202,water,,544996,,,,,247,57668
1160903,310062; 311022; 311032; 311111; 312092,water,,560155,,,,,248,57914
1160904,311042; 311043; 311065; 311111; 313032,water,후방에 있는 상어전사의 지속피해 효과에 걸리면 \\n 짧은 순간에 큰 피해를 입을 수도 있습니다.,544996,,,,,249,58160
1160905,311032; 311052; 311065; 311111; 312082,water,,560155,,,,,250,58406
1160906,311012; 311022; 311043; 311065; 315422,water,,575492,,,,,251,58653
1160907,310055; 310062; 311012; 311022; 314022,water,보스의 생명력이 낮아지면 \\n 강력한 광포화 공격을 시도합니다.,591006,,,,,252,58899
1161001,310041; 310051; 311031; 311042; 312151,earth,,575492,,,,,253,59146
1161002,311042; 311052; 311061; 311111; 315161,earth,,591006,,,,,254,59393
1161003,310052; 311021; 311031; 311042; 312111,earth,,606697,,,,,255,59640
1161004,310064; 311011; 311031; 311081; 313041,earth,부하의 지속피해 피해를 조심해야 합니다.,591006,,,,,256,59887
1161005,310053; 311042; 311055; 311073; 312053,earth,,606697,,,,,257,60135
1161006,310053; 311011; 311021; 311111; 315193,earth,,622565,,,,,258,60383
1161007,311022; 311042; 311073; 311081; 314021,earth,아군에게 일정 확률로 지속피해 효과를 부여합니다. \\n 전투를 빠르게 끝내는 것이 좋습니다.,638611,,,,,259,60630
1161101,311052; 311053; 311065; 311111; 312034,light,,622565,,,,,260,60879
1161102,310055; 310064; 311052; 311053; 315223,light,,638611,,,,,261,61127
1161103,311043; 311052; 311081; 311111; 312112,light,,654834,,,,,262,61375
1161104,311042; 311043; 311052; 311111; 313024,light,중간보스가 후방까지 공격합니다. \\n 아군 보호에 유의하세요.,638611,,,,,263,61624
1161105,311053; 311081; 311111; 312024; 312044,light,,654834,,,,,264,61873
1161106,311043; 311053; 311055; 311111; 315294,light,,671234,,,,,265,62122
1161107,311052; 311053; 311065; 311111; 314024,light,보스가 가진 크리스탈의 색에 따라 \\n 기술의 효과가 변합니다.,687811,,,,,266,62371
1161201,310055; 311042; 311055; 311065; 312025,dark,,671234,,,,,267,62621
1161202,311052; 311053; 311065; 311073; 315011,dark,,687811,,,,,268,62871
1161203,310053; 311055; 311073; 311081; 312122,dark,,704566,,,,,269,63121
1161204,311033; 311042; 311043; 311052; 313025,dark,중간 보스가 아군의 방어력을 낮춥니다.\\n 생존에 신경쓰세요.,687811,,,,,270,63371
1161205,311033; 311042; 311053; 311065; 312063,dark,,704566,,,,,271,63621
1161206,311013; 311014; 311033; 311055; 315384,dark,,721498,,,,,272,63871
1161207,311032; 311033; 311042; 311053; 314025,dark,시간이 지날수록 보스가 강해집니다.\\n최대한 빨리 끝내는 것이 유리합니다.,738608,,,,,273,64122
1119801,139032; 139033; 139034,fire,로롤리가 숨겨놓은 {@yellow}달콤한 사탕{@default}을 조금 획득할 수 있다.,11038,,,,,40,11038
1129801,139035; 139036; 139037,dark,로롤리가 숨겨놓은 {@yellow}달콤한 사탕{@default}을 꽤 획득할 수 있다.,46340,,,,,200,46340
1139801,139038; 139039; 139040,earth,로롤리가 숨겨놓은 {@yellow}달콤한 사탕{@default}을 많이 획득할 수 있다.,126125,,,,,500,126125
1149801,139041; 139042; 139043,dark,로롤리가 숨겨놓은 {@yellow}달콤한 사탕{@default}을 잔뜩 획득할 수 있다.,298500,,,,,1000,298500
1119901,140761,earth,{@yellow}크리마용이 전투에 참가{@default}하면 스테이지 클리어시 {@yellow}5~6등급 룬{@default}을 획득할 수 있습니다.,8999,,,,,30,8999
1119902,140762,water,{@yellow}크리마용이 전투에 참가{@default}하면 스테이지 클리어시 {@yellow}5~6등급 룬{@default}을 획득할 수 있습니다.,15175,,,,,60,15175
1119903,140763,fire,{@yellow}크리마용이 전투에 참가{@default}하면 스테이지 클리어시 {@yellow}5~6등급 룬{@default}을 획득할 수 있습니다.,21528,,,,,90,21528
1129901,140761,earth,{@yellow}크리마용이 전투에 참가{@default}하면 스테이지 클리어시 {@yellow}5~6등급 룬{@default}을 획득할 수 있습니다.,34766,,,,,150,34766
1129902,140762,water,{@yellow}크리마용이 전투에 참가{@default}하면 스테이지 클리어시 {@yellow}5~6등급 룬{@default}을 획득할 수 있습니다.,46340,,,,,200,46340
1129903,140763,fire,{@yellow}크리마용이 전투에 참가{@default}하면 스테이지 클리어시 {@yellow}5~6등급 룬{@default}을 획득할 수 있습니다.,58406,,,,,250,58406
1139901,140761,earth,{@yellow}크리마용이 전투에 참가{@default}하면 스테이지 클리어시 {@yellow}5~6등급 룬{@default}을 획득할 수 있습니다.,70965,,,,,300,70965
1139902,140762,water,{@yellow}크리마용이 전투에 참가{@default}하면 스테이지 클리어시 {@yellow}5~6등급 룬{@default}을 획득할 수 있습니다.,84016,,,,,350,84016
1139903,140763,fire,{@yellow}크리마용이 전투에 참가{@default}하면 스테이지 클리어시 {@yellow}5~6등급 룬{@default}을 획득할 수 있습니다.,97560,,,,,400,97560
1149901,140761,earth,{@yellow}크리마용이 전투에 참가{@default}하면 스테이지 클리어시 {@yellow}5~6등급 룬{@default}을 획득할 수 있습니다.,126125,,,,,500,126125
1149902,140762,water,{@yellow}크리마용이 전투에 참가{@default}하면 스테이지 클리어시 {@yellow}5~6등급 룬{@default}을 획득할 수 있습니다.,141146,,,,,550,141146
1149903,140763,fire,{@yellow}크리마용이 전투에 참가{@default}하면 스테이지 클리어시 {@yellow}5~6등급 룬{@default}을 획득할 수 있습니다.,172666,,,,,650,172666
1210001,135031,light,보석 드래곤을 물리치면 드래곤 진화 재료인 \\n 진화의 보석을 얻을 수 있습니다.,4980,,,,,10,4980
1210002,135031,light,보석 드래곤을 물리치면 드래곤 진화 재료인 \\n 진화의 보석을 얻을 수 있습니다.,6979,,,,,20,6979
1210003,135031,light,보석 드래곤을 물리치면 드래곤 진화 재료인 \\n 진화의 보석을 얻을 수 있습니다.,11038,,,,,40,11038
1210004,135031,light,보석 드래곤을 물리치면 드래곤 진화 재료인 \\n 진화의 보석을 얻을 수 있습니다.,15175,,,,,60,15175
1210005,135031,light,보석 드래곤을 물리치면 드래곤 진화 재료인 \\n 진화의 보석을 얻을 수 있습니다.,30275,,,,,130,30275
1210006,135031,light,보석 드래곤을 물리치면 드래곤 진화 재료인 \\n 진화의 보석을 얻을 수 있습니다.,37042,,,,,160,37042
1210007,135031,light,보석 드래곤을 물리치면 드래곤 진화 재료인 \\n 진화의 보석을 얻을 수 있습니다.,43986,,,,,190,43986
1210008,135031,light,보석 드래곤을 물리치면 드래곤 진화 재료인 \\n 진화의 보석을 얻을 수 있습니다.,51107,,,,,220,51107
1210009,135031,light,보석 드래곤을 물리치면 드래곤 진화 재료인 \\n 진화의 보석을 얻을 수 있습니다.,68414,,,,,290,68414
1210010,135031,light,보석 드래곤을 물리치면 드래곤 진화 재료인 \\n 진화의 보석을 얻을 수 있습니다.,86686,,,,,360,86686
1210011,135031,light,보석 드래곤을 물리치면 드래곤 진화 재료인 \\n 진화의 보석을 얻을 수 있습니다.,425565,,,,,1300,425565
1210012,135031,light,보석 드래곤을 물리치면 드래곤 진화 재료인 \\n 진화의 보석을 얻을 수 있습니다.,622565,,,,,1700,622565
1210013,135031,light,보석 드래곤을 물리치면 드래곤 진화 재료인 \\n 진화의 보석을 얻을 수 있습니다.,851085,,,,,2100,851085
1210014,135031,light,보석 드래곤을 물리치면 드래곤 진화 재료인 \\n 진화의 보석을 얻을 수 있습니다.,1111125,,,,,2500,1111125
1210015,135031,light,보석 드래곤을 물리치면 드래곤 진화 재료인 \\n 진화의 보석을 얻을 수 있습니다.,1402685,,,,,2900,1402685
1210101,130011; 130051; 131131; 135011,earth,땅의 거대용을 물리치면 땅 속성 드래곤의 \\n진화 재료인 땅의 정기를 얻을 수 있습니다.,4980,,,,,10,4980
1210102,130011; 130051; 131131; 135011,earth,땅의 거대용을 물리치면 땅 속성 드래곤의 \\n진화 재료인 땅의 정기를 얻을 수 있습니다.,6979,,,,,20,6979
1210103,130011; 130051; 131131; 135011,earth,땅의 거대용을 물리치면 땅 속성 드래곤의 \\n진화 재료인 땅의 정기를 얻을 수 있습니다.,11038,,,,,40,11038
1210104,130011; 130051; 131131; 135011,earth,땅의 거대용을 물리치면 땅 속성 드래곤의 \\n진화 재료인 땅의 정기를 얻을 수 있습니다.,15175,,,,,60,15175
1210105,130011; 130051; 131131; 135011,earth,땅의 거대용을 물리치면 땅 속성 드래곤의 \\n진화 재료인 땅의 정기를 얻을 수 있습니다.,30275,,,,,130,30275
1210106,130011; 130051; 131131; 135011,earth,땅의 거대용을 물리치면 땅 속성 드래곤의 \\n진화 재료인 땅의 정기를 얻을 수 있습니다.,37042,,,,,160,37042
1210107,130011; 130051; 131131; 135011,earth,땅의 거대용을 물리치면 땅 속성 드래곤의 \\n진화 재료인 땅의 정기를 얻을 수 있습니다.,43986,,,,,190,43986
1210108,130011; 130051; 131131; 135011,earth,땅의 거대용을 물리치면 땅 속성 드래곤의 \\n진화 재료인 땅의 정기를 얻을 수 있습니다.,51107,,,,,220,51107
1210109,130011; 130051; 131131; 135011,earth,땅의 거대용을 물리치면 땅 속성 드래곤의 \\n진화 재료인 땅의 정기를 얻을 수 있습니다.,68414,,,,,290,68414
1210110,130011; 130051; 131131; 135011,earth,땅의 거대용을 물리치면 땅 속성 드래곤의 \\n진화 재료인 땅의 정기를 얻을 수 있습니다.,86686,,,,,360,86686
1210111,130011; 130051; 131131; 135011,earth,땅의 거대용을 물리치면 땅 속성 드래곤의 \\n진화 재료인 땅의 정기를 얻을 수 있습니다.,425565,,,,,1300,425565
1210112,130011; 130051; 131131; 135011,earth,땅의 거대용을 물리치면 땅 속성 드래곤의 \\n진화 재료인 땅의 정기를 얻을 수 있습니다.,622565,,,,,1700,622565
1210113,130011; 130051; 131131; 135011,earth,땅의 거대용을 물리치면 땅 속성 드래곤의 \\n진화 재료인 땅의 정기를 얻을 수 있습니다.,851085,,,,,2100,851085
1210114,130011; 130051; 131131; 135011,earth,땅의 거대용을 물리치면 땅 속성 드래곤의 \\n진화 재료인 땅의 정기를 얻을 수 있습니다.,1111125,,,,,2500,1111125
1210115,130011; 130051; 131131; 135011,earth,땅의 거대용을 물리치면 땅 속성 드래곤의 \\n진화 재료인 땅의 정기를 얻을 수 있습니다.,1402685,,,,,2900,1402685
1210201,130012; 130052; 131072; 135012,water,물의 거대용을 물리치면 물 속성 드래곤의 \\n진화 재료인 물의 정기를 얻을 수 있습니다.,4980,,,,,10,4980
1210202,130012; 130052; 131072; 135012,water,물의 거대용을 물리치면 물 속성 드래곤의 \\n진화 재료인 물의 정기를 얻을 수 있습니다.,6979,,,,,20,6979
1210203,130012; 130052; 131072; 135012,water,물의 거대용을 물리치면 물 속성 드래곤의 \\n진화 재료인 물의 정기를 얻을 수 있습니다.,11038,,,,,40,11038
1210204,130012; 130052; 131072; 135012,water,물의 거대용을 물리치면 물 속성 드래곤의 \\n진화 재료인 물의 정기를 얻을 수 있습니다.,15175,,,,,60,15175
1210205,130012; 130052; 131072; 135012,water,물의 거대용을 물리치면 물 속성 드래곤의 \\n진화 재료인 물의 정기를 얻을 수 있습니다.,30275,,,,,130,30275
1210206,130012; 130052; 131072; 135012,water,물의 거대용을 물리치면 물 속성 드래곤의 \\n진화 재료인 물의 정기를 얻을 수 있습니다.,37042,,,,,160,37042
1210207,130012; 130052; 131072; 135012,water,물의 거대용을 물리치면 물 속성 드래곤의 \\n진화 재료인 물의 정기를 얻을 수 있습니다.,43986,,,,,190,43986
1210208,130012; 130052; 131072; 135012,water,물의 거대용을 물리치면 물 속성 드래곤의 \\n진화 재료인 물의 정기를 얻을 수 있습니다.,51107,,,,,220,51107
1210209,130012; 130052; 131072; 135012,water,물의 거대용을 물리치면 물 속성 드래곤의 \\n진화 재료인 물의 정기를 얻을 수 있습니다.,68414,,,,,290,68414
1210210,130012; 130052; 131072; 135012,water,물의 거대용을 물리치면 물 속성 드래곤의 \\n진화 재료인 물의 정기를 얻을 수 있습니다.,86686,,,,,360,86686
1210211,130012; 130052; 131072; 135012,water,물의 거대용을 물리치면 물 속성 드래곤의 \\n진화 재료인 물의 정기를 얻을 수 있습니다.,425565,,,,,1300,425565
1210212,130012; 130052; 131072; 135012,water,물의 거대용을 물리치면 물 속성 드래곤의 \\n진화 재료인 물의 정기를 얻을 수 있습니다.,622565,,,,,1700,622565
1210213,130012; 130052; 131072; 135012,water,물의 거대용을 물리치면 물 속성 드래곤의 \\n진화 재료인 물의 정기를 얻을 수 있습니다.,851085,,,,,2100,851085
1210214,130012; 130052; 131072; 135012,water,물의 거대용을 물리치면 물 속성 드래곤의 \\n진화 재료인 물의 정기를 얻을 수 있습니다.,1111125,,,,,2500,1111125
1210215,130012; 130052; 131072; 135012,water,물의 거대용을 물리치면 물 속성 드래곤의 \\n진화 재료인 물의 정기를 얻을 수 있습니다.,1402685,,,,,2900,1402685
1210301,130013; 130053; 131083; 135013,fire,불의 거대용을 물리치면 불 속성 드래곤의 \\n진화 재료인 불의 정기를 얻을 수 있습니다.,4980,,,,,10,4980
1210302,130013; 130053; 131083; 135013,fire,불의 거대용을 물리치면 불 속성 드래곤의 \\n진화 재료인 불의 정기를 얻을 수 있습니다.,6979,,,,,20,6979
1210303,130013; 130053; 131083; 135013,fire,불의 거대용을 물리치면 불 속성 드래곤의 \\n진화 재료인 불의 정기를 얻을 수 있습니다.,11038,,,,,40,11038
1210304,130013; 130053; 131083; 135013,fire,불의 거대용을 물리치면 불 속성 드래곤의 \\n진화 재료인 불의 정기를 얻을 수 있습니다.,15175,,,,,60,15175
1210305,130013; 130053; 131083; 135013,fire,불의 거대용을 물리치면 불 속성 드래곤의 \\n진화 재료인 불의 정기를 얻을 수 있습니다.,30275,,,,,130,30275
1210306,130013; 130053; 131083; 135013,fire,불의 거대용을 물리치면 불 속성 드래곤의 \\n진화 재료인 불의 정기를 얻을 수 있습니다.,37042,,,,,160,37042
1210307,130013; 130053; 131083; 135013,fire,불의 거대용을 물리치면 불 속성 드래곤의 \\n진화 재료인 불의 정기를 얻을 수 있습니다.,43986,,,,,190,43986
1210308,130013; 130053; 131083; 135013,fire,불의 거대용을 물리치면 불 속성 드래곤의 \\n진화 재료인 불의 정기를 얻을 수 있습니다.,51107,,,,,220,51107
1210309,130013; 130053; 131083; 135013,fire,불의 거대용을 물리치면 불 속성 드래곤의 \\n진화 재료인 불의 정기를 얻을 수 있습니다.,68414,,,,,290,68414
1210310,130013; 130053; 131083; 135013,fire,불의 거대용을 물리치면 불 속성 드래곤의 \\n진화 재료인 불의 정기를 얻을 수 있습니다.,86686,,,,,360,86686
1210311,130013; 130053; 131083; 135013,fire,불의 거대용을 물리치면 불 속성 드래곤의 \\n진화 재료인 불의 정기를 얻을 수 있습니다.,425565,,,,,1300,425565
1210312,130013; 130053; 131083; 135013,fire,불의 거대용을 물리치면 불 속성 드래곤의 \\n진화 재료인 불의 정기를 얻을 수 있습니다.,622565,,,,,1700,622565
1210313,130013; 130053; 131083; 135013,fire,불의 거대용을 물리치면 불 속성 드래곤의 \\n진화 재료인 불의 정기를 얻을 수 있습니다.,851085,,,,,2100,851085
1210314,130013; 130053; 131083; 135013,fire,불의 거대용을 물리치면 불 속성 드래곤의 \\n진화 재료인 불의 정기를 얻을 수 있습니다.,1111125,,,,,2500,1111125
1210315,130013; 130053; 131083; 135013,fire,불의 거대용을 물리치면 불 속성 드래곤의 \\n진화 재료인 불의 정기를 얻을 수 있습니다.,1402685,,,,,2900,1402685
1210401,130014; 130054; 131034; 135014,light,빛의 거대용을 물리치면 빛 속성 드래곤의 \\n진화 재료인 빛의 정기를 얻을 수 있습니다.,4980,,,,,10,4980
1210402,130014; 130054; 131034; 135014,light,빛의 거대용을 물리치면 빛 속성 드래곤의 \\n진화 재료인 빛의 정기를 얻을 수 있습니다.,6979,,,,,20,6979
1210403,130014; 130054; 131034; 135014,light,빛의 거대용을 물리치면 빛 속성 드래곤의 \\n진화 재료인 빛의 정기를 얻을 수 있습니다.,11038,,,,,40,11038
1210404,130014; 130054; 131034; 135014,light,빛의 거대용을 물리치면 빛 속성 드래곤의 \\n진화 재료인 빛의 정기를 얻을 수 있습니다.,15175,,,,,60,15175
1210405,130014; 130054; 131034; 135014,light,빛의 거대용을 물리치면 빛 속성 드래곤의 \\n진화 재료인 빛의 정기를 얻을 수 있습니다.,30275,,,,,130,30275
1210406,130014; 130054; 131034; 135014,light,빛의 거대용을 물리치면 빛 속성 드래곤의 \\n진화 재료인 빛의 정기를 얻을 수 있습니다.,37042,,,,,160,37042
1210407,130014; 130054; 131034; 135014,light,빛의 거대용을 물리치면 빛 속성 드래곤의 \\n진화 재료인 빛의 정기를 얻을 수 있습니다.,43986,,,,,190,43986
1210408,130014; 130054; 131034; 135014,light,빛의 거대용을 물리치면 빛 속성 드래곤의 \\n진화 재료인 빛의 정기를 얻을 수 있습니다.,51107,,,,,220,51107
1210409,130014; 130054; 131034; 135014,light,빛의 거대용을 물리치면 빛 속성 드래곤의 \\n진화 재료인 빛의 정기를 얻을 수 있습니다.,68414,,,,,290,68414
1210410,130014; 130054; 131034; 135014,light,빛의 거대용을 물리치면 빛 속성 드래곤의 \\n진화 재료인 빛의 정기를 얻을 수 있습니다.,86686,,,,,360,86686
1210411,130014; 130054; 131034; 135014,light,빛의 거대용을 물리치면 빛 속성 드래곤의 \\n진화 재료인 빛의 정기를 얻을 수 있습니다.,425565,,,,,1300,425565
1210412,130014; 130054; 131034; 135014,light,빛의 거대용을 물리치면 빛 속성 드래곤의 \\n진화 재료인 빛의 정기를 얻을 수 있습니다.,622565,,,,,1700,622565
1210413,130014; 130054; 131034; 135014,light,빛의 거대용을 물리치면 빛 속성 드래곤의 \\n진화 재료인 빛의 정기를 얻을 수 있습니다.,851085,,,,,2100,851085
1210414,130014; 130054; 131034; 135014,light,빛의 거대용을 물리치면 빛 속성 드래곤의 \\n진화 재료인 빛의 정기를 얻을 수 있습니다.,1111125,,,,,2500,1111125
1210415,130014; 130054; 131034; 135014,light,빛의 거대용을 물리치면 빛 속성 드래곤의 \\n진화 재료인 빛의 정기를 얻을 수 있습니다.,1402685,,,,,2900,1402685
1210501,130015; 130055; 131075; 135015,dark,어둠의 거대용을 물리치면 어둠 속성 드래곤의 \\n진화 재료인 어둠의 정기를 얻을 수 있습니다.,4980,,,,,10,4980
1210502,130015; 130055; 131075; 135015,dark,어둠의 거대용을 물리치면 어둠 속성 드래곤의 \\n진화 재료인 어둠의 정기를 얻을 수 있습니다.,6979,,,,,20,6979
1210503,130015; 130055; 131075; 135015,dark,어둠의 거대용을 물리치면 어둠 속성 드래곤의 \\n진화 재료인 어둠의 정기를 얻을 수 있습니다.,11038,,,,,40,11038
1210504,130015; 130055; 131075; 135015,dark,어둠의 거대용을 물리치면 어둠 속성 드래곤의 \\n진화 재료인 어둠의 정기를 얻을 수 있습니다.,15175,,,,,60,15175
1210505,130015; 130055; 131075; 135015,dark,어둠의 거대용을 물리치면 어둠 속성 드래곤의 \\n진화 재료인 어둠의 정기를 얻을 수 있습니다.,30275,,,,,130,30275
1210506,130015; 130055; 131075; 135015,dark,어둠의 거대용을 물리치면 어둠 속성 드래곤의 \\n진화 재료인 어둠의 정기를 얻을 수 있습니다.,37042,,,,,160,37042
1210507,130015; 130055; 131075; 135015,dark,어둠의 거대용을 물리치면 어둠 속성 드래곤의 \\n진화 재료인 어둠의 정기를 얻을 수 있습니다.,43986,,,,,190,43986
1210508,130015; 130055; 131075; 135015,dark,어둠의 거대용을 물리치면 어둠 속성 드래곤의 \\n진화 재료인 어둠의 정기를 얻을 수 있습니다.,51107,,,,,220,51107
1210509,130015; 130055; 131075; 135015,dark,어둠의 거대용을 물리치면 어둠 속성 드래곤의 \\n진화 재료인 어둠의 정기를 얻을 수 있습니다.,68414,,,,,290,68414
1210510,130015; 130055; 131075; 135015,dark,어둠의 거대용을 물리치면 어둠 속성 드래곤의 \\n진화 재료인 어둠의 정기를 얻을 수 있습니다.,86686,,,,,360,86686
1210511,130015; 130055; 131075; 135015,dark,어둠의 거대용을 물리치면 어둠 속성 드래곤의 \\n진화 재료인 어둠의 정기를 얻을 수 있습니다.,425565,,,,,1300,425565
1210512,130015; 130055; 131075; 135015,dark,어둠의 거대용을 물리치면 어둠 속성 드래곤의 \\n진화 재료인 어둠의 정기를 얻을 수 있습니다.,622565,,,,,1700,622565
1210513,130015; 130055; 131075; 135015,dark,어둠의 거대용을 물리치면 어둠 속성 드래곤의 \\n진화 재료인 어둠의 정기를 얻을 수 있습니다.,851085,,,,,2100,851085
1210514,130015; 130055; 131075; 135015,dark,어둠의 거대용을 물리치면 어둠 속성 드래곤의 \\n진화 재료인 어둠의 정기를 얻을 수 있습니다.,1111125,,,,,2500,1111125
1210515,130015; 130055; 131075; 135015,dark,어둠의 거대용을 물리치면 어둠 속성 드래곤의 \\n진화 재료인 어둠의 정기를 얻을 수 있습니다.,1402685,,,,,2900,1402685
1220101,130034; 130044; 130054; 130064; 136014,light,"드래곤의 힘을 더 강하게 할 수 있는 룬을 얻을 수 \\n 있는 곳으로, 악몽 던전에서만 발견되는 룬도 있다고 합니다.",3987,,,,,5,3987
1220102,130013; 130023; 130033; 130053; 136013,fire,"드래곤의 힘을 더 강하게 할 수 있는 룬을 얻을 수 \\n 있는 곳으로, 악몽 던전에서만 발견되는 룬도 있다고 합니다.",6979,,,,,20,6979
1220103,130022; 130032; 130042; 136012,water,"드래곤의 힘을 더 강하게 할 수 있는 룬을 얻을 수 \\n 있는 곳으로, 악몽 던전에서만 발견되는 룬도 있다고 합니다.",12064,,,,,45,12064
1220104,130031; 130041; 130051; 130061; 136011,earth,"드래곤의 힘을 더 강하게 할 수 있는 룬을 얻을 수 \\n 있는 곳으로, 악몽 던전에서만 발견되는 룬도 있다고 합니다.",18329,,,,,75,18329
1220105,130025; 130035; 130045; 130055; 136015,dark,"드래곤의 힘을 더 강하게 할 수 있는 룬을 얻을 수 \\n 있는 곳으로, 악몽 던전에서만 발견되는 룬도 있다고 합니다.",29164,,,,,125,29164
1220106,130034; 130044; 130054; 130064; 136024,light,"드래곤의 힘을 더 강하게 할 수 있는 룬을 얻을 수 \\n 있는 곳으로, 악몽 던전에서만 발견되는 룬도 있다고 합니다.",40492,,,,,175,40492
1220107,130013; 130023; 130033; 130053; 136023,fire,"드래곤의 힘을 더 강하게 할 수 있는 룬을 얻을 수 \\n 있는 곳으로, 악몽 던전에서만 발견되는 룬도 있다고 합니다.",58406,,,,,250,58406
1220108,130022; 130032; 130042; 136022,water,"드래곤의 힘을 더 강하게 할 수 있는 룬을 얻을 수 \\n 있는 곳으로, 악몽 던전에서만 발견되는 룬도 있다고 합니다.",58406,,,,,250,58406
1220109,130031; 130041; 130051; 130061; 136021,earth,"드래곤의 힘을 더 강하게 할 수 있는 룬을 얻을 수 \\n 있는 곳으로, 악몽 던전에서만 발견되는 룬도 있다고 합니다.",58406,,,,,250,58406
1220110,130025; 130035; 130045; 130055; 136025,dark,"드래곤의 힘을 더 강하게 할 수 있는 룬을 얻을 수 \\n 있는 곳으로, 악몽 던전에서만 발견되는 룬도 있다고 합니다.",58406,,,,,250,58406
