stage,t_name,r_difficult,mode,r_chapter_info,r_stage_info,attr,level,hp_ratio,boss_hp_ratio,buff_user,buff_enemy,t_help
1230206,물의 거목,nest,t_water,oldTree,6,water,224,1,3,attr;earth;debuff_emmune;-1000,attr;water;cri_dmg_multi;30,땅 속성 아군의 효과 저항이 증가합니다.\\n 물 속성 적군의 크리티컬 데미지가 증가합니다.
1230301,불의 거목,nest,t_fire,oldTree,1,fire,13,1,2,attr;water;debuff_emmune;-1000,attr;fire;atk_multi;30,물 속성 아군의 효과 저항이 증가합니다.\\n 불 속성 적군의 공격력이 증가합니다.
1230302,불의 거목,nest,t_fire,oldTree,2,fire,21,1,2,attr;water;debuff_emmune;-1000,attr;fire;atk_multi;30,물 속성 아군의 효과 저항이 증가합니다.\\n 불 속성 적군의 공격력이 증가합니다.
1230303,불의 거목,nest,t_fire,oldTree,3,fire,51,1,2,attr;water;debuff_emmune;-1000,attr;fire;atk_multi;30,물 속성 아군의 효과 저항이 증가합니다.\\n 불 속성 적군의 공격력이 증가합니다.
1230304,불의 거목,nest,t_fire,oldTree,4,fire,85,1,3,attr;water;debuff_emmune;-1000,attr;fire;atk_multi;30,물 속성 아군의 효과 저항이 증가합니다.\\n 불 속성 적군의 공격력이 증가합니다.
1230305,불의 거목,nest,t_fire,oldTree,5,fire,126,1,3,attr;water;debuff_emmune;-1000,attr;fire;atk_multi;30,물 속성 아군의 효과 저항이 증가합니다.\\n 불 속성 적군의 공격력이 증가합니다.
1230306,불의 거목,nest,t_fire,oldTree,6,fire,224,1,3,attr;water;debuff_emmune;-1000,attr;fire;atk_multi;30,물 속성 아군의 효과 저항이 증가합니다.\\n 불 속성 적군의 공격력이 증가합니다.
1230401,빛의 거목,nest,t_light,oldTree,1,light,13,1,2,attr;dark;debuff_emmune;-1000,attr;light;atk_multi;30,어둠 속성 아군의 효과 저항이 증가합니다.\\n 빛 속성 적군의 공격력이 증가합니다.
1230402,빛의 거목,nest,t_light,oldTree,2,light,21,1,2,attr;dark;debuff_emmune;-1000,attr;light;atk_multi;30,어둠 속성 아군의 효과 저항이 증가합니다.\\n 빛 속성 적군의 공격력이 증가합니다.
1230403,빛의 거목,nest,t_light,oldTree,3,light,51,1,2,attr;dark;debuff_emmune;-1000,attr;light;atk_multi;30,어둠 속성 아군의 효과 저항이 증가합니다.\\n 빛 속성 적군의 공격력이 증가합니다.
1230404,빛의 거목,nest,t_light,oldTree,4,light,85,1,3,attr;dark;debuff_emmune;-1000,attr;light;atk_multi;30,어둠 속성 아군의 효과 저항이 증가합니다.\\n 빛 속성 적군의 공격력이 증가합니다.
1230405,빛의 거목,nest,t_light,oldTree,5,light,126,1,3,attr;dark;debuff_emmune;-1000,attr;light;atk_multi;30,어둠 속성 아군의 효과 저항이 증가합니다.\\n 빛 속성 적군의 공격력이 증가합니다.
1230406,빛의 거목,nest,t_light,oldTree,6,light,224,1,3,attr;dark;debuff_emmune;-1000,attr;light;atk_multi;30,어둠 속성 아군의 효과 저항이 증가합니다.\\n 빛 속성 적군의 공격력이 증가합니다.
1230501,어둠의 거목,nest,t_dark,oldTree,1,dark,13,1,2,attr;light;debuff_emmune;-1000,attr;dark;hp_multi;30,빛 속성 아군의 효과 저항이 증가합니다. \\n 어둠 속성 적군의 생명력이 증가합니다.
1230502,어둠의 거목,nest,t_dark,oldTree,2,dark,21,1,2,attr;light;debuff_emmune;-1000,attr;dark;hp_multi;30,빛 속성 아군의 효과 저항이 증가합니다. \\n 어둠 속성 적군의 생명력이 증가합니다.
1230503,어둠의 거목,nest,t_dark,oldTree,3,dark,51,1,2,attr;light;debuff_emmune;-1000,attr;dark;hp_multi;30,빛 속성 아군의 효과 저항이 증가합니다. \\n 어둠 속성 적군의 생명력이 증가합니다.
1230504,어둠의 거목,nest,t_dark,oldTree,4,dark,85,1,3,attr;light;debuff_emmune;-1000,attr;dark;hp_multi;30,빛 속성 아군의 효과 저항이 증가합니다. \\n 어둠 속성 적군의 생명력이 증가합니다.
1230505,어둠의 거목,nest,t_dark,oldTree,5,dark,126,1,3,attr;light;debuff_emmune;-1000,attr;dark;hp_multi;30,빛 속성 아군의 효과 저항이 증가합니다. \\n 어둠 속성 적군의 생명력이 증가합니다.
1230506,어둠의 거목,nest,t_dark,oldTree,6,dark,224,1,3,attr;light;debuff_emmune;-1000,attr;dark;hp_multi;30,빛 속성 아군의 효과 저항이 증가합니다. \\n 어둠 속성 적군의 생명력이 증가합니다.
1240001,황금 던전,nest,gold,gold,1,light,13,1,2,,,
1240002,황금 던전,nest,gold,gold,2,light,21,1,2,,,
1240003,황금 던전,nest,gold,gold,3,light,51,1,2,,,
1240004,황금 던전,nest,gold,gold,4,light,85,1,3,,,
1240005,황금 던전,nest,gold,gold,5,light,126,1,3,,,
1240006,황금 던전,nest,gold,gold,6,light,224,1,3,,,
1320101,인연 던전,secret,relation,relation,1,earth,20,1,20,,,
1320201,인연 던전,secret,relation,relation,1,water,20,1,20,,,
1320301,인연 던전,secret,relation,relation,1,fire,20,1,20,,,
1320401,인연 던전,secret,relation,relation,1,light,20,1,20,,,
1320501,인연 던전,secret,relation,relation,1,dark,20,1,20,,,
1320601,인연 던전,secret,relation,relation,1,light,20,1,20,,,
1320701,인연 던전,secret,relation,relation,1,dark,20,1,20,,,
999999,개발 스테이지,easy,adv,1,개발,earth,1,1,2,,,
1401001,고대의탑,ancient,ancient,ancient,1,earth,15,1,10,,,
1401002,고대의탑,ancient,ancient,ancient,2,earth,15,1,10,,,
1401003,고대의탑,ancient,ancient,ancient,3,earth,16,1,10,,,
1401004,고대의탑,ancient,ancient,ancient,4,earth,17,1,10,,,
1401005,고대의탑,ancient,ancient,ancient,5,earth,18,1,10,,,
1401006,고대의탑,ancient,ancient,ancient,6,earth,19,1,10,,,
1401007,고대의탑,ancient,ancient,ancient,7,earth,20,1,10,,,
1401008,고대의탑,ancient,ancient,ancient,8,earth,22,1,10,,,
1401009,고대의탑,ancient,ancient,ancient,9,earth,24,1,10,,,
1401010,고대의탑,ancient,ancient,ancient,10,earth,26,1,10,,,
1401011,고대의탑,ancient,ancient,ancient,11,earth,28,1,10,,,
1401012,고대의탑,ancient,ancient,ancient,12,earth,30,1,10,,,
1401013,고대의탑,ancient,ancient,ancient,13,earth,33,1,10,,,
1401014,고대의탑,ancient,ancient,ancient,14,earth,36,1,10,,,
1401015,고대의탑,ancient,ancient,ancient,15,earth,39,1,10,,,
1401016,고대의탑,ancient,ancient,ancient,16,earth,42,1,10,,,
1401017,고대의탑,ancient,ancient,ancient,17,earth,45,1,10,,,
1401018,고대의탑,ancient,ancient,ancient,18,earth,49,1,10,,,
1401019,고대의탑,ancient,ancient,ancient,19,earth,53,1,10,,,
1401020,고대의탑,ancient,ancient,ancient,20,earth,57,1,10,,,
1401021,고대의탑,ancient,ancient,ancient,21,earth,61,1,10,,,
1401022,고대의탑,ancient,ancient,ancient,22,earth,65,1,10,,,
1401023,고대의탑,ancient,ancient,ancient,23,earth,70,1,10,,,
1401024,고대의탑,ancient,ancient,ancient,24,earth,75,1,10,,,
1401025,고대의탑,ancient,ancient,ancient,25,earth,80,1,10,,,
1401026,고대의탑,ancient,ancient,ancient,26,earth,85,1,10,,,
1401027,고대의탑,ancient,ancient,ancient,27,earth,90,1,10,,,
1401028,고대의탑,ancient,ancient,ancient,28,earth,96,1,10,,,
1401029,고대의탑,ancient,ancient,ancient,29,earth,102,1,10,,,
1401030,고대의탑,ancient,ancient,ancient,30,earth,108,1,10,,,
1401031,고대의탑,ancient,ancient,ancient,31,earth,114,1,10,,,
1401032,고대의탑,ancient,ancient,ancient,32,earth,120,1,10,,,
1401033,고대의탑,ancient,ancient,ancient,33,earth,127,1,10,,,
1401034,고대의탑,ancient,ancient,ancient,34,earth,134,1,10,,,
1401035,고대의탑,ancient,ancient,ancient,35,earth,141,1,10,,,
1401036,고대의탑,ancient,ancient,ancient,36,earth,148,1,10,,,
1401037,고대의탑,ancient,ancient,ancient,37,earth,155,1,10,,,
1401038,고대의탑,ancient,ancient,ancient,38,earth,163,1,10,,,
1401039,고대의탑,ancient,ancient,ancient,39,earth,171,1,10,,,
1401040,고대의탑,ancient,ancient,ancient,40,earth,179,1,10,,,
1401041,고대의탑,ancient,ancient,ancient,41,earth,187,1,10,,,
1401042,고대의탑,ancient,ancient,ancient,42,earth,195,1,10,,,
1401043,고대의탑,ancient,ancient,ancient,43,earth,204,1,10,,,
1401044,고대의탑,ancient,ancient,ancient,44,earth,213,1,10,,,
1401045,고대의탑,ancient,ancient,ancient,45,earth,222,1,10,,,
1401046,고대의탑,ancient,ancient,ancient,46,earth,231,1,10,,,
1401047,고대의탑,ancient,ancient,ancient,47,earth,240,1,10,,,
1401048,고대의탑,ancient,ancient,ancient,48,earth,250,1,10,,,
1401049,고대의탑,ancient,ancient,ancient,49,earth,260,1,10,,,
1401050,고대의탑,ancient,ancient,ancient,50,earth,270,1,10,,,
